Question,Answer,Tags
How long is the AWS Certified SysOps Administrator - Associate (SOA-C02) exam?,180 minutes (3 hours),exam-logistics
How many questions are on the AWS Certified SysOps Administrator - Associate (SOA-C02) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified SysOps Administrator - Associate (SOA-C02)?,720/1000,exam-logistics
What does the AWS Certified SysOps Administrator - Associate (SOA-C02) exam cost?,$150 USD,exam-logistics
How long is AWS Certified SysOps Administrator - Associate (SOA-C02) valid for?,3 years,exam-logistics
How is the AWS Certified SysOps Administrator - Associate (SOA-C02) exam delivered?,Pearson VUE,exam-logistics
Best Practice (high availability dr),Always use launch templates,"notes,high-availability-dr"
RTO (high availability dr),10s of minutes to hours,"notes,high-availability-dr"
RPO (high availability dr),Seconds to minutes,"notes,high-availability-dr"
EC2 (monitoring logging),"CPUUtilization, NetworkIn/Out, DiskReadOps/WriteOps, StatusCheckFailed","notes,monitoring-logging"
EBS (monitoring logging),"VolumeReadBytes/WriteBytes, VolumeReadOps/WriteOps, VolumeQueueLength","notes,monitoring-logging"
RDS (monitoring logging),"DatabaseConnections, FreeableMemory, ReadLatency, WriteLatency","notes,monitoring-logging"
ELB (monitoring logging),"HealthyHostCount, UnHealthyHostCount, RequestCount, TargetResponseTime","notes,monitoring-logging"
Lambda (monitoring logging),"Invocations, Duration, Errors, Throttles, ConcurrentExecutions","notes,monitoring-logging"
OK (monitoring logging),Metric within defined threshold,"notes,monitoring-logging"
ALARM (monitoring logging),Metric breached threshold,"notes,monitoring-logging"
INSUFFICIENT_DATA (monitoring logging),Not enough data to determine state,"notes,monitoring-logging"
Metric (monitoring logging),What to monitor,"notes,monitoring-logging"
Threshold (monitoring logging),Static threshold or anomaly detection,"notes,monitoring-logging"
Period (monitoring logging),Evaluation period length,"notes,monitoring-logging"
Datapoints to alarm (monitoring logging),How many periods must breach before alarming,"notes,monitoring-logging"
Actions (monitoring logging),"SNS notifications, Auto Scaling, EC2 actions, Systems Manager actions","notes,monitoring-logging"
EC2 Actions (monitoring logging),"Stop, terminate, reboot, recover","notes,monitoring-logging"
Auto Scaling (monitoring logging),Scale up/down based on metrics,"notes,monitoring-logging"
SNS Notifications (monitoring logging),"Email, SMS, Lambda, HTTP/S","notes,monitoring-logging"
Systems Manager (monitoring logging),Execute automation documents,"notes,monitoring-logging"
String (monitoring logging),Plain text values,"notes,monitoring-logging"
StringList (monitoring logging),Comma-separated values,"notes,monitoring-logging"
SecureString (monitoring logging),Encrypted with KMS,"notes,monitoring-logging"
Healthy threshold (study notes),2-10 consecutive checks,"notes,study-notes"
Unhealthy threshold (study notes),2-10 consecutive failures,"notes,study-notes"
Interval (study notes),5-300 seconds (default 30),"notes,study-notes"
Timeout (study notes),2-120 seconds (must be less than interval),"notes,study-notes"
Success codes (study notes),"200, or 200-299, or 200,202","notes,study-notes"
Target Tracking (study notes),"Easiest, maintains metric at target (e.g., CPU 50%)","notes,study-notes"
Step Scaling (study notes),"More control, different adjustments based on alarm breach size","notes,study-notes"
Simple Scaling (study notes),"Legacy, one adjustment per alarm","notes,study-notes"
Scheduled (study notes),Time-based (known traffic patterns),"notes,study-notes"
Endpoint (study notes),Check IP/domain endpoint,"notes,study-notes"
CloudWatch Alarm (study notes),Based on CloudWatch alarm state,"notes,study-notes"
Calculated (study notes),"Combine multiple health checks (OR, AND)","notes,study-notes"
MODIFIED (study notes),Resource properties changed,"notes,study-notes"
DELETED (study notes),Resource deleted outside stack,"notes,study-notes"
NOT_CHECKED (study notes),Resource type doesn't support drift,"notes,study-notes"
"""Most cost-effective"" (study notes)",Consider cost first,"notes,study-notes"
"""Least operational overhead"" (study notes)",Choose managed services,"notes,study-notes"
"""Immediate"" (study notes)",No delays acceptable (synchronous replication),"notes,study-notes"
"""Eventually"" (study notes)",Some delay acceptable (asynchronous replication),"notes,study-notes"
"""Compliance requirement"" (study notes)",Security and audit trail priority,"notes,study-notes"
