Question,Answer,Tags
How long is the GitHub Administration Certification exam?,120 minutes,exam-logistics
What is the passing score for GitHub Administration Certification?,70%,exam-logistics
What does the GitHub Administration Certification exam cost?,$99 USD,exam-logistics
How long is GitHub Administration Certification valid for?,3 years,exam-logistics
How is the GitHub Administration Certification exam delivered?,Online proctored,exam-logistics
Enforce (enterprise management),All organizations must follow this setting,"notes,enterprise-management"
Allow (enterprise management),Organizations can configure their own setting,"notes,enterprise-management"
Per-seat licensing (enterprise management),Each user consumes one seat,"notes,enterprise-management"
Metered billing (enterprise management),"Actions minutes, Packages storage, Copilot, LFS","notes,enterprise-management"
GitHub Actions (enterprise management),"Free minutes per plan, then per-minute billing (varies by runner OS)","notes,enterprise-management"
GitHub Packages (enterprise management),Storage and data transfer costs,"notes,enterprise-management"
GHAS (enterprise management),Per active committer license for private repos,"notes,enterprise-management"
Copilot (enterprise management),Per-seat monthly billing,"notes,enterprise-management"
LFS (enterprise management),Storage and bandwidth overage charges,"notes,enterprise-management"
Unified search (enterprise management),Search GitHub.com repos from GHES,"notes,enterprise-management"
Unified contributions (enterprise management),Show GHES contributions on GitHub.com profile,"notes,enterprise-management"
GitHub.com Actions (enterprise management),Use actions from GitHub.com Marketplace on GHES,"notes,enterprise-management"
Dependabot alerts (enterprise management),Receive vulnerability alerts from GitHub Advisory Database,"notes,enterprise-management"
Server statistics (enterprise management),Share anonymized usage data with GitHub,"notes,enterprise-management"
Automatic user license sync (enterprise management),Sync license usage between GHES and GHEC,"notes,enterprise-management"
NameID (identity access),Unique identifier for the user (usually email),"notes,identity-access"
SSO URL (identity access),IdP login endpoint,"notes,identity-access"
Certificate (identity access),IdP signing certificate for assertion validation,"notes,identity-access"
Linked identity (identity access),Connection between GitHub account and SAML identity,"notes,identity-access"
Recovery codes (identity access),Backup access if SSO is unavailable (enterprise owner),"notes,identity-access"
Create (identity access),Automatically create GitHub accounts when users added to IdP group,"notes,identity-access"
Update (identity access),"Sync attribute changes (name, email)","notes,identity-access"
Deactivate (identity access),Remove access when users removed from IdP group,"notes,identity-access"
Group sync (identity access),Map IdP groups to GitHub teams,"notes,identity-access"
Organization-level rulesets (repository management),Apply across all or selected repositories,"notes,repository-management"
Repository-level rulesets (repository management),Apply within a single repository,"notes,repository-management"
Bypass actors (repository management),"Specify who can bypass (roles, teams, apps, deploy keys)","notes,repository-management"
Targeting (repository management),"Target by branch name, tag name, or pattern (fnmatch)","notes,repository-management"
Layering (repository management),Multiple rulesets can apply - most restrictive wins,"notes,repository-management"
Evaluate mode (repository management),Test rules without enforcing (dry-run),"notes,repository-management"
Custom hardware (actions management),"GPUs, ARM, specialized processors","notes,actions-management"
Network access (actions management),Access private resources behind firewalls,"notes,actions-management"
Persistent environment (actions management),"Pre-installed tools, cached dependencies","notes,actions-management"
Cost control (actions management),No per-minute charges (you provide infrastructure),"notes,actions-management"
Compliance (actions management),Data stays in your network,"notes,actions-management"
Longer runs (actions management),No 6-hour job timeout (configurable),"notes,actions-management"
Never use self-hosted runners with public repositories (actions management),Anyone can fork and run workflows,"notes,actions-management"
Require approval (actions management),First-time contributors need approval before workflows run,"notes,actions-management"
Restrict fork PRs (actions management),Limit which fork PRs can trigger workflows,"notes,actions-management"
Share secrets (actions management),Control whether fork PR workflows can access secrets (default: no),"notes,actions-management"
Required reviewers (actions management),Specific people must approve before deployment,"notes,actions-management"
Wait timer (actions management),Delay deployment by specified minutes,"notes,actions-management"
Deployment branches (actions management),Restrict which branches can deploy,"notes,actions-management"
Environment secrets (actions management),Secrets scoped to the environment,"notes,actions-management"
Environment variables (actions management),Non-sensitive configuration per environment,"notes,actions-management"
No long-lived credentials (actions management),No cloud access keys stored as secrets,"notes,actions-management"
Short-lived tokens (actions management),Temporary credentials per workflow run,"notes,actions-management"
Fine-grained trust (actions management),"Cloud provider trusts specific repos, branches, environments","notes,actions-management"
Auditable (actions management),Cloud provider logs show which workflow requested access,"notes,actions-management"
Risk (security administration),Repositories with open security alerts,"notes,security-administration"
Coverage (security administration),Which repos have security features enabled,"notes,security-administration"
Alert trends (security administration),Alert creation and resolution over time,"notes,security-administration"
