Question,Answer,Tags
How long is AWS Quantum Practitioner (QPC-C01) - Anticipated Study Track valid for?,3 years (standard AWS),exam-logistics
How is the AWS Quantum Practitioner (QPC-C01) - Anticipated Study Track exam delivered?,Pearson VUE testing center or online proctored via Pearson OnVUE,exam-logistics
T1 (relaxation time) (quantum computing fundamentals),how long a qubit stays in |1> before decaying to |0>,"notes,quantum-computing-fundamentals"
T2 (dephasing time) (quantum computing fundamentals),how long a qubit maintains phase coherence,"notes,quantum-computing-fundamentals"
Gate error (quantum computing fundamentals),probability per gate of an incorrect operation,"notes,quantum-computing-fundamentals"
Readout error (quantum computing fundamentals),probability of misclassifying a measurement,"notes,quantum-computing-fundamentals"
Per-task fee (amazon braket service),"a small fee per task submission, varies by device","notes,amazon-braket-service"
Per-shot fee (amazon braket service),"charged per shot, varies by device (often the dominant cost)","notes,amazon-braket-service"
Simulator pricing (amazon braket service),per-minute of execution time,"notes,amazon-braket-service"
Hybrid Jobs (amazon braket service),classical compute pricing (instance-hours) plus quantum task fees,"notes,amazon-braket-service"
Reservation (Braket Direct) (amazon braket service),flat hourly rate for guaranteed QPU time,"notes,amazon-braket-service"
CloudWatch metrics (amazon braket service),"per-device queue depth, task counts, error counts","notes,amazon-braket-service"
Hybrid Job logs (amazon braket service),container stdout/stderr to CloudWatch Logs,"notes,amazon-braket-service"
Braket console (amazon braket service),"visual monitoring of devices, queue depths, task history","notes,amazon-braket-service"
Width (quantum circuits and gates),number of qubits,"notes,quantum-circuits-and-gates"
Depth (quantum circuits and gates),"number of gate ""layers"" (gates that can be parallelized count once)","notes,quantum-circuits-and-gates"
Variational quantum classifier (VQC) (hybrid quantum classical workflows),quantum circuit produces a label probability; trained variationally,"notes,hybrid-quantum-classical-workflows"
Quantum kernel methods (hybrid quantum classical workflows),quantum circuit computes a kernel matrix used in a classical SVM,"notes,hybrid-quantum-classical-workflows"
Hybrid neural networks (hybrid quantum classical workflows),a small quantum layer inside a classical neural network,"notes,hybrid-quantum-classical-workflows"
Quantum simulation (quantum algorithms vqe qaoa grover),"simulating quantum systems (chemistry, materials)","notes,quantum-algorithms-vqe-qaoa-grover"
Search and optimization (quantum algorithms vqe qaoa grover),"Grover, amplitude amplification","notes,quantum-algorithms-vqe-qaoa-grover"
Number theoretic (quantum algorithms vqe qaoa grover),"Shor's factoring, discrete logarithm","notes,quantum-algorithms-vqe-qaoa-grover"
Building blocks (quantum algorithms vqe qaoa grover),"QFT, QPE, amplitude estimation","notes,quantum-algorithms-vqe-qaoa-grover"
Trotterization (quantum algorithms vqe qaoa grover),approximate exp(-iHt) by short steps,"notes,quantum-algorithms-vqe-qaoa-grover"
Variational simulation (quantum algorithms vqe qaoa grover),use VQE-like methods to evolve states,"notes,quantum-algorithms-vqe-qaoa-grover"
Analog Hamiltonian Simulation (AHS) (quantum algorithms vqe qaoa grover),directly engineer the Hamiltonian on hardware (QuEra Aquila does this),"notes,quantum-algorithms-vqe-qaoa-grover"
Variational quantum classifiers (quantum algorithms vqe qaoa grover),quantum circuit produces label probabilities,"notes,quantum-algorithms-vqe-qaoa-grover"
Quantum kernels (quantum algorithms vqe qaoa grover),quantum circuit computes inner products in a high-dimensional Hilbert space,"notes,quantum-algorithms-vqe-qaoa-grover"
Hybrid networks (quantum algorithms vqe qaoa grover),quantum layer inside a classical neural network,"notes,quantum-algorithms-vqe-qaoa-grover"
Quantum data encoding (quantum algorithms vqe qaoa grover),"amplitude encoding, angle encoding, basis encoding","notes,quantum-algorithms-vqe-qaoa-grover"
CloudWatch metrics (cost and operational considerations),"per-device queue depth, task counts, errors","notes,cost-and-operational-considerations"
CloudTrail (cost and operational considerations),API audit (who created which task),"notes,cost-and-operational-considerations"
Hybrid Job logs (cost and operational considerations),container stdout/stderr in CloudWatch Logs,"notes,cost-and-operational-considerations"
Custom metrics (cost and operational considerations),"emit your own (cost per iteration, energy estimate, gradient norm)","notes,cost-and-operational-considerations"
Readout error mitigation (cost and operational considerations),characterize and invert measurement error,"notes,cost-and-operational-considerations"
Zero-noise extrapolation (ZNE) (cost and operational considerations),run circuit at amplified noise levels and extrapolate to zero noise,"notes,cost-and-operational-considerations"
Probabilistic error cancellation (cost and operational considerations),"more advanced, requires noise model","notes,cost-and-operational-considerations"
Dynamical decoupling (cost and operational considerations),insert pulse sequences to suppress decoherence,"notes,cost-and-operational-considerations"
