Question,Answer,Tags
How long is the OpenTelemetry Certified Associate (OTCA) exam?,90 minutes,exam-logistics
How many questions are on the OpenTelemetry Certified Associate (OTCA) exam?,60,exam-logistics
What is the passing score for OpenTelemetry Certified Associate (OTCA)?,75%,exam-logistics
What does the OpenTelemetry Certified Associate (OTCA) exam cost?,USD 250 (includes one free retake),exam-logistics
How long is OpenTelemetry Certified Associate (OTCA) valid for?,2 years,exam-logistics
How is the OpenTelemetry Certified Associate (OTCA) exam delivered?,Online proctored through PSI,exam-logistics
Name (api and sdk),"the operation, low cardinality (GET /orders/{id}, not GET /orders/8815)","notes,api-and-sdk"
SpanContext (api and sdk),"trace ID, span ID, trace flags (including the sampled bit), trace state. This is what propagates","notes,api-and-sdk"
Parent (api and sdk),the span that caused this one,"notes,api-and-sdk"
Span kind (api and sdk),"SERVER, CLIENT, PRODUCER, CONSUMER, INTERNAL","notes,api-and-sdk"
Start and end timestamps (api and sdk),Attributes - key-value pairs describing the operation,"notes,api-and-sdk"
Events (api and sdk),"timestamped occurrences within the span, such as an exception","notes,api-and-sdk"
Links (api and sdk),"references to other spans without a parent-child relationship, used for batch processing and fan-in","notes,api-and-sdk"
Status (api and sdk),"Unset, Ok, or Error","notes,api-and-sdk"
Cumulative (api and sdk),"each export reports the running total since start. Simple to reason about, larger payloads, and resets are visible on restart.","notes,api-and-sdk"
Delta (api and sdk),"each export reports the change since the last export. Smaller payloads, and the backend must accumulate.","notes,api-and-sdk"
Simple (api and sdk),"export each span as it ends. Useful for debugging and short-lived processes, poor throughput.","notes,api-and-sdk"
Batch (api and sdk),buffer and export in batches. The production default.,"notes,api-and-sdk"
OpenTelemetry API (api and sdk),"the interfaces application and library code call, which are no-ops unless an SDK is configured","notes,api-and-sdk"
OpenTelemetry SDK (api and sdk),"the implementation that samples, processes, batches, and exports telemetry","notes,api-and-sdk"
Span (api and sdk),"a single named, timed operation within a trace, carrying attributes, events, links, and status","notes,api-and-sdk"
Span link (api and sdk),a reference from one span to another without a causal parent-child relationship,"notes,api-and-sdk"
Context propagation (api and sdk),carrying trace context across process boundaries so spans join into one trace,"notes,api-and-sdk"
traceparent (api and sdk),"the W3C Trace Context header carrying version, trace ID, span ID, and flags","notes,api-and-sdk"
Baggage (api and sdk),"propagated key-value pairs traveling alongside trace context, not a security boundary","notes,api-and-sdk"
Counter (api and sdk),a synchronous monotonic instrument for totals that only increase,"notes,api-and-sdk"
Up-down counter (api and sdk),a synchronous instrument for values that increase and decrease,"notes,api-and-sdk"
Histogram (api and sdk),an instrument recording a distribution so percentiles can be computed,"notes,api-and-sdk"
Observable gauge (api and sdk),an asynchronous instrument reading a current value through a callback,"notes,api-and-sdk"
View (api and sdk),"SDK configuration customizing instrument aggregation, naming, and attribute retention","notes,api-and-sdk"
Temporality (api and sdk),whether metric exports report cumulative totals or deltas since the last export,"notes,api-and-sdk"
Resource (api and sdk),"attributes describing the entity producing telemetry, including service.name","notes,api-and-sdk"
Semantic conventions (api and sdk),the standardized attribute naming specification that makes telemetry portable,"notes,api-and-sdk"
ParentBased sampler (api and sdk),a sampler that honors the upstream sampling decision so traces are never partial,"notes,api-and-sdk"
Batch span processor (api and sdk),the production span processor that buffers spans and exports them in batches,"notes,api-and-sdk"
OTLP (api and sdk),"the OpenTelemetry Protocol, the native wire format over gRPC or HTTP","notes,api-and-sdk"
Core (collector),"the components maintained in the core repository. Small, conservative.","notes,collector"
Contrib (collector),core plus the large community component set. What most people run.,"notes,collector"
Custom (collector),"built with the OpenTelemetry Collector Builder (ocb), including only the components you need. Smaller image, smaller attack surface, faster start.","notes,collector"
Vendor distributions (collector),preconfigured builds from observability vendors and cloud providers.,"notes,collector"
OpenTelemetryCollector (collector),"declaratively deploy Collectors as deployment, daemonset, statefulset, or sidecar, with the config inline.","notes,collector"
Instrumentation (collector),"configure zero-code auto-instrumentation, injected into pods by annotation. The operator adds an init container carrying the language agent and sets the environment variables.","notes,collector"
Collector (collector),"the vendor-agnostic service that receives, processes, and exports telemetry","notes,collector"
Receiver (collector),the Collector component that ingests telemetry in a given format or protocol,"notes,collector"
Processor (collector),"the Collector component that transforms, filters, or batches telemetry in flight","notes,collector"
Exporter (collector),the Collector component that sends telemetry to a backend,"notes,collector"
Connector (collector),"a component that consumes from one pipeline and emits into another, such as spanmetrics","notes,collector"
Extension (collector),"a Collector capability outside the data path, such as health_check or pprof","notes,collector"
Pipeline (collector),"a per-signal wiring of receivers, processors, and exporters in the service section","notes,collector"
memory_limiter (collector),the processor that applies backpressure and refuses data to prevent out-of-memory conditions,"notes,collector"
batch processor (collector),"the processor that groups telemetry before export, declared last in a pipeline","notes,collector"
k8sattributes processor (collector),the processor enriching telemetry with Kubernetes metadata based on source IP,"notes,collector"
tail_sampling processor (collector),the processor that decides sampling after seeing the complete trace,"notes,collector"
Agent deployment (collector),a Collector running next to the workload for local enrichment and fast offload,"notes,collector"
Gateway deployment (collector),"a standalone Collector tier for aggregation, tail sampling, and central export","notes,collector"
Load-balancing exporter (collector),the exporter routing spans by trace ID so tail sampling sees complete traces,"notes,collector"
OpenTelemetry Collector Builder (collector),the tool producing a custom Collector distribution with only chosen components,"notes,collector"
OpenTelemetry Operator (collector),the Kubernetes operator managing Collectors and injecting auto-instrumentation,"notes,collector"
sending_queue (collector),"exporter buffering that absorbs backend slowness, optionally persisted to disk","notes,collector"
Error budget (observability fundamentals),"the allowed shortfall, here 0.1%, which is roughly 43 minutes in 30 days. It converts reliability from an argument into arithmetic: if the budget is intact, ship; if it is spent, stabilize.","notes,observability-fundamentals"
SLA (observability fundamentals),"a contractual commitment, usually looser than the internal SLO, with financial consequences.","notes,observability-fundamentals"
Observability (observability fundamentals),the property of being able to answer new questions about a system from existing telemetry without shipping code,"notes,observability-fundamentals"
Exemplar (observability fundamentals),"a trace ID attached to a metric data point, linking an aggregate to an example request","notes,observability-fundamentals"
Cardinality (observability fundamentals),"the number of unique attribute value combinations, and therefore of time series, in a metric","notes,observability-fundamentals"
Semantic convention (observability fundamentals),the OpenTelemetry specification standardizing attribute and metric names,"notes,observability-fundamentals"
SLI (observability fundamentals),"a service level indicator, a measured signal of user-visible behavior","notes,observability-fundamentals"
SLO (observability fundamentals),"a service level objective, the target value for an SLI over a time window","notes,observability-fundamentals"
Golden signals (observability fundamentals),"latency, traffic, errors, and saturation, the four core service health measures","notes,observability-fundamentals"
RED method (observability fundamentals),"Rate, Errors, and Duration, the request-driven service monitoring pattern","notes,observability-fundamentals"
USE method (observability fundamentals),"Utilization, Saturation, and Errors, the resource monitoring pattern","notes,observability-fundamentals"
Burn-rate alerting (observability fundamentals),alerting on the speed at which an error budget is consumed rather than on raw thresholds,"notes,observability-fundamentals"
Debug exporter (maintaining and debugging),"a Collector exporter that prints telemetry to logs, used to confirm data is arriving","notes,maintaining-and-debugging"
zpages (maintaining and debugging),a Collector extension serving live in-process diagnostic pages,"notes,maintaining-and-debugging"
health_check extension (maintaining and debugging),the Collector extension exposing liveness and readiness endpoints,"notes,maintaining-and-debugging"
Backpressure (maintaining and debugging),the mechanism by which a saturated component slows or refuses upstream data rather than failing,"notes,maintaining-and-debugging"
sending_queue (maintaining and debugging),"the exporter buffer absorbing backend slowness, optionally persisted to disk","notes,maintaining-and-debugging"
retry_on_failure (maintaining and debugging),exporter configuration retrying retryable errors with backoff,"notes,maintaining-and-debugging"
Persistent queue (maintaining and debugging),a Collector queue backed by the file storage extension so buffered data survives restarts,"notes,maintaining-and-debugging"
spanmetrics connector (maintaining and debugging),"a connector deriving rate, error, and duration metrics from spans","notes,maintaining-and-debugging"
Stability level (maintaining and debugging),"the maturity guarantee (stable, beta, alpha, development) attached to a component or convention","notes,maintaining-and-debugging"
Refused spans (maintaining and debugging),"the Collector metric indicating telemetry rejected at the receiver, usually due to the memory limiter","notes,maintaining-and-debugging"
