Question,Answer,Tags
How long is the GitHub Copilot exam?,90 minutes,exam-logistics
How many questions are on the GitHub Copilot exam?,~65 multiple choice and multiple response,exam-logistics
What is the passing score for GitHub Copilot?,70%,exam-logistics
What does the GitHub Copilot exam cost?,$99 USD,exam-logistics
How long is GitHub Copilot valid for?,2 years,exam-logistics
How is the GitHub Copilot exam delivered?,Online proctored (PSI),exam-logistics
OpenAI (copilot fundamentals),"GPT-4o, o-series, Codex-family for completions","notes,copilot-fundamentals"
Anthropic (copilot fundamentals),Claude 3.5 Sonnet (selectable in chat where eligible),"notes,copilot-fundamentals"
Google (copilot fundamentals),Gemini (selectable where available),"notes,copilot-fundamentals"
Visual Studio Code (copilot fundamentals),First-class; most features land here first,"notes,copilot-fundamentals"
Visual Studio 2022+ (copilot fundamentals),Full chat and completions,"notes,copilot-fundamentals"
JetBrains IDEs (copilot fundamentals),"IntelliJ, PyCharm, GoLand, WebStorm, Rider, RubyMine, and more","notes,copilot-fundamentals"
Neovim (copilot fundamentals),Completions and chat plugin,"notes,copilot-fundamentals"
Xcode (copilot fundamentals),Completions and chat,"notes,copilot-fundamentals"
Eclipse (copilot fundamentals),Completions and chat,"notes,copilot-fundamentals"
github.com (copilot fundamentals),"Chat (general and repo-aware), PR summaries, code review suggestions","notes,copilot-fundamentals"
GitHub Mobile (copilot fundamentals),iOS and Android chat,"notes,copilot-fundamentals"
Current file (copilot fundamentals),Buffer around the cursor,"notes,copilot-fundamentals"
Other open tabs (copilot fundamentals),Recently viewed files in the editor,"notes,copilot-fundamentals"
Imports and types (copilot fundamentals),Help anchor suggestions to the right APIs,"notes,copilot-fundamentals"
Cursor position (copilot fundamentals),The completion target,"notes,copilot-fundamentals"
Chat attachments (copilot fundamentals),"Explicit #file, #selection, #codebase references","notes,copilot-fundamentals"
Chat View (panel) (code completions and chat),Persistent side panel with history,"notes,code-completions-and-chat"
Inline Chat (code completions and chat),At the cursor; press Ctrl+I,"notes,code-completions-and-chat"
Quick Chat (code completions and chat),Floating input for quick questions,"notes,code-completions-and-chat"
Terminal Chat (code completions and chat),Ctrl+I inside the integrated terminal,"notes,code-completions-and-chat"
Copilot Chat button (code completions and chat),Opens a chat panel,"notes,code-completions-and-chat"
Repo-aware chat (code completions and chat),"When on a repo page, chat can reason about that repo","notes,code-completions-and-chat"
Issue and PR context (code completions and chat),Chat can answer questions about the current issue or PR,"notes,code-completions-and-chat"
Agents (ide integration and workflows),"@workspace, @vscode, @terminal, @github","notes,ide-integration-and-workflows"
Context variables (ide integration and workflows),"#file, #selection, #codebase, #web","notes,ide-integration-and-workflows"
Source Control (ide integration and workflows),generate commit message icon,"notes,ide-integration-and-workflows"
Individual (security privacy and data handling),Personal Copilot settings,"notes,security-privacy-and-data-handling"
Business/Enterprise (security privacy and data handling),Organization or enterprise policy,"notes,security-privacy-and-data-handling"
Network policy (security privacy and data handling),Controls whether Copilot Chat can fetch external web content for a response,"notes,security-privacy-and-data-handling"
MCP policy (security privacy and data handling),Controls whether local Model Context Protocol servers can be used,"notes,security-privacy-and-data-handling"
Block (enterprise administration),Suggestions matching public code are blocked,"notes,enterprise-administration"
Allow (enterprise administration),Matches are permitted (not recommended for licensing),"notes,enterprise-administration"
PR summaries (enterprise administration),Draft PR descriptions from the diff; admins enable per-org,"notes,enterprise-administration"
Copilot code review (enterprise administration),Request Copilot as a reviewer; receive inline comments and suggestions,"notes,enterprise-administration"
Seats API (enterprise administration),"List, add, remove seats programmatically","notes,enterprise-administration"
Usage metrics API (enterprise administration),Query Copilot usage by org,"notes,enterprise-administration"
Audit log API (enterprise administration),Pull Copilot events into SIEM,"notes,enterprise-administration"
