Question,Answer,Tags
"How long is the VMware Certified Professional - Data Center Virtualization 2024 (VCP-DCV, 2V0-21.23) exam?",135 minutes,exam-logistics
"How many questions are on the VMware Certified Professional - Data Center Virtualization 2024 (VCP-DCV, 2V0-21.23) exam?","70 (multiple choice, single and multiple answer)",exam-logistics
"What is the passing score for VMware Certified Professional - Data Center Virtualization 2024 (VCP-DCV, 2V0-21.23)?",300 / 500,exam-logistics
"What does the VMware Certified Professional - Data Center Virtualization 2024 (VCP-DCV, 2V0-21.23) exam cost?",$250 USD,exam-logistics
ESXi (architecture technologies),the type-1 (bare-metal) hypervisor installed directly on server hardware. It runs virtual machines; it is not an application on top of an operating system.,"notes,architecture-technologies"
VMkernel (architecture technologies),"the ESXi kernel, providing scheduling, memory management, and the network stack for host services.","notes,architecture-technologies"
vCenter Server (architecture technologies),"the centralised management plane. Features such as vMotion, DRS, and HA are configured and coordinated here.","notes,architecture-technologies"
vSphere Client (architecture technologies),the HTML5 browser interface to vCenter.,"notes,architecture-technologies"
VM (virtual machine) (architecture technologies),"an encapsulated set of files: .vmx (configuration), .vmdk (virtual disk), .nvram, plus logs and snapshot files.","notes,architecture-technologies"
VMware Tools (architecture technologies),"guest-side drivers and utilities. Required for graceful shutdown, time sync, quiescing for backups, and optimal driver performance. Missing Tools is a frequent root cause in troubleshooting scenarios.","notes,architecture-technologies"
Datacenter object (architecture technologies),the top-level container; the boundary for vMotion without additional configuration.,"notes,architecture-technologies"
Cluster (architecture technologies),"a group of hosts sharing resources, and the object on which HA and DRS are enabled.","notes,architecture-technologies"
Resource pool (architecture technologies),"a subdivision of cluster CPU and memory with its own shares, reservations, and limits.","notes,architecture-technologies"
Folder (architecture technologies),"organisational grouping for VMs, hosts, networks, or datastores.","notes,architecture-technologies"
Tags and categories (architecture technologies),metadata for grouping and for storage-policy targeting.,"notes,architecture-technologies"
Hypervisor type 1 (architecture technologies),"runs on the hardware directly (ESXi). Type 2 runs on a host OS (Workstation, Fusion).","notes,architecture-technologies"
vCPU (architecture technologies),"a virtual CPU presented to a guest, scheduled onto physical cores.","notes,architecture-technologies"
CPU scheduling and co-stop (architecture technologies),"a VM with many vCPUs must wait for enough physical cores to be simultaneously available. Over-provisioning vCPUs *degrades* performance, which is counter-intuitive and therefore examined.","notes,architecture-technologies"
Memory overcommitment (architecture technologies),"allocating more virtual memory than the host physically has, relying on reclamation techniques.","notes,architecture-technologies"
Transparent page sharing (TPS) (architecture technologies),deduplicates identical memory pages. Restricted by default for security reasons in modern releases.,"notes,architecture-technologies"
Ballooning (architecture technologies),the guest driver (part of VMware Tools) pressures the guest OS to release memory. The preferred reclamation technique because the guest chooses what to give up.,"notes,architecture-technologies"
Memory compression (architecture technologies),compresses pages rather than swapping.,"notes,architecture-technologies"
Host swapping (architecture technologies),"the last resort, swapping to disk. Worst performance impact.","notes,architecture-technologies"
"Shares, reservations, and limits (architecture technologies)","shares set relative priority under contention, a reservation guarantees a minimum, a limit caps the maximum. Limits are the usual cause of a VM performing badly while the host looks idle.","notes,architecture-technologies"
Datastore (architecture technologies),a storage container for VM files.,"notes,architecture-technologies"
VMFS (architecture technologies),"VMware's clustered file system, allowing multiple hosts to access the same LUN concurrently. VMFS6 is the current version.","notes,architecture-technologies"
NFS datastore (architecture technologies),"file-level storage; NFS 3 and 4.1 are supported, with 4.1 adding multipathing and Kerberos.","notes,architecture-technologies"
vSAN (architecture technologies),"aggregates local host disks into a shared datastore, configured per cluster with storage policies.","notes,architecture-technologies"
VVols (Virtual Volumes) (architecture technologies),"storage-array integration where each virtual disk is an array object, enabling per-VM array services.","notes,architecture-technologies"
Raw Device Mapping (RDM) (architecture technologies),a VM accessing a LUN directly. Used for clustering across physical hosts and for very large LUNs.,"notes,architecture-technologies"
Thin provisioning (architecture technologies),allocates space on demand; risks over-commitment of the datastore.,"notes,architecture-technologies"
Thick provision lazy zeroed (architecture technologies),"space allocated up front, zeroed on first write.","notes,architecture-technologies"
Thick provision eager zeroed (architecture technologies),"space allocated and zeroed at creation. Required for some clustering features, slowest to create.","notes,architecture-technologies"
vSphere Standard Switch (VSS) (architecture technologies),"configured per host. Simple, but consistency across hosts is manual and error-prone.","notes,architecture-technologies"
vSphere Distributed Switch (VDS) (architecture technologies),"configured centrally in vCenter and pushed to member hosts. Provides consistency plus advanced features such as NetFlow, port mirroring, LACP, and network I/O control. Requires the appropriate licence.","notes,architecture-technologies"
Port group (architecture technologies),"a policy template for a set of virtual ports, including VLAN, security, and teaming settings.","notes,architecture-technologies"
VMkernel adapter (architecture technologies),"a host interface carrying management, vMotion, vSAN, or storage traffic.","notes,architecture-technologies"
Uplink (vmnic) (architecture technologies),a physical NIC attached to a virtual switch.,"notes,architecture-technologies"
NIC teaming (architecture technologies),multiple uplinks for redundancy and load distribution.,"notes,architecture-technologies"
vSphere HA (architecture technologies),"restarts VMs on surviving hosts after a host failure. It is a restart, so there is downtime; it is not fault tolerance.","notes,architecture-technologies"
vSphere Fault Tolerance (FT) (architecture technologies),"runs a shadow VM in lockstep, providing zero-downtime failover, with strict limits on vCPU count and heavy network requirements.","notes,architecture-technologies"
DRS (Distributed Resource Scheduler) (architecture technologies),"balances VM placement across hosts using vMotion, and makes initial placement decisions.","notes,architecture-technologies"
Storage DRS (architecture technologies),balances VMs across datastores in a datastore cluster by space and latency.,"notes,architecture-technologies"
vMotion (architecture technologies),"live migration of a running VM's compute between hosts, with no downtime.","notes,architecture-technologies"
Storage vMotion (architecture technologies),live migration of a VM's files between datastores.,"notes,architecture-technologies"
DPM (Distributed Power Management) (architecture technologies),consolidates VMs and powers down unneeded hosts.,"notes,architecture-technologies"
EVC (Enhanced vMotion Compatibility) (architecture technologies),masks CPU features to a common baseline so vMotion works across mixed CPU generations within the same vendor. It cannot bridge Intel and AMD.,"notes,architecture-technologies"
vCenter Server Appliance (VCSA) (vmware solution),"the Photon OS-based appliance. The Windows version is discontinued, so VCSA is the only deployment form.","notes,vmware-solution"
vCenter Single Sign-On (SSO) (vmware solution),the authentication service issuing tokens for vSphere components.,"notes,vmware-solution"
vCenter Single Sign-On domain (vmware solution),"vsphere.local by default, distinct from your Active Directory domain. Confusing the two is a common error.","notes,vmware-solution"
Enhanced Linked Mode (vmware solution),"multiple vCenter Servers sharing roles, permissions, licences, tags, and policies, and manageable from one client view.","notes,vmware-solution"
vCenter High Availability (VCHA) (vmware solution),"active, passive, and witness nodes protecting vCenter itself.","notes,vmware-solution"
vCenter backup (vmware solution),"file-based backup to FTP, SFTP, HTTP, HTTPS, SMB, or NFS. This is the supported protection mechanism and is examined.","notes,vmware-solution"
Identity source (vmware solution),"Active Directory over LDAP, OpenLDAP, or an external identity provider for federated authentication.","notes,vmware-solution"
Permission model (vmware solution),"a permission is the combination of a user or group, a role, and an object, with an option to propagate to children.","notes,vmware-solution"
Role (vmware solution),"a named set of privileges. Sample roles include Administrator, Read-only, and No access, plus sample roles for common jobs.","notes,vmware-solution"
Propagation (vmware solution),permissions applied to a parent object flow to children when propagate is enabled.,"notes,vmware-solution"
Effective permissions (vmware solution),"where multiple permissions apply, user permissions on an object override group permissions on that object, and permissions set on a child object override those inherited from a parent.","notes,vmware-solution"
Cluster (vmware solution),"the container on which HA, DRS, and vSAN are enabled.","notes,vmware-solution"
Purpose (vmware solution),"restart VMs after host, guest OS, or (with configuration) datastore failure. Downtime occurs; it is a restart, not continuity.","notes,vmware-solution"
Master and subordinate hosts (vmware solution),one host is elected master and monitors the others.,"notes,vmware-solution"
Heartbeat (vmware solution),"network heartbeats, with datastore heartbeating as a secondary channel to distinguish a failed host from an isolated one.","notes,vmware-solution"
Host isolation (vmware solution),"a host that cannot reach the network but is still running. Isolation response options are leave powered on, power off, or shut down.","notes,vmware-solution"
