Question,Answer,Tags
How long is the CCSP - Certified Cloud Security Professional exam?,3 hours,exam-logistics
How many questions are on the CCSP - Certified Cloud Security Professional exam?,150,exam-logistics
What is the passing score for CCSP - Certified Cloud Security Professional?,700 / 1000 (scaled),exam-logistics
What does the CCSP - Certified Cloud Security Professional exam cost?,$599,exam-logistics
How long is CCSP - Certified Cloud Security Professional valid for?,3 years,exam-logistics
How is the CCSP - Certified Cloud Security Professional exam delivered?,Pearson VUE only,exam-logistics
Public (cloud concepts architecture design),"Shared infrastructure, owned by cloud provider, available to general public","notes,cloud-concepts-architecture-design"
Private (cloud concepts architecture design),Single organization (can be on-premises or hosted by third party),"notes,cloud-concepts-architecture-design"
Community (cloud concepts architecture design),"Shared by orgs with common requirements (e.g., specific compliance)","notes,cloud-concepts-architecture-design"
Hybrid (cloud concepts architecture design),Combination of two or more models with technology enabling portability,"notes,cloud-concepts-architecture-design"
DBaaS (cloud concepts architecture design),Database as a Service,"notes,cloud-concepts-architecture-design"
DRaaS (cloud concepts architecture design),Disaster Recovery as a Service,"notes,cloud-concepts-architecture-design"
DaaS (cloud concepts architecture design),Desktop as a Service (VDI in cloud),"notes,cloud-concepts-architecture-design"
FaaS (cloud concepts architecture design),Function as a Service (serverless),"notes,cloud-concepts-architecture-design"
STaaS (cloud concepts architecture design),Storage as a Service,"notes,cloud-concepts-architecture-design"
CaaS (cloud concepts architecture design),Container as a Service,"notes,cloud-concepts-architecture-design"
NaaS (cloud concepts architecture design),Network as a Service,"notes,cloud-concepts-architecture-design"
SECaaS (cloud concepts architecture design),Security as a Service (managed security via cloud),"notes,cloud-concepts-architecture-design"
IDaaS (cloud concepts architecture design),Identity as a Service,"notes,cloud-concepts-architecture-design"
MBaaS (cloud concepts architecture design),Mobile Backend as a Service,"notes,cloud-concepts-architecture-design"
Cloud Service Customer (CSC) (cloud concepts architecture design),Uses cloud services,"notes,cloud-concepts-architecture-design"
Cloud Service Provider (CSP) (cloud concepts architecture design),Provides cloud services,"notes,cloud-concepts-architecture-design"
Cloud Service Partner (CSN) (cloud concepts architecture design),"Supports CSP or CSC; types include broker, auditor, integrator","notes,cloud-concepts-architecture-design"
Cloud Service Broker (CSB) (cloud concepts architecture design),"Negotiates relationships, aggregates services","notes,cloud-concepts-architecture-design"
Cloud Auditor (cloud concepts architecture design),Independent assessment of cloud services,"notes,cloud-concepts-architecture-design"
Cloud Service User (cloud concepts architecture design),Individual using the service on behalf of CSC,"notes,cloud-concepts-architecture-design"
Cloud Service Administrator (cloud concepts architecture design),Manages services for CSC,"notes,cloud-concepts-architecture-design"
Cloud Service Business Manager (cloud concepts architecture design),Business-level management,"notes,cloud-concepts-architecture-design"
Cloud Service Integrator (cloud concepts architecture design),Composes services,"notes,cloud-concepts-architecture-design"
Cloud Service Developer (cloud concepts architecture design),Builds applications,"notes,cloud-concepts-architecture-design"
CSA Cloud Controls Matrix (CCM) v4 (cloud concepts architecture design),"197 controls in 17 domains, mapped to many frameworks","notes,cloud-concepts-architecture-design"
CSA Consensus Assessments Initiative Questionnaire (CAIQ) (cloud concepts architecture design),Standardized vendor questionnaire,"notes,cloud-concepts-architecture-design"
CSA STAR Registry (cloud concepts architecture design),"Levels 1 (self-assessment), 2 (third-party), 3 (continuous, in development)","notes,cloud-concepts-architecture-design"
ISO/IEC 27017 (cloud concepts architecture design),Cloud-specific 27002 controls,"notes,cloud-concepts-architecture-design"
ISO/IEC 27018 (cloud concepts architecture design),PII protection in public clouds,"notes,cloud-concepts-architecture-design"
ISO/IEC 27701 (cloud concepts architecture design),Privacy management on top of 27001,"notes,cloud-concepts-architecture-design"
ISO/IEC 17788 (cloud concepts architecture design),Cloud vocabulary,"notes,cloud-concepts-architecture-design"
ISO/IEC 17789 (cloud concepts architecture design),Cloud reference architecture,"notes,cloud-concepts-architecture-design"
ISO/IEC 19944 (cloud concepts architecture design),Cross-cutting cloud information flow,"notes,cloud-concepts-architecture-design"
NIST SP 800-145 (cloud concepts architecture design),Cloud definition,"notes,cloud-concepts-architecture-design"
NIST SP 500-291 (cloud concepts architecture design),Cloud Standards Roadmap,"notes,cloud-concepts-architecture-design"
NIST SP 800-144 (cloud concepts architecture design),Security and Privacy in Public Cloud,"notes,cloud-concepts-architecture-design"
NIST SP 800-210 (cloud concepts architecture design),Access Control for Cloud,"notes,cloud-concepts-architecture-design"
