Question,Answer,Tags
How long is the ServiceNow Certified System Administrator (CSA) exam?,90 minutes,exam-logistics
What does the ServiceNow Certified System Administrator (CSA) exam cost?,$300 USD,exam-logistics
Now Platform (platform overview),"a multi-instance PaaS on which ITSM, ITOM, HR, CSM, and custom applications are built. Everything is an application on one platform, sharing one data model.","notes,platform-overview"
Instance (platform overview),"a dedicated application server and database for one customer, reached at .service-now.com. Multi-instance, not multi-tenant: your configuration and data are isolated in your own database schema.","notes,platform-overview"
Sub-production instances (platform overview),"Dev, Test, UAT, Sandbox. Development happens here, never in production.","notes,platform-overview"
Production instance (platform overview),the live system.,"notes,platform-overview"
Family / release (platform overview),"named after cities in alphabetical order, roughly two major releases a year. Upgrades apply the new base system while attempting to preserve customisations.","notes,platform-overview"
Patch and hotfix (platform overview),smaller fixes between family releases.,"notes,platform-overview"
Personal Developer Instance (PDI) (platform overview),a free instance for learning. The single most useful study resource for this exam.,"notes,platform-overview"
Next Experience UI (platform overview),"the current interface, replacing the older UI16 frame.","notes,platform-overview"
All / Application navigator (platform overview),"the left-hand menu of applications and modules, filterable by typing.","notes,platform-overview"
Application (platform overview),"a grouping of functionality, for example Incident.","notes,platform-overview"
Module (platform overview),"an item within an application that opens a page, for example ""Create New"" or ""Open"".","notes,platform-overview"
Favorites and history (platform overview),quick access to frequently used and recently visited records.,"notes,platform-overview"
Unified Navigation and workspaces (platform overview),configurable agent-facing interfaces.,"notes,platform-overview"
Related lists (platform overview),"records related to the current record, displayed beneath the form.","notes,platform-overview"
Table (platform overview),"stores records. Named with a prefix and underscore, for example sys_user, task, incident.","notes,platform-overview"
Field (column) (platform overview),"an attribute. Each has a type: string, integer, reference, choice, date/time, true/false, journal.","notes,platform-overview"
Sys_id (platform overview),"the 32-character unique identifier for every record on the platform. It is how records are referenced internally, and it never changes.","notes,platform-overview"
Reference field (platform overview),"a pointer to a record in another table, stored as that record's sys_id.","notes,platform-overview"
Dot-walking (platform overview),"traversing a reference to reach fields on the referenced record, for example caller_id.department.name. Only possible through reference fields.","notes,platform-overview"
Choice field (platform overview),a constrained list of values.,"notes,platform-overview"
Journal field (platform overview),append-only entries such as Work notes and Additional comments.,"notes,platform-overview"
Base table (platform overview),a parent whose fields are inherited by children.,"notes,platform-overview"
Extended table (platform overview),inherits all fields of its parent and adds its own.,"notes,platform-overview"
Task table (platform overview),"the central base table. Incident, Problem, Change Request, and Catalog Task all extend Task, which is why they share fields such as Number, Short description, Assigned to, State, and Priority.","notes,platform-overview"
