Question,Answer,Tags
How long is the AWS Certified CloudOps Engineer - Associate (SOA-C03) exam?,180 minutes (3 hours),exam-logistics
How many questions are on the AWS Certified CloudOps Engineer - Associate (SOA-C03) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified CloudOps Engineer - Associate (SOA-C03)?,"720/1000 (scaled scoring, approximately 72%)",exam-logistics
What does the AWS Certified CloudOps Engineer - Associate (SOA-C03) exam cost?,$150 USD,exam-logistics
How long is AWS Certified CloudOps Engineer - Associate (SOA-C03) valid for?,3 years,exam-logistics
How is the AWS Certified CloudOps Engineer - Associate (SOA-C03) exam delivered?,Pearson VUE (online proctored or testing center),exam-logistics
Log Groups (monitoring logging),collection of log streams sharing retention and access settings,"notes,monitoring-logging"
Log Streams (monitoring logging),sequence of log events from same source,"notes,monitoring-logging"
Retention (monitoring logging),"configurable from 1 day to 10 years, or never expire","notes,monitoring-logging"
Log Events (monitoring logging),individual records with timestamp and message,"notes,monitoring-logging"
CloudWatch Agent (monitoring logging),unified agent for metrics and logs from EC2,"notes,monitoring-logging"
SDK/API (monitoring logging),PutLogEvents for application logs,"notes,monitoring-logging"
VPC Flow Logs (monitoring logging),network traffic logs,"notes,monitoring-logging"
CloudTrail (monitoring logging),API activity logs,"notes,monitoring-logging"
Lambda (monitoring logging),automatic function log streaming,"notes,monitoring-logging"
ECS/EKS (monitoring logging),container log drivers,"notes,monitoring-logging"
Management Events (monitoring logging),"control plane operations (CreateBucket, RunInstances)","notes,monitoring-logging"
Data Events (monitoring logging),"data plane operations (GetObject, PutItem) - must be explicitly enabled","notes,monitoring-logging"
Insights Events (monitoring logging),detect unusual API activity patterns,"notes,monitoring-logging"
Single-region trail (monitoring logging),logs events in one region,"notes,monitoring-logging"
Multi-region trail (monitoring logging),logs events across all regions (recommended),"notes,monitoring-logging"
Organization trail (monitoring logging),logs events for all accounts in AWS Organizations,"notes,monitoring-logging"
Log file integrity validation (monitoring logging),detect tampering with SHA-256 hashing,"notes,monitoring-logging"
Event Bus (monitoring logging),"receives events from sources (default, custom, partner)","notes,monitoring-logging"
Rules (monitoring logging),match incoming events and route to targets,"notes,monitoring-logging"
Targets (monitoring logging),"destinations for matched events (Lambda, SNS, SQS, SSM, Step Functions)","notes,monitoring-logging"
Event Patterns (monitoring logging),JSON patterns to filter events,"notes,monitoring-logging"
Traces (monitoring logging),end-to-end request path across services,"notes,monitoring-logging"
Segments (monitoring logging),data about work done by a service,"notes,monitoring-logging"
Subsegments (monitoring logging),granular detail within a segment,"notes,monitoring-logging"
Service Map (monitoring logging),visual representation of application architecture,"notes,monitoring-logging"
Annotations (monitoring logging),indexed key-value pairs for filtering traces,"notes,monitoring-logging"
Metadata (monitoring logging),non-indexed data for debugging,"notes,monitoring-logging"
X-Ray SDK (monitoring logging),instrument application code,"notes,monitoring-logging"
X-Ray Daemon (monitoring logging),"listens on UDP port 2000, sends data to X-Ray API","notes,monitoring-logging"
Sampling (monitoring logging),control trace volume (reservoir and rate),"notes,monitoring-logging"
Supported Services (monitoring logging),"Lambda, API Gateway, ECS, Elastic Beanstalk, EC2","notes,monitoring-logging"
Endpoint health checks (reliability business continuity),monitor IP address or domain,"notes,reliability-business-continuity"
Calculated health checks (reliability business continuity),combine multiple health checks,"notes,reliability-business-continuity"
CloudWatch alarm health checks (reliability business continuity),based on CloudWatch alarm state,"notes,reliability-business-continuity"
SSM Parameter type (deployment automation),resolve values from Parameter Store at deploy time,"notes,deployment-automation"
Ref (deployment automation),reference parameters and resource logical IDs,"notes,deployment-automation"
Fn::GetAtt (deployment automation),get attributes from resources,"notes,deployment-automation"
Fn::Join (deployment automation),concatenate strings,"notes,deployment-automation"
Fn::Sub (deployment automation),substitute variables in strings,"notes,deployment-automation"
Fn::Select (deployment automation),select from a list,"notes,deployment-automation"
Fn::Split (deployment automation),split a string into a list,"notes,deployment-automation"
Fn::ImportValue (deployment automation),import from another stack's exports,"notes,deployment-automation"
Fn::If (deployment automation),conditional values based on conditions,"notes,deployment-automation"
Fn::Base64 (deployment automation),encode to Base64 (user data),"notes,deployment-automation"
CREATE_FAILED (deployment automation),all resources rolled back and deleted by default,"notes,deployment-automation"
UPDATE_ROLLBACK_FAILED (deployment automation),"stack stuck, may need manual intervention","notes,deployment-automation"
Continue rollback (deployment automation),skip resources causing rollback failure,"notes,deployment-automation"
Retain (deployment automation),resource preserved after stack deletion,"notes,deployment-automation"
Snapshot (deployment automation),"create snapshot before deletion (EBS, RDS, Redshift)","notes,deployment-automation"
Administrator account (deployment automation),creates and manages stack sets,"notes,deployment-automation"
Target accounts (deployment automation),accounts where stack instances are deployed,"notes,deployment-automation"
Stack instances (deployment automation),reference to a stack in a target account/region,"notes,deployment-automation"
L1 (CFN Resources) (deployment automation),direct CloudFormation resource mapping,"notes,deployment-automation"
L2 (Curated) (deployment automation),"higher-level, opinionated constructs with sensible defaults","notes,deployment-automation"
L3 (Patterns) (deployment automation),"complete architectures (e.g., ApplicationLoadBalancedFargateService)","notes,deployment-automation"
Web Server (deployment automation),handles HTTP requests (ALB + EC2 ASG),"notes,deployment-automation"
Worker (deployment automation),processes background tasks (SQS + EC2 ASG),"notes,deployment-automation"
.ebextensions/ (deployment automation),YAML configuration files in source bundle,"notes,deployment-automation"
Saved configurations (deployment automation),reusable environment configurations,"notes,deployment-automation"
Environment properties (deployment automation),environment variables,"notes,deployment-automation"
Stages (deployment automation),logical groups of actions,"notes,deployment-automation"
Actions (deployment automation),"tasks within stages (source, build, test, deploy, approval)","notes,deployment-automation"
Transitions (deployment automation),connections between stages (can be disabled),"notes,deployment-automation"
Artifacts (deployment automation),input and output data between stages,"notes,deployment-automation"
Blue/green (deployment automation),"deploy to new instances, switch traffic","notes,deployment-automation"
Canary (deployment automation),shift traffic in two increments,"notes,deployment-automation"
Linear (deployment automation),shift traffic in equal increments,"notes,deployment-automation"
Identity-based (security compliance),"attached to users, groups, or roles","notes,security-compliance"
Resource-based (security compliance),"attached to resources (S3 buckets, SQS queues)","notes,security-compliance"
Permission boundaries (security compliance),maximum permissions for IAM entities,"notes,security-compliance"
Service Control Policies (SCPs) (security compliance),maximum permissions for accounts in Organizations,"notes,security-compliance"
Session policies (security compliance),limit permissions for role session,"notes,security-compliance"
Management account (security compliance),root account that creates the organization,"notes,security-compliance"
Organizational Units (OUs) (security compliance),logical groupings of accounts,"notes,security-compliance"
Member accounts (security compliance),accounts within the organization,"notes,security-compliance"
Root (security compliance),top-level container for all accounts and OUs,"notes,security-compliance"
Resource inventory (security compliance),discover and track all AWS resources,"notes,security-compliance"
Configuration history (security compliance),view changes over time,"notes,security-compliance"
Configuration recorder (security compliance),records resource configurations,"notes,security-compliance"
Delivery channel (security compliance),sends configuration data to S3 and SNS,"notes,security-compliance"
Customer managed keys (security compliance),you create and manage,"notes,security-compliance"
AWS managed keys (security compliance),AWS creates for service integration,"notes,security-compliance"
AWS owned keys (security compliance),"AWS uses internally, not visible","notes,security-compliance"
Shield Standard (security compliance),"free, automatic DDoS protection","notes,security-compliance"
Shield Advanced (security compliance),enhanced DDoS protection with 24/7 support,"notes,security-compliance"
CIDR Block (networking),"IP address range (e.g., 10.0.0.0/16) - /16 to /28","notes,networking"
Subnets (networking),subdivisions within AZs,"notes,networking"
Route Tables (networking),control traffic routing,"notes,networking"
Internet Gateway (networking),connects VPC to the internet,"notes,networking"
NAT Gateway (networking),enables outbound internet for private subnets,"notes,networking"
Virtual Private Gateway (VGW) (networking),AWS side of VPN connection,"notes,networking"
Customer Gateway (networking),on-premises side of VPN connection,"notes,networking"
VPN Connection (networking),two IPSec tunnels for redundancy,"notes,networking"
Private VIF (networking),connect to VPC resources,"notes,networking"
Public VIF (networking),connect to AWS public services,"notes,networking"
Transit VIF (networking),connect to Transit Gateway,"notes,networking"
AAAA (networking),maps domain to IPv6 address,"notes,networking"
CNAME (networking),maps domain to another domain (cannot be zone apex),"notes,networking"
Alias (networking),"maps domain to AWS resource (can be zone apex, free for AWS resources)","notes,networking"
MX (networking),mail exchange records,"notes,networking"
TXT (networking),"text records (verification, SPF)","notes,networking"
NS (networking),name server records,"notes,networking"
Public hosted zone (networking),routes internet traffic,"notes,networking"
Private hosted zone (networking),routes traffic within VPCs,"notes,networking"
Simple (networking),"single resource, no health checks","notes,networking"
Weighted (networking),distribute by percentage (useful for A/B testing),"notes,networking"
Latency (networking),route to lowest latency region,"notes,networking"
Failover (networking),active-passive with health checks,"notes,networking"
Geolocation (networking),route by user geographic location,"notes,networking"
Geoproximity (networking),route by resource location with bias,"notes,networking"
Multivalue Answer (networking),return multiple healthy records (up to 8),"notes,networking"
Origins (networking),"source of content (S3, ALB, API Gateway, custom HTTP)","notes,networking"
Behaviors (networking),rules for how CloudFront handles requests,"notes,networking"
Edge Locations (networking),points of presence for content caching,"notes,networking"
Regional Edge Caches (networking),intermediate cache layer,"notes,networking"
TTL (networking),"minimum, default, and maximum time-to-live","notes,networking"
Cache Key (networking),determines what constitutes a unique object,"notes,networking"
Cache Policies (networking),define what's included in cache key,"notes,networking"
Origin Request Policies (networking),control what's forwarded to origin,"notes,networking"
Invalidation (networking),remove objects from edge caches before TTL,"notes,networking"
Origin Groups (networking),primary and secondary origins,"notes,networking"
Origin Access Control (OAC) (networking),restrict S3 access to CloudFront only,"notes,networking"
HTTPS enforcement (networking),redirect HTTP to HTTPS,"notes,networking"
Custom SSL certificates (networking),via ACM (us-east-1 for CloudFront),"notes,networking"
Geo-restriction (networking),allow or block by country,"notes,networking"
AWS WAF integration (networking),web application protection,"notes,networking"
Field-level encryption (networking),encrypt sensitive form fields,"notes,networking"
Monthly costs by service (cost performance),identify top spending services,"notes,cost-performance"
Daily costs with trend (cost performance),spot cost anomalies,"notes,cost-performance"
Cost by linked account (cost performance),multi-account cost tracking,"notes,cost-performance"
Instance type usage (cost performance),identify right-sizing opportunities,"notes,cost-performance"
Reserved Instance utilization (cost performance),track RI usage efficiency,"notes,cost-performance"
AWS-generated tags (cost performance),"aws:createdBy, aws:cloudformation:stack-name","notes,cost-performance"
User-defined tags (cost performance),custom key-value pairs for cost tracking,"notes,cost-performance"
Cost budget (cost performance),track spending against a threshold,"notes,cost-performance"
Usage budget (cost performance),"track service usage (hours, GB, requests)","notes,cost-performance"
Reservation budget (cost performance),track RI and Savings Plan utilization,"notes,cost-performance"
Savings Plans budget (cost performance),track Savings Plan coverage,"notes,cost-performance"
Budget Actions (cost performance),automated responses to budget alerts,"notes,cost-performance"
Cost Optimization (cost performance),"idle resources, underutilized instances, unused EIPs","notes,cost-performance"
Performance (cost performance),"high utilization instances, CloudFront optimization","notes,cost-performance"
Security (cost performance),"open security groups, IAM use, MFA on root","notes,cost-performance"
Fault Tolerance (cost performance),"Multi-AZ, backup, replication","notes,cost-performance"
Service Limits (cost performance),approaching service quotas,"notes,cost-performance"
Basic/Developer support (cost performance),7 core security checks (limited),"notes,cost-performance"
Business/Enterprise support (cost performance),all checks available,"notes,cost-performance"
API access (cost performance),programmatic access to check results,"notes,cost-performance"
Over-provisioned (cost performance),reduce instance size for cost savings,"notes,cost-performance"
Under-provisioned (cost performance),increase instance size for performance,"notes,cost-performance"
Optimized (cost performance),current configuration is appropriate,"notes,cost-performance"
Not optimized (cost performance),change instance family for better fit,"notes,cost-performance"
gp3 (cost performance),"general purpose SSD, 3000 IOPS baseline, up to 16,000","notes,cost-performance"
gp2 (cost performance),"general purpose SSD, burst performance based on size","notes,cost-performance"
io2 Block Express (cost performance),"highest performance, up to 256,000 IOPS","notes,cost-performance"
st1 (cost performance),"throughput optimized HDD, sequential reads","notes,cost-performance"
sc1 (cost performance),"cold HDD, infrequent access","notes,cost-performance"
Redis (cost performance),"complex data types, persistence, pub/sub, replication","notes,cost-performance"
Memcached (cost performance),"simple caching, multi-threaded, no persistence","notes,cost-performance"
