Question,Answer,Tags
How long is the CompTIA Cloud+ (CV0-004) exam?,90 minutes,exam-logistics
How many questions are on the CompTIA Cloud+ (CV0-004) exam?,Up to 90 (MCQ + performance-based),exam-logistics
What is the passing score for CompTIA Cloud+ (CV0-004)?,750/900,exam-logistics
What does the CompTIA Cloud+ (CV0-004) exam cost?,$369 USD,exam-logistics
How long is CompTIA Cloud+ (CV0-004) valid for?,3 years,exam-logistics
How is the CompTIA Cloud+ (CV0-004) exam delivered?,Pearson VUE (testing center or online proctored),exam-logistics
On-premises private cloud (cloud architecture),Organization owns and manages everything,"notes,cloud-architecture"
Hosted private cloud (cloud architecture),Third party hosts dedicated infrastructure,"notes,cloud-architecture"
Virtual private cloud (cloud architecture),Logically isolated section within public cloud,"notes,cloud-architecture"
Cloud bursting (cloud architecture),Overflow to public cloud during demand spikes,"notes,cloud-architecture"
Data sovereignty (cloud architecture),"Keep regulated data in private, use public for compute","notes,cloud-architecture"
Tiered architecture (cloud architecture),Different tiers in different environments,"notes,cloud-architecture"
Unified management (cloud architecture),Single pane of glass for both environments,"notes,cloud-architecture"
Storage as a Service (STaaS) (cloud architecture),"Object storage, file storage","notes,cloud-architecture"
Desktop as a Service (DaaS) (cloud architecture),Virtual desktop infrastructure,"notes,cloud-architecture"
Security as a Service (SECaaS) (cloud architecture),Managed security services,"notes,cloud-architecture"
Network as a Service (NaaS) (cloud architecture),Virtual networking,"notes,cloud-architecture"
Redundancy (cloud architecture),Duplicate components at every layer,"notes,cloud-architecture"
Geographic distribution (cloud architecture),Resources across multiple availability zones and regions,"notes,cloud-architecture"
Load balancing (cloud architecture),Distribute traffic across healthy instances,"notes,cloud-architecture"
Health monitoring (cloud architecture),Automated health checks with automatic failover,"notes,cloud-architecture"
Clustering (cloud architecture),Active-active or active-passive configurations,"notes,cloud-architecture"
Message queues (cloud architecture),Asynchronous communication between services,"notes,cloud-architecture"
API gateways (cloud architecture),Centralized entry point with routing,"notes,cloud-architecture"
Event-driven (cloud architecture),Services react to events rather than direct calls,"notes,cloud-architecture"
Microservices (cloud architecture),"Small, independent services with single responsibilities","notes,cloud-architecture"
CDN caching (cloud architecture),Static content closer to users (edge locations),"notes,cloud-architecture"
Application caching (cloud architecture),"Frequently accessed data in memory (Redis, Memcached)","notes,cloud-architecture"
Database caching (cloud architecture),"Query result caching, read replicas","notes,cloud-architecture"
DNS caching (cloud architecture),Reduce DNS lookup latency,"notes,cloud-architecture"
On-demand (cloud architecture),"Pay per use, no commitment (highest per-unit cost)","notes,cloud-architecture"
Reserved (cloud architecture),1-3 year commitment for significant discount (up to 72%),"notes,cloud-architecture"
Spot/preemptible (cloud architecture),Unused capacity at deep discount (up to 90%),"notes,cloud-architecture"
Savings plans (cloud architecture),Flexible commitment-based discounts,"notes,cloud-architecture"
Knowledge factor (security),"Passwords, PINs, security questions","notes,security"
Possession factor (security),"Hardware tokens, authenticator apps, SMS codes","notes,security"
Inherence factor (security),"Fingerprint, facial recognition, retina scan","notes,security"
Location factor (security),"Geofencing, IP restrictions","notes,security"
IDS (security),Detects and alerts on suspicious activity,"notes,security"
IPS (security),Detects and blocks suspicious activity,"notes,security"
Public (security),"No restrictions, freely available","notes,security"
Internal (security),For organizational use only,"notes,security"
Confidential (security),"Restricted access, business-sensitive","notes,security"
Restricted/Secret (security),"Highest protection level, regulatory requirements","notes,security"
AES-256 (security),Standard symmetric encryption algorithm,"notes,security"
Volume encryption (security),Encrypt entire storage volumes,"notes,security"
Database encryption (security),Transparent Data Encryption (TDE),"notes,security"
Object storage encryption (security),Server-side or client-side,"notes,security"
Backup encryption (security),Encrypt all backup copies,"notes,security"
TLS 1.2/1.3 (security),"Standard for HTTPS, API calls, web traffic","notes,security"
IPsec (security),VPN tunnel encryption,"notes,security"
SSH (security),Secure remote administration,"notes,security"
mTLS (security),Mutual authentication between services,"notes,security"
Provider-managed keys (security),Cloud provider generates and manages keys,"notes,security"
Customer-managed keys (CMK) (security),Customer controls key lifecycle,"notes,security"
Customer-supplied keys (CSEK) (security),Customer provides the actual keys,"notes,security"
Bring Your Own Key (BYOK) (security),"Customer generates, imports to provider","notes,security"
Functional testing (deployment),Application works correctly in cloud,"notes,deployment"
Performance testing (deployment),Meets performance requirements,"notes,deployment"
Security testing (deployment),Security controls are effective,"notes,deployment"
Integration testing (deployment),Connections to other systems work,"notes,deployment"
User acceptance testing (UAT) (deployment),End users validate functionality,"notes,deployment"
Failover testing (deployment),DR and HA mechanisms work,"notes,deployment"
Declarative (deployment),"Define desired end state, tool figures out how (Terraform, CloudFormation)","notes,deployment"
Imperative (deployment),"Define step-by-step instructions (scripts, Ansible playbooks partially)","notes,deployment"
Idempotency (deployment),Running the same code produces the same result,"notes,deployment"
Version control (deployment),Store infrastructure code in Git,"notes,deployment"
Modularity (deployment),Reusable components and modules,"notes,deployment"
State management (deployment),Track current infrastructure state,"notes,deployment"
Immutable infrastructure (deployment),Replace rather than modify,"notes,deployment"
Providers (deployment),"Plugins for cloud platforms (AWS, Azure, GCP)","notes,deployment"
Resources (deployment),Infrastructure components to create,"notes,deployment"
Data sources (deployment),Read existing infrastructure data,"notes,deployment"
Variables (deployment),Input parameters for configurations,"notes,deployment"
Outputs (deployment),Export values from configurations,"notes,deployment"
Modules (deployment),Reusable configuration packages,"notes,deployment"
📖 Ansible Documentation (deployment),Complete Ansible reference,"notes,deployment"
Image (deployment),Read-only template with application and dependencies,"notes,deployment"
Container (deployment),Running instance of an image,"notes,deployment"
Dockerfile (deployment),Build instructions for creating images,"notes,deployment"
Registry (deployment),Repository for storing and sharing images,"notes,deployment"
Volume (deployment),Persistent data storage for containers,"notes,deployment"
Network (deployment),Communication between containers,"notes,deployment"
Docker Hub (deployment),Public registry (free and paid tiers),"notes,deployment"
Amazon ECR (deployment),AWS managed container registry,"notes,deployment"
Azure Container Registry (deployment),Azure managed registry,"notes,deployment"
Google Container Registry/Artifact Registry (deployment),GCP managed registry,"notes,deployment"
Private registries (deployment),"Self-hosted (Harbor, GitLab Registry)","notes,deployment"
Pod (deployment),"Smallest deployable unit, one or more containers","notes,deployment"
Service (deployment),Stable network endpoint for accessing pods,"notes,deployment"
Deployment (deployment),Declarative updates for pods and replica sets,"notes,deployment"
ReplicaSet (deployment),Ensures specified number of pod replicas,"notes,deployment"
Namespace (deployment),Virtual cluster within a physical cluster,"notes,deployment"
ConfigMap (deployment),Non-sensitive configuration data,"notes,deployment"
Secret (deployment),"Sensitive data (passwords, tokens, keys)","notes,deployment"
Ingress (deployment),HTTP/HTTPS routing rules for external access,"notes,deployment"
ClusterIP (deployment),Internal cluster communication only,"notes,deployment"
NodePort (deployment),Expose on each node's IP at a static port,"notes,deployment"
LoadBalancer (deployment),Cloud provider load balancer,"notes,deployment"
ExternalName (deployment),Maps to external DNS name,"notes,deployment"
Horizontal Pod Autoscaler (HPA) (deployment),Scale pods based on metrics,"notes,deployment"
Vertical Pod Autoscaler (VPA) (deployment),Adjust pod resource requests,"notes,deployment"
Cluster Autoscaler (deployment),Add/remove nodes based on pod scheduling,"notes,deployment"
Liveness probe (deployment),Is the container alive? (restart if not),"notes,deployment"
Readiness probe (deployment),Is the container ready for traffic? (remove from service if not),"notes,deployment"
Startup probe (deployment),Has the container started? (delay other probes),"notes,deployment"
Amazon EKS (deployment),AWS managed Kubernetes,"notes,deployment"
Azure AKS (deployment),Azure managed Kubernetes,"notes,deployment"
