Question,Answer,Tags
How long is the OCI AI Foundations Associate (1Z0-1122-25) exam?,60 minutes,exam-logistics
How many questions are on the OCI AI Foundations Associate (1Z0-1122-25) exam?,40,exam-logistics
What is the passing score for OCI AI Foundations Associate (1Z0-1122-25)?,65%,exam-logistics
What does the OCI AI Foundations Associate (1Z0-1122-25) exam cost?,USD 245 list price; Oracle frequently runs free certification periods for its AI and OCI foundations exams,exam-logistics
How long is OCI AI Foundations Associate (1Z0-1122-25) valid for?,Oracle refreshes these annually with a year suffix in the exam code,exam-logistics
How is the OCI AI Foundations Associate (1Z0-1122-25) exam delivered?,"Oracle CertView, online proctored",exam-logistics
Classification (ai and ml fundamentals),"predict a category. Spam or not spam, which of five defect types, will the customer churn","notes,ai-and-ml-fundamentals"
Regression (ai and ml fundamentals),"predict a continuous value. House price, tomorrow's demand, time to failure","notes,ai-and-ml-fundamentals"
Anomaly detection (ai and ml fundamentals),identify points that do not fit the learned pattern,"notes,ai-and-ml-fundamentals"
Fairness (ai and ml fundamentals),the system does not produce discriminatory outcomes across groups,"notes,ai-and-ml-fundamentals"
Transparency (ai and ml fundamentals),users know they are interacting with AI and understand its role,"notes,ai-and-ml-fundamentals"
Explainability (ai and ml fundamentals),decisions can be explained to the people they affect,"notes,ai-and-ml-fundamentals"
Accountability (ai and ml fundamentals),a human is responsible for outcomes,"notes,ai-and-ml-fundamentals"
Privacy (ai and ml fundamentals),personal data is protected throughout the lifecycle,"notes,ai-and-ml-fundamentals"
Robustness and safety (ai and ml fundamentals),"the system behaves reliably, including under unexpected input","notes,ai-and-ml-fundamentals"
Artificial intelligence (ai and ml fundamentals),systems performing tasks that would otherwise require human intelligence,"notes,ai-and-ml-fundamentals"
Machine learning (ai and ml fundamentals),systems that learn patterns from data rather than following explicit rules,"notes,ai-and-ml-fundamentals"
Deep learning (ai and ml fundamentals),machine learning using multi-layer neural networks,"notes,ai-and-ml-fundamentals"
Supervised learning (ai and ml fundamentals),learning from labeled data to predict a label,"notes,ai-and-ml-fundamentals"
Unsupervised learning (ai and ml fundamentals),finding structure in unlabeled data,"notes,ai-and-ml-fundamentals"
Reinforcement learning (ai and ml fundamentals),learning a policy from reward feedback in an environment,"notes,ai-and-ml-fundamentals"
Clustering (ai and ml fundamentals),grouping similar items without predefined labels,"notes,ai-and-ml-fundamentals"
Feature engineering (ai and ml fundamentals),creating the input variables a model learns from,"notes,ai-and-ml-fundamentals"
Training set (ai and ml fundamentals),the data used to fit the model,"notes,ai-and-ml-fundamentals"
