Question,Answer,Tags
How long is the Certified GitOps Associate (CGOA) exam?,90 minutes,exam-logistics
How many questions are on the Certified GitOps Associate (CGOA) exam?,60,exam-logistics
What is the passing score for Certified GitOps Associate (CGOA)?,75%,exam-logistics
What does the Certified GitOps Associate (CGOA) exam cost?,USD 250 (includes one free retake),exam-logistics
How long is Certified GitOps Associate (CGOA) valid for?,2 years,exam-logistics
How is the Certified GitOps Associate (CGOA) exam delivered?,Online proctored through PSI,exam-logistics
Desired state (gitops principles),what the state store says the system should be.,"notes,gitops-principles"
Actual state (gitops principles),what the system is.,"notes,gitops-principles"
Drift (gitops principles),a difference between them.,"notes,gitops-principles"
Convergence (gitops principles),the process of actual state moving toward desired state.,"notes,gitops-principles"
Reconciliation (gitops principles),the loop that drives convergence.,"notes,gitops-principles"
Declarative configuration (gitops principles),a description of desired end state rather than the steps to reach it,"notes,gitops-principles"
Idempotency (gitops principles),the property that applying an operation repeatedly has the same effect as applying it once,"notes,gitops-principles"
State store (gitops principles),"the versioned, immutable system holding desired state, commonly but not necessarily Git","notes,gitops-principles"
Immutability (gitops principles),the property that a stored version cannot be altered after it is created,"notes,gitops-principles"
Agent (gitops principles),the software running inside the managed environment that pulls desired state and reconciles it,"notes,gitops-principles"
Pull model (gitops principles),"delivery where an in-environment agent fetches desired state, requiring no external credentials","notes,gitops-principles"
Push model (gitops principles),delivery where an external system authenticates into the environment and applies changes,"notes,gitops-principles"
Reconciliation loop (gitops principles),"the continuous cycle of reading desired state, observing actual state, and acting on the difference","notes,gitops-principles"
State store (gitops terminology),"the versioned, immutable system of record for desired state","notes,gitops-terminology"
Managed system (gitops terminology),the environment an agent reconciles toward desired state,"notes,gitops-terminology"
Reconciler (gitops terminology),the component computing and applying the difference between desired and actual state,"notes,gitops-terminology"
Sync (gitops terminology),one reconciliation pass performed by an agent,"notes,gitops-terminology"
Self-healing (gitops terminology),automatic correction of drift by reapplying desired state,"notes,gitops-terminology"
Drift detection (gitops terminology),identifying that actual state has diverged from desired state,"notes,gitops-terminology"
Rollback (gitops terminology),returning to a previous desired state by changing the state store rather than the running system,"notes,gitops-terminology"
Continuous delivery (gitops terminology),"keeping software releasable, with the release decision made by a human","notes,gitops-terminology"
Continuous deployment (gitops terminology),"releasing every change that passes automated checks, with no human gate","notes,gitops-terminology"
Promotion (gitops terminology),moving a validated version from one environment to the next,"notes,gitops-terminology"
Application repository (gitops terminology),"the repository holding source code, built by CI","notes,gitops-terminology"
Configuration repository (gitops terminology),"the repository holding deployment manifests, read by the GitOps agent","notes,gitops-terminology"
Base and overlay (gitops terminology),the pattern of shared configuration plus environment-specific layers,"notes,gitops-terminology"
Configuration repository (gitops patterns),"the repository the GitOps agent reads, holding deployment manifests separate from source code","notes,gitops-patterns"
Directory per environment (gitops patterns),the recommended environment model using a shared base and per-environment overlays,"notes,gitops-patterns"
Branch per environment (gitops patterns),"an environment model using long-lived branches, prone to divergence and accidental promotion","notes,gitops-patterns"
Base (gitops patterns),shared configuration common to every environment,"notes,gitops-patterns"
Overlay (gitops patterns),environment-specific configuration layered onto a base,"notes,gitops-patterns"
Kustomize (gitops patterns),a template-free tool composing configuration through bases and patch overlays,"notes,gitops-patterns"
Sealed Secrets (gitops patterns),a controller-based approach encrypting secrets with a cluster-held key so ciphertext can be committed,"notes,gitops-patterns"
SOPS (gitops patterns),a file-level encryption tool encrypting values in place using age or a cloud KMS key,"notes,gitops-patterns"
External Secrets Operator (gitops patterns),a controller fetching secret values from an external store so only references are committed,"notes,gitops-patterns"
Self-heal (gitops patterns),automatic reapplication of desired state when drift is detected,"notes,gitops-patterns"
Ignore differences (gitops patterns),agent configuration excluding specific fields from drift comparison,"notes,gitops-patterns"
Progressive delivery (gitops patterns),"staged release strategies such as canary and blue-green, gated by automated analysis","notes,gitops-patterns"
ApplicationSet (gitops patterns),an Argo CD generator rendering many Applications from one templated definition,"notes,gitops-patterns"
Policy as code (gitops patterns),enforcing configuration invariants through an admission policy engine such as Kyverno or Gatekeeper,"notes,gitops-patterns"
Policy as code (related practices and tooling),"Kyverno and OPA Gatekeeper enforce invariants at admission, so a non-compliant manifest is rejected regardless of what the state store says. This is the safety net beneath GitOps, since the agent will faithfully apply whatever is committed.","notes,related-practices-and-tooling"
Audit (related practices and tooling),"the state store history answers who changed what, when, and who approved it. This is a genuine compliance benefit, and it depends on nobody bypassing the model with direct cluster access.","notes,related-practices-and-tooling"
Separation of duties (related practices and tooling),enforced through repository access control and required reviews rather than through cluster RBAC.,"notes,related-practices-and-tooling"
Signed commits and provenance (related practices and tooling),"commit signing, and artifact attestations (SLSA, Sigstore) so the deployed image can be traced to the source and build that produced it.","notes,related-practices-and-tooling"
Deployment frequency (related practices and tooling),"rises, because deploying is a commit","notes,related-practices-and-tooling"
Lead time for changes (related practices and tooling),"falls, because the path from merge to running is automated","notes,related-practices-and-tooling"
Change failure rate (related practices and tooling),"typically falls, through review, policy admission, and progressive delivery","notes,related-practices-and-tooling"
Time to restore service (related practices and tooling),"falls sharply, because rollback is a revert","notes,related-practices-and-tooling"
Continuous integration (related practices and tooling),automatically building and testing changes as they are merged,"notes,related-practices-and-tooling"
Infrastructure as Code (related practices and tooling),"declaring infrastructure in version-controlled code, which may or may not be operated in a GitOps model","notes,related-practices-and-tooling"
Crossplane (related practices and tooling),"a control plane that provisions cloud infrastructure through Kubernetes custom resources, enabling GitOps for infrastructure","notes,related-practices-and-tooling"
Admission control (related practices and tooling),the Kubernetes mechanism validating or mutating resources before they are persisted,"notes,related-practices-and-tooling"
Provenance attestation (related practices and tooling),signed metadata linking a built artifact to the source and build process that produced it,"notes,related-practices-and-tooling"
SLSA (related practices and tooling),a framework of supply chain security levels for build integrity,"notes,related-practices-and-tooling"
Sigstore (related practices and tooling),"the project providing keyless signing and verification for artifacts, including cosign","notes,related-practices-and-tooling"
DORA metrics (related practices and tooling),"deployment frequency, lead time for changes, change failure rate, and time to restore service","notes,related-practices-and-tooling"
Argo CD (related practices and tooling),"a CNCF graduated, application-centric GitOps agent with a web UI and Application custom resources","notes,related-practices-and-tooling"
Flux (related practices and tooling),a CNCF graduated GitOps toolkit of composable controllers driven by custom resources,"notes,related-practices-and-tooling"
Flagger (related practices and tooling),a progressive delivery controller automating canary and blue-green releases with metric analysis,"notes,related-practices-and-tooling"
Image update controller (related practices and tooling),automation that watches a registry and commits new image tags to the state store,"notes,related-practices-and-tooling"
