Question,Answer,Tags
How long is the Salesforce Certified Administrator exam?,105 minutes,exam-logistics
What does the Salesforce Certified Administrator exam cost?,$200 USD ($100 retake),exam-logistics
Standard (org setup and security),calendar-aligned (Jan/Apr/Jul/Oct quarter starts),"notes,org-setup-and-security"
Custom (org setup and security),"non-standard fiscal periods (e.g., 4-4-5 retail calendar)","notes,org-setup-and-security"
Salesforce (org setup and security),full CRM access,"notes,org-setup-and-security"
Salesforce Platform (org setup and security),"custom app only, no Sales/Service objects","notes,org-setup-and-security"
Private (org setup and security),only owner + above-in-role-hierarchy + sharing rules,"notes,org-setup-and-security"
Public Read Only (org setup and security),"everyone reads, only owner edits","notes,org-setup-and-security"
Public Read/Write (org setup and security),everyone reads + edits,"notes,org-setup-and-security"
Owner-Based Sharing Rule (org setup and security),grant access to records owned by a specific group/role,"notes,org-setup-and-security"
Criteria-Based Sharing Rule (org setup and security),grant access to records meeting field criteria,"notes,org-setup-and-security"
Standard profiles (org setup and security),"System Administrator, Standard User, Read Only, Marketing User, etc. - cannot delete","notes,org-setup-and-security"
Custom profiles (org setup and security),"admin-created, cloned from standard","notes,org-setup-and-security"
Account (objects fields page layouts),companies (B2B) or households,"notes,objects-fields-page-layouts"
Lead (objects fields page layouts),unqualified prospects; convert to Account + Contact + Opportunity,"notes,objects-fields-page-layouts"
Opportunity (objects fields page layouts),sales deals in progress,"notes,objects-fields-page-layouts"
Case (objects fields page layouts),support tickets,"notes,objects-fields-page-layouts"
Campaign (objects fields page layouts),marketing campaigns; track members,"notes,objects-fields-page-layouts"
Quote / Quote Line Item (objects fields page layouts),quotes generated from Opportunities,"notes,objects-fields-page-layouts"
Asset (objects fields page layouts),sold products tracked over their lifecycle,"notes,objects-fields-page-layouts"
Contract (objects fields page layouts),customer contracts,"notes,objects-fields-page-layouts"
Activity / Task / Event (objects fields page layouts),activities related to records,"notes,objects-fields-page-layouts"
Knowledge (objects fields page layouts),support articles,"notes,objects-fields-page-layouts"
Number (objects fields page layouts),"integer or decimal, configurable digits + decimals","notes,objects-fields-page-layouts"
Percent (objects fields page layouts),stored as percentage value,"notes,objects-fields-page-layouts"
Universally Required (data management),required regardless of profile (set on field definition),"notes,data-management"
Page Layout Required (data management),required when editing through the layout (per profile via layout),"notes,data-management"
Validation Rule (data management),"""field must not be blank"" formula","notes,data-management"
Developer / Developer Pro (data management),unit / integration testing for individual devs,"notes,data-management"
Partial Copy (data management),"QA / UAT with representative data, faster refresh than Full","notes,data-management"
Full (data management),"final UAT before prod deploy, training, performance testing","notes,data-management"
Unmanaged (data management),distributable but recipient owns the metadata,"notes,data-management"
Managed (data management),"AppExchange products with versioning, namespace, IP protection","notes,data-management"
Data Storage (data management),"records (Account, Contact, etc.)","notes,data-management"
File Storage (data management),"attachments, documents, content versions","notes,data-management"
Before save (automation flow validation),ultra-fast; modify the record before insert/update,"notes,automation-flow-validation"
After save (automation flow validation),"run after commit; can do related-record updates, callouts, etc.","notes,automation-flow-validation"
Asynchronous (automation flow validation),"run after-save in a delayed transaction (good for callouts, heavy logic)","notes,automation-flow-validation"
Loop (automation flow validation),iterate over collection,"notes,automation-flow-validation"
Subflow (automation flow validation),call another flow,"notes,automation-flow-validation"
Action (automation flow validation),"call out: Apex action, send email, post to Chatter, etc.","notes,automation-flow-validation"
Screen (automation flow validation),UI elements (Screen Flow only),"notes,automation-flow-validation"
Wait (automation flow validation),pause until time / event (Scheduled-Triggered or pause element),"notes,automation-flow-validation"
Variables (automation flow validation),mutable values within flow,"notes,automation-flow-validation"
Formulas (automation flow validation),computed values,"notes,automation-flow-validation"
Choices (automation flow validation),picklist source for screens,"notes,automation-flow-validation"
Stages (automation flow validation),flow progress milestones (UI in Screen Flow),"notes,automation-flow-validation"
Process definition (automation flow validation),"what triggers it (criteria), entry actions, who approves","notes,automation-flow-validation"
Steps (automation flow validation),sequential approval steps (with manager hierarchy or specific users),"notes,automation-flow-validation"
Initial / Final / Recall actions (automation flow validation),field updates / email alerts when transitioning,"notes,automation-flow-validation"
Approver options (automation flow validation),automatically assigned (manager / role) or specifically named,"notes,automation-flow-validation"
Lightning Email Templates (automation flow validation),"modern, with merge fields","notes,automation-flow-validation"
Classic Email Templates (automation flow validation),"older format (HTML, Text, Visualforce)","notes,automation-flow-validation"
No access (automation flow validation),blocks all outbound email (sandbox default),"notes,automation-flow-validation"
System email only (automation flow validation),allows system-generated email,"notes,automation-flow-validation"
All email (automation flow validation),normal production setting,"notes,automation-flow-validation"
Filters (reports dashboards apps),"field criteria, logic (AND/OR/NOT), date ranges","notes,reports-dashboards-apps"
Cross filters (reports dashboards apps),"""Accounts WITH/WITHOUT Opportunities matching...""","notes,reports-dashboards-apps"
Bucket fields (reports dashboards apps),"on-the-fly grouping (e.g., bucket Amount into Small/Medium/Large)","notes,reports-dashboards-apps"
Formula fields (reports dashboards apps),row-level or summary-level calculations,"notes,reports-dashboards-apps"
Conditional highlighting (reports dashboards apps),color cells based on values,"notes,reports-dashboards-apps"
Charts (reports dashboards apps),"bar, line, pie, donut, funnel, scatter","notes,reports-dashboards-apps"
Subscriptions (reports dashboards apps),email a report on schedule,"notes,reports-dashboards-apps"
Folder permissions (reports dashboards apps),share / restrict reports,"notes,reports-dashboards-apps"
Chart (reports dashboards apps),"bar, column, line, pie, donut, funnel, scatter, gauge, metric, table","notes,reports-dashboards-apps"
Visual Filters (reports dashboards apps),filter dashboard by clicking a component (Lightning),"notes,reports-dashboards-apps"
Dynamic Dashboards (reports dashboards apps),run as the logged-in user (limited per edition),"notes,reports-dashboards-apps"
Collaborative Forecasts (reports dashboards apps),managers commit / adjust forecasts,"notes,reports-dashboards-apps"
Campaign (reports dashboards apps),marketing initiative,"notes,reports-dashboards-apps"
Campaign Member (reports dashboards apps),"link Lead/Contact to Campaign with Status (e.g., Sent, Responded)","notes,reports-dashboards-apps"
Campaign Influence (reports dashboards apps),track multi-touch campaign attribution,"notes,reports-dashboards-apps"
On-Demand Email-to-Case (reports dashboards apps),"simpler, hosted by Salesforce","notes,reports-dashboards-apps"
Email-to-Case (regular) (reports dashboards apps),requires email service installed on local mail server (legacy),"notes,reports-dashboards-apps"
Entitlement (reports dashboards apps),"SLA (e.g., gold customer: 4-hour first response)","notes,reports-dashboards-apps"
Milestone (reports dashboards apps),"measurable step within entitlement (response time, resolution time)","notes,reports-dashboards-apps"
