Question,Answer,Tags
How long is the CompTIA Network+ (N10-009) exam?,90 minutes,exam-logistics
How many questions are on the CompTIA Network+ (N10-009) exam?,Up to 90 (MCQ + performance-based),exam-logistics
What is the passing score for CompTIA Network+ (N10-009)?,720/900,exam-logistics
What does the CompTIA Network+ (N10-009) exam cost?,$369 USD,exam-logistics
How long is CompTIA Network+ (N10-009) valid for?,3 years,exam-logistics
How is the CompTIA Network+ (N10-009) exam delivered?,Pearson VUE (testing center or online proctored),exam-logistics
Encapsulation (networking concepts),each layer wraps the layer above with its own header as data moves down the stack.,"notes,networking-concepts"
Decapsulation (networking concepts),each header is stripped in turn as data moves up the stack on the receiving host.,"notes,networking-concepts"
Maximum transmission unit (MTU) (networking concepts),"the largest frame payload a link will carry, 1500 bytes on standard Ethernet.","notes,networking-concepts"
Jumbo frame (networking concepts),"an Ethernet frame with an MTU around 9000 bytes, used in storage and data-center networks to cut per-packet overhead.","notes,networking-concepts"
TCP (Transmission Control Protocol) (networking concepts),"connection-oriented, reliable, ordered. Uses a three-way handshake: SYN, SYN-ACK, ACK.","notes,networking-concepts"
UDP (User Datagram Protocol) (networking concepts),"connectionless, no delivery guarantee, lower overhead. Preferred for voice, video, and DNS queries.","notes,networking-concepts"
ICMP (Internet Control Message Protocol) (networking concepts),"error and diagnostic messaging. Carries ping and traceroute, and has no ports.","notes,networking-concepts"
IPv4 address (networking concepts),"32 bits, written as four dotted octets.","notes,networking-concepts"
IPv6 address (networking concepts),"128 bits, written as eight hextets in hexadecimal, with :: compressing one run of consecutive zero groups.","notes,networking-concepts"
Subnet mask (networking concepts),marks which bits are network and which are host.,"notes,networking-concepts"
CIDR notation (networking concepts),"the count of network bits, for example /24.","notes,networking-concepts"
Default gateway (networking concepts),the router a host sends traffic to when the destination is outside its own subnet.,"notes,networking-concepts"
NAT (Network Address Translation) (networking concepts),rewrites addresses so private hosts can reach the internet through a public address.,"notes,networking-concepts"
PAT (Port Address Translation) (networking concepts),"many private hosts share one public address, distinguished by port. This is what most home routers do.","notes,networking-concepts"
Global unicast (networking concepts),"publicly routable, typically 2000::/3.","notes,networking-concepts"
Link-local (networking concepts),"fe80::/10, automatically configured, valid only on the local link.","notes,networking-concepts"
SLAAC (Stateless Address Autoconfiguration) (networking concepts),a host builds its own address from the router advertisement.,"notes,networking-concepts"
Dual stack (networking concepts),running IPv4 and IPv6 simultaneously. IPv6 has no broadcast; it uses multicast and anycast instead.,"notes,networking-concepts"
VLSM (Variable Length Subnet Masking) (networking concepts),using different mask lengths within one network so subnet sizes fit actual need.,"notes,networking-concepts"
Supernetting / route summarization (networking concepts),combining contiguous networks into one advertisement to shrink routing tables.,"notes,networking-concepts"
Star (networking concepts),every node connects to a central device. Dominant in modern LANs.,"notes,networking-concepts"
Mesh (networking concepts),nodes interconnect directly; full mesh gives maximum redundancy at high cost.,"notes,networking-concepts"
Hybrid (networking concepts),"a mixture, which is what real networks are.","notes,networking-concepts"
Point-to-point (networking concepts),"two endpoints, typically a WAN link.","notes,networking-concepts"
"LAN, WAN, MAN, PAN, CAN, SAN, WLAN (networking concepts)",scope descriptors from a single room to a metropolitan area. A SAN is a storage-specific network.,"notes,networking-concepts"
IaaS (networking concepts),you manage the OS upward.,"notes,networking-concepts"
PaaS (networking concepts),you manage the application and data.,"notes,networking-concepts"
SaaS (networking concepts),you manage configuration and data only.,"notes,networking-concepts"
"Public, private, hybrid, and community cloud (networking concepts)",deployment models distinguished by who owns the infrastructure and who may use it.,"notes,networking-concepts"
VPC (Virtual Private Cloud) (networking concepts),a logically isolated network inside a provider's cloud.,"notes,networking-concepts"
Direct Connect / ExpressRoute (networking concepts),"dedicated private circuits between on-premises and the cloud, bypassing the internet.","notes,networking-concepts"
NFV (Network Function Virtualization) (networking concepts),"running firewalls, load balancers, and routers as software instances.","notes,networking-concepts"
DHCP (networking concepts),"automatic IP configuration. The DORA sequence is Discover, Offer, Request, Acknowledge.","notes,networking-concepts"
DHCP relay / IP helper (networking concepts),forwards DHCP broadcasts across a router to a server on another subnet.,"notes,networking-concepts"
DNS (networking concepts),"resolves names to addresses. Record types: A (IPv4), AAAA (IPv6), CNAME (alias), MX (mail), TXT (arbitrary text, used for SPF), PTR (reverse), NS (name server), SOA (zone authority).","notes,networking-concepts"
NTP (networking concepts),synchronizes clocks. Stratum numbers indicate distance from the reference clock.,"notes,networking-concepts"
SNMP (networking concepts),device monitoring. v3 adds authentication and encryption; v1 and v2c send community strings in clear text.,"notes,networking-concepts"
