Question,Answer,Tags
How long is the AWS Certified Solutions Architect - Associate (SAA-C03) exam?,130 minutes,exam-logistics
How many questions are on the AWS Certified Solutions Architect - Associate (SAA-C03) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified Solutions Architect - Associate (SAA-C03)?,"720/1000 (scaled scoring, approximately 72%)",exam-logistics
What does the AWS Certified Solutions Architect - Associate (SAA-C03) exam cost?,$150 USD,exam-logistics
How long is AWS Certified Solutions Architect - Associate (SAA-C03) valid for?,3 years,exam-logistics
How is the AWS Certified Solutions Architect - Associate (SAA-C03) exam delivered?,Pearson VUE (online proctored or testing center),exam-logistics
Use Cases (ec2 fundamentals),"Web servers, small databases, development environments, code repositories","notes,ec2-fundamentals"
Performance Model (ec2 fundamentals),Baseline performance with ability to burst,"notes,ec2-fundamentals"
CPU Credits (ec2 fundamentals),"Accumulate credits when below baseline, consume when bursting","notes,ec2-fundamentals"
Unlimited Mode (ec2 fundamentals),T3/T4g can burst beyond credits for additional cost,"notes,ec2-fundamentals"
Sizing Strategy (ec2 fundamentals),Monitor CPU credit balance and utilization patterns,"notes,ec2-fundamentals"
Characteristics (ec2 fundamentals),"Balanced compute, memory, and networking resources","notes,ec2-fundamentals"
vCPU Range (ec2 fundamentals),1-96 vCPUs depending on size,"notes,ec2-fundamentals"
Memory Range (ec2 fundamentals),4 GiB - 384 GiB,"notes,ec2-fundamentals"
Processor Features (ec2 fundamentals),Latest Intel processors with high clock speeds,"notes,ec2-fundamentals"
Network Performance (ec2 fundamentals),Enhanced networking capabilities,"notes,ec2-fundamentals"
Memory-to-vCPU Ratio (ec2 fundamentals),Optimized for memory-intensive applications,"notes,ec2-fundamentals"
Performance (ec2 fundamentals),Fast processors suitable for memory-bound workloads,"notes,ec2-fundamentals"
SSD Storage (ec2 fundamentals),High I/O performance with SSD-backed instance storage,"notes,ec2-fundamentals"
Processor (ec2 fundamentals),Sustained all-core frequency of up to 4.0 GHz,"notes,ec2-fundamentals"
Storage (ec2 fundamentals),NVMe SSD instance storage,"notes,ec2-fundamentals"
Storage Type (ec2 fundamentals),NVMe SSD instance storage,"notes,ec2-fundamentals"
I/O Performance (ec2 fundamentals),Very high random I/O performance,"notes,ec2-fundamentals"
Cost (ec2 fundamentals),Lower cost per GB compared to SSD options,"notes,ec2-fundamentals"
GPU (ec2 fundamentals),NVIDIA Tesla V100 (P3) or A100 (P4) GPUs,"notes,ec2-fundamentals"
Memory (ec2 fundamentals),High bandwidth memory for GPU workloads,"notes,ec2-fundamentals"
Networking (ec2 fundamentals),100 Gbps network performance (P4),"notes,ec2-fundamentals"
Applications (ec2 fundamentals),"Graphics workstations, media rendering","notes,ec2-fundamentals"
CPU Utilization (ec2 fundamentals),Target 40-60% average utilization,"notes,ec2-fundamentals"
Memory Utilization (ec2 fundamentals),Monitor swap usage and available memory,"notes,ec2-fundamentals"
Network Utilization (ec2 fundamentals),Consider bandwidth requirements,"notes,ec2-fundamentals"
Disk I/O (ec2 fundamentals),Monitor IOPS and throughput requirements,"notes,ec2-fundamentals"
Purpose (ec2 fundamentals),"Low latency, high network performance between instances","notes,ec2-fundamentals"
Limitations (ec2 fundamentals),"Single AZ, limited instance types","notes,ec2-fundamentals"
Partitions (ec2 fundamentals),Up to 7 partitions per AZ,"notes,ec2-fundamentals"
Isolation (ec2 fundamentals),Each partition has its own set of racks,"notes,ec2-fundamentals"
Limitation (ec2 fundamentals),Maximum 7 instances per AZ per group,"notes,ec2-fundamentals"
Billing (ec2 fundamentals),Pay by the hour or second (minimum 60 seconds),"notes,ec2-fundamentals"
Benefits (ec2 fundamentals),"No upfront payment, no long-term commitment","notes,ec2-fundamentals"
Best For (ec2 fundamentals),Applications with unpredictable workloads that cannot be interrupted,"notes,ec2-fundamentals"
Standard Reserved Instances (ec2 fundamentals),Discount: Up to 75% compared to On-Demand,"notes,ec2-fundamentals"
Convertible Reserved Instances (ec2 fundamentals),Discount: Up to 54% compared to On-Demand,"notes,ec2-fundamentals"
Scheduled Reserved Instances (ec2 fundamentals),Use Case: Predictable recurring schedules,"notes,ec2-fundamentals"
Pricing (ec2 fundamentals),Up to 90% discount compared to On-Demand,"notes,ec2-fundamentals"
Availability (ec2 fundamentals),Based on spare EC2 capacity,"notes,ec2-fundamentals"
Interruption (ec2 fundamentals),2-minute warning before termination,"notes,ec2-fundamentals"
Best Practices (ec2 fundamentals),Use Spot Fleet for diversification,"notes,ec2-fundamentals"
Placement (ec2 fundamentals),May share hardware with other Dedicated Instances from same account,"notes,ec2-fundamentals"
Control (ec2 fundamentals),Physical EC2 server dedicated for your use,"notes,ec2-fundamentals"
Visibility (ec2 fundamentals),Socket and core visibility for licensing,"notes,ec2-fundamentals"
Management (ec2 fundamentals),More control over instance placement,"notes,ec2-fundamentals"
Launch Template/Configuration (ec2 fundamentals),Defines instance specifications,"notes,ec2-fundamentals"
Auto Scaling Group (ec2 fundamentals),Manages collection of instances,"notes,ec2-fundamentals"
Scaling Policies (ec2 fundamentals),Rules for scaling actions,"notes,ec2-fundamentals"
Health Checks (ec2 fundamentals),EC2 and/or ELB health checks,"notes,ec2-fundamentals"
Metric (ec2 fundamentals),Maintain target value for specific metric,"notes,ec2-fundamentals"
Examples (ec2 fundamentals),"Average CPU utilization, request count per target","notes,ec2-fundamentals"
Behavior (ec2 fundamentals),ASG automatically adjusts capacity to maintain target,"notes,ec2-fundamentals"
Best Practice (ec2 fundamentals),Use for most common scaling scenarios,"notes,ec2-fundamentals"
Triggers (ec2 fundamentals),CloudWatch alarms trigger scaling actions,"notes,ec2-fundamentals"
Steps (ec2 fundamentals),Different scaling amounts based on alarm breach size,"notes,ec2-fundamentals"
Flexibility (ec2 fundamentals),More control over scaling behavior,"notes,ec2-fundamentals"
Use Case (ec2 fundamentals),When you need fine-tuned control over scaling,"notes,ec2-fundamentals"
Action (ec2 fundamentals),Single scaling action per alarm,"notes,ec2-fundamentals"
Cooldown (ec2 fundamentals),Wait period before next scaling action,"notes,ec2-fundamentals"
Legacy (ec2 fundamentals),"Older scaling type, step scaling preferred","notes,ec2-fundamentals"
Machine Learning (ec2 fundamentals),Uses ML to predict future traffic,"notes,ec2-fundamentals"
Proactive (ec2 fundamentals),Scales before traffic increases,"notes,ec2-fundamentals"
EC2 Health Checks (ec2 fundamentals),Instance status and system status,"notes,ec2-fundamentals"
ELB Health Checks (ec2 fundamentals),Application-level health verification,"notes,ec2-fundamentals"
Custom Health Checks (ec2 fundamentals),Via CloudWatch or custom scripts,"notes,ec2-fundamentals"
Grace Period (ec2 fundamentals),Time to allow instance to warm up,"notes,ec2-fundamentals"
Stateful (ec2 fundamentals),Return traffic automatically allowed,"notes,ec2-fundamentals"
Default Behavior (ec2 fundamentals),"Deny all inbound, allow all outbound","notes,ec2-fundamentals"
Instance Profiles (ec2 fundamentals),Attach IAM roles to EC2 instances,"notes,ec2-fundamentals"
Automatic Rotation (ec2 fundamentals),Credentials automatically rotated,"notes,ec2-fundamentals"
SSH Access (ec2 fundamentals),Use key pairs for Linux instances,"notes,ec2-fundamentals"
RDP Access (ec2 fundamentals),Use key pairs or set passwords for Windows,"notes,ec2-fundamentals"
VPC Placement (ec2 fundamentals),Launch instances in VPC with proper subnet design,"notes,ec2-fundamentals"
Network ACLs (ec2 fundamentals),Additional layer of network security,"notes,ec2-fundamentals"
Monitoring (ec2 fundamentals),Enable VPC Flow Logs for network monitoring,"notes,ec2-fundamentals"
Encryption (ec2 fundamentals),Use encryption in transit and at rest,"notes,ec2-fundamentals"
Enhanced Networking (ec2 fundamentals),Enable for supported instance types,"notes,ec2-fundamentals"
SR-IOV (ec2 fundamentals),Single Root I/O Virtualization for better network performance,"notes,ec2-fundamentals"
Placement Groups (ec2 fundamentals),Use appropriate placement group type,"notes,ec2-fundamentals"
Instance Store (ec2 fundamentals),Use for temporary high-performance storage,"notes,ec2-fundamentals"
CloudWatch Metrics (ec2 fundamentals),Monitor detailed instance metrics,"notes,ec2-fundamentals"
Custom Metrics (ec2 fundamentals),Send application-specific metrics,"notes,ec2-fundamentals"
Performance Baselines (ec2 fundamentals),Establish performance baselines,"notes,ec2-fundamentals"
Load Testing (ec2 fundamentals),Regular load testing to validate performance,"notes,ec2-fundamentals"
EBS Optimization (ec2 fundamentals),Enable EBS optimization for supported instances,"notes,ec2-fundamentals"
Network Bandwidth (ec2 fundamentals),Consider network bandwidth for storage throughput,"notes,ec2-fundamentals"
Right-Sizing (ec2 fundamentals),Regular review and adjustment of instance sizes,"notes,ec2-fundamentals"
Instance Families (ec2 fundamentals),Choose appropriate instance family for workload,"notes,ec2-fundamentals"
Generation (ec2 fundamentals),Use latest generation instances for better price/performance,"notes,ec2-fundamentals"
Reserved Instances (ec2 fundamentals),For predictable workloads,"notes,ec2-fundamentals"
Spot Instances (ec2 fundamentals),For fault-tolerant workloads,"notes,ec2-fundamentals"
Savings Plans (ec2 fundamentals),For flexible workload patterns,"notes,ec2-fundamentals"
Auto Scaling (ec2 fundamentals),Automatically adjust capacity based on demand,"notes,ec2-fundamentals"
Scheduling (ec2 fundamentals),Stop/start instances for dev/test environments,"notes,ec2-fundamentals"
Resource Tagging (ec2 fundamentals),Implement comprehensive tagging strategy,"notes,ec2-fundamentals"
Cost Monitoring (ec2 fundamentals),Regular review of cost and usage reports,"notes,ec2-fundamentals"
Load Balancer (ec2 fundamentals),Application Load Balancer for HTTP/HTTPS traffic,"notes,ec2-fundamentals"
Instance Type (ec2 fundamentals),General purpose (M5) or compute optimized (C5),"notes,ec2-fundamentals"
Private Subnets (ec2 fundamentals),Deploy in private subnets for security,"notes,ec2-fundamentals"
Service Discovery (ec2 fundamentals),Use ELB or service mesh for service discovery,"notes,ec2-fundamentals"
Queue-based (ec2 fundamentals),Use SQS for decoupling and fault tolerance,"notes,ec2-fundamentals"
S3 Standard (storage solutions),"Frequently accessed data, low latency, high throughput","notes,storage-solutions"
S3 Intelligent-Tiering (storage solutions),"Automatic cost optimization, moves data between tiers","notes,storage-solutions"
S3 Standard-IA (storage solutions),"Infrequent access, lower cost, retrieval fee","notes,storage-solutions"
S3 One Zone-IA (storage solutions),"Single AZ, 99.5% availability, lower cost","notes,storage-solutions"
S3 Glacier Instant Retrieval (storage solutions),Archive with millisecond retrieval,"notes,storage-solutions"
S3 Glacier Flexible Retrieval (storage solutions),Archive with 1-5 minute retrieval,"notes,storage-solutions"
S3 Glacier Deep Archive (storage solutions),"Lowest cost, 12-hour retrieval","notes,storage-solutions"
Versioning (storage solutions),Keep multiple versions of objects,"notes,storage-solutions"
Lifecycle Policies (storage solutions),Automate transitions between storage classes,"notes,storage-solutions"
Cross-Region Replication (CRR) (storage solutions),Replicate objects across regions,"notes,storage-solutions"
Same-Region Replication (SRR) (storage solutions),Compliance and data sovereignty,"notes,storage-solutions"
S3 Transfer Acceleration (storage solutions),Fast uploads using CloudFront edge locations,"notes,storage-solutions"
Multipart Upload (storage solutions),"For objects >100MB, required for >5GB","notes,storage-solutions"
S3 Select (storage solutions),Query data with SQL without retrieving entire object,"notes,storage-solutions"
Bucket Policies (storage solutions),Resource-based policies (JSON),"notes,storage-solutions"
Access Control Lists (ACLs) (storage solutions),Legacy access control,"notes,storage-solutions"
Block Public Access (storage solutions),Account and bucket level protection,"notes,storage-solutions"
Encryption at Rest (storage solutions),SSE-S3: S3-managed keys,"notes,storage-solutions"
S3 Prefixes (storage solutions),"3,500 PUT/COPY/POST/DELETE, 5,500 GET/HEAD per prefix","notes,storage-solutions"
Transfer Acceleration (storage solutions),Use CloudFront edge locations,"notes,storage-solutions"
Byte-Range Fetches (storage solutions),Download partial object,"notes,storage-solutions"
gp3 (General Purpose SSD) (storage solutions),"3,000-16,000 IOPS, 125-1,000 MB/s throughput","notes,storage-solutions"
gp2 (General Purpose SSD) (storage solutions),"Baseline 3 IOPS/GB, burst to 3,000 IOPS","notes,storage-solutions"
io2 Block Express (storage solutions),"Up to 256,000 IOPS, 4,000 MB/s, 99.999% durability","notes,storage-solutions"
io2 (storage solutions),"Up to 64,000 IOPS, 1,000 MB/s, 99.999% durability","notes,storage-solutions"
