Question,Answer,Tags
How long is the NVIDIA Certified Associate - Multimodal Generative AI (NCA-MMGA) exam?,60 minutes,exam-logistics
How many questions are on the NVIDIA Certified Associate - Multimodal Generative AI (NCA-MMGA) exam?,50-60 questions,exam-logistics
What is the passing score for NVIDIA Certified Associate - Multimodal Generative AI (NCA-MMGA)?,Not officially published,exam-logistics
What does the NVIDIA Certified Associate - Multimodal Generative AI (NCA-MMGA) exam cost?,$135 USD,exam-logistics
How long is NVIDIA Certified Associate - Multimodal Generative AI (NCA-MMGA) valid for?,2 years,exam-logistics
LLaVA (multimodal fundamentals),Visual instruction tuning on LLaMA,"notes,multimodal-fundamentals"
NVIDIA VILA (multimodal fundamentals),NVIDIA's vision-language model family,"notes,multimodal-fundamentals"
GPT-4V (multimodal fundamentals),OpenAI's multimodal model,"notes,multimodal-fundamentals"
Gemini (multimodal fundamentals),Google's multimodal model,"notes,multimodal-fundamentals"
Medical imaging (multimodal fundamentals),Analyze X-rays and scans with text descriptions,"notes,multimodal-fundamentals"
Document understanding (multimodal fundamentals),OCR + language understanding for forms,"notes,multimodal-fundamentals"
Retail (multimodal fundamentals),Product image search and description,"notes,multimodal-fundamentals"
Quality control (multimodal fundamentals),Visual inspection with natural language reports,"notes,multimodal-fundamentals"
Marketing (multimodal fundamentals),Generate images from text descriptions,"notes,multimodal-fundamentals"
Design (multimodal fundamentals),Create variations of visual concepts,"notes,multimodal-fundamentals"
Education (multimodal fundamentals),Generate illustrations for learning materials,"notes,multimodal-fundamentals"
Entertainment (multimodal fundamentals),Visual storytelling and concept art,"notes,multimodal-fundamentals"
Image description (multimodal fundamentals),Generate alt text for visually impaired users,"notes,multimodal-fundamentals"
Speech-to-text (multimodal fundamentals),Transcription for hearing impaired users,"notes,multimodal-fundamentals"
Text-to-speech (multimodal fundamentals),Audio content for visually impaired users,"notes,multimodal-fundamentals"
Sign language (multimodal fundamentals),Translation between sign and text/speech,"notes,multimodal-fundamentals"
VAE Encoder (image video generation),Compresses image to latent space (smaller),"notes,image-video-generation"
U-Net (image video generation),Predicts noise in latent space,"notes,image-video-generation"
Text Encoder (image video generation),Converts prompt to conditioning embeddings (CLIP),"notes,image-video-generation"
VAE Decoder (image video generation),Decompresses latent back to image,"notes,image-video-generation"
Seed (image video generation),Random seed for reproducible generation,"notes,image-video-generation"
Resolution (image video generation),Output image dimensions,"notes,image-video-generation"
Aspect ratio (image video generation),Width-to-height ratio,"notes,image-video-generation"
CFG scale (image video generation),Prompt adherence strength,"notes,image-video-generation"
Steps (image video generation),Number of denoising steps,"notes,image-video-generation"
img2img (image video generation),Transform existing image based on prompt,"notes,image-video-generation"
Autoregressive (image video generation),generate frames sequentially,"notes,image-video-generation"
Latent video diffusion (image video generation),3D latent space (spatial + temporal),"notes,image-video-generation"
Frame interpolation (image video generation),"generate key frames, interpolate between","notes,image-video-generation"
Word Error Rate (WER) (text speech),Primary quality metric,"notes,text-speech"
Real-time factor (text speech),Processing time vs audio duration,"notes,text-speech"
Streaming vs batch (text speech),Real-time transcription vs post-processing,"notes,text-speech"
Domain adaptation (text speech),Custom vocabulary for specific industries,"notes,text-speech"
Naturalness (text speech),How human-like the speech sounds,"notes,text-speech"
Prosody (text speech),"Rhythm, stress, and intonation patterns","notes,text-speech"
Voice cloning (text speech),Create synthetic voice from audio samples,"notes,text-speech"
Multi-speaker (text speech),Single model with multiple voice options,"notes,text-speech"
Emotion control (text speech),Adjust emotional tone of speech,"notes,text-speech"
Sample rate (text speech),Number of audio samples per second,"notes,text-speech"
Channels (text speech),Mono (1) or stereo (2),"notes,text-speech"
Bit depth (text speech),Dynamic range resolution,"notes,text-speech"
Duration (text speech),Length of audio segment,"notes,text-speech"
📖 NIM Model Catalog (nvidia tools applications),Browse available models,"notes,nvidia-tools-applications"
BLEU (nvidia tools applications),n-gram overlap for translation/captioning,"notes,nvidia-tools-applications"
ROUGE (nvidia tools applications),Recall-based metric for summarization,"notes,nvidia-tools-applications"
CIDEr (nvidia tools applications),Consensus-based image description evaluation,"notes,nvidia-tools-applications"
BERTScore (nvidia tools applications),Semantic similarity using BERT embeddings,"notes,nvidia-tools-applications"
Healthcare (nvidia tools applications),Medical image analysis with text reports,"notes,nvidia-tools-applications"
Retail (nvidia tools applications),Visual search and product description,"notes,nvidia-tools-applications"
Education (nvidia tools applications),Multimodal content creation for learning,"notes,nvidia-tools-applications"
Manufacturing (nvidia tools applications),Visual inspection with automated reporting,"notes,nvidia-tools-applications"
Media (nvidia tools applications),Content generation for marketing and entertainment,"notes,nvidia-tools-applications"
Accessibility (nvidia tools applications),"Image description, speech-to-text, TTS","notes,nvidia-tools-applications"
