Question,Answer,Tags
Types (ai concepts),"Supervised Learning: Train with labeled data (classification, regression)","notes,ai-concepts"
Examples (ai concepts),Fraud detection in financial transactions,"notes,ai-concepts"
Common Tasks (ai concepts),Image Classification: Categorize entire images,"notes,ai-concepts"
Process (ai concepts),Ingest: Collect data from various sources,"notes,ai-concepts"
Capabilities (ai concepts),Form recognition and data extraction,"notes,ai-concepts"
Considerations (ai concepts),Identify and mitigate algorithmic bias,"notes,ai-concepts"
Characteristics (ai concepts),Inspired by human brain structure,"notes,ai-concepts"
Applications (ai concepts),Image recognition and computer vision,"notes,ai-concepts"
REST APIs (azure ai services),Simple HTTP-based interfaces,"notes,azure-ai-services"
SDKs (azure ai services),"Available for .NET, Python, Java, JavaScript, Go","notes,azure-ai-services"
Containers (azure ai services),Deploy on-premises or edge,"notes,azure-ai-services"
Custom Models (azure ai services),Train with your own data,"notes,azure-ai-services"
Multi-region (azure ai services),Global availability,"notes,azure-ai-services"
Security (azure ai services),"Azure AD integration, key-based auth","notes,azure-ai-services"
Free Tier (azure ai services),Limited transactions for testing,"notes,azure-ai-services"
Standard Tier (azure ai services),Pay-as-you-go pricing,"notes,azure-ai-services"
Commitment Tier (azure ai services),Discounted rates for committed usage,"notes,azure-ai-services"
Precision (azure ai services),Accuracy of predictions,"notes,azure-ai-services"
Recall (azure ai services),Coverage of correct items,"notes,azure-ai-services"
AP (Average Precision) (azure ai services),Overall model quality,"notes,azure-ai-services"
Intents (azure ai services),"User's goal (e.g., BookFlight)","notes,azure-ai-services"
Entities (azure ai services),"Key information (e.g., destination, date)","notes,azure-ai-services"
Utterances (azure ai services),Example phrases,"notes,azure-ai-services"
Features (azure ai services),Contextual and action characteristics,"notes,azure-ai-services"
Exploration (azure ai services),Try different options,"notes,azure-ai-services"
Exploitation (azure ai services),Use best-known option,"notes,azure-ai-services"
Apprentice Mode (azure ai services),Shadow existing system,"notes,azure-ai-services"
Sensitivity (azure ai services),Detection threshold (0-99),"notes,azure-ai-services"
Custom Interval (azure ai services),Data point frequency,"notes,azure-ai-services"
Seasonality (azure ai services),Periodic patterns,"notes,azure-ai-services"
Completeness (responsible ai ml fundamentals),No missing values,"notes,responsible-ai-ml-fundamentals"
Consistency (responsible ai ml fundamentals),Standardized format,"notes,responsible-ai-ml-fundamentals"
Relevance (responsible ai ml fundamentals),Useful features,"notes,responsible-ai-ml-fundamentals"
Quantity (responsible ai ml fundamentals),Sufficient examples,"notes,responsible-ai-ml-fundamentals"
Demographic Parity (responsible ai ml fundamentals),Equal positive rate across groups,"notes,responsible-ai-ml-fundamentals"
Equal Opportunity (responsible ai ml fundamentals),Equal true positive rate,"notes,responsible-ai-ml-fundamentals"
Equalized Odds (responsible ai ml fundamentals),Equal TPR and FPR across groups,"notes,responsible-ai-ml-fundamentals"
