Question,Answer,Tags
How long is the Google Cloud Professional Cloud Architect Certification exam?,120 minutes (2 hours),exam-logistics
How many questions are on the Google Cloud Professional Cloud Architect Certification exam?,50-60 questions,exam-logistics
What is the passing score for Google Cloud Professional Cloud Architect Certification?,~70% (not officially published),exam-logistics
What does the Google Cloud Professional Cloud Architect Certification exam cost?,$200 USD,exam-logistics
How long is Google Cloud Professional Cloud Architect Certification valid for?,2 years,exam-logistics
Right-sizing (compute containers),Workload needs 12 GB RAM but predefined types offer 8 GB or 16 GB,"notes,compute-containers"
Cost optimization (compute containers),Save 20-40% compared to oversized predefined types,"notes,compute-containers"
Legacy migration (compute containers),Match on-premises VM specifications exactly,"notes,compute-containers"
Specific ratios (compute containers),Applications with unusual memory requirements,"notes,compute-containers"
Event-driven (compute containers),"Triggered by HTTP requests, Cloud Storage, Pub/Sub","notes,compute-containers"
Automatic scaling (compute containers),From 0 to thousands of instances,"notes,compute-containers"
No server management (compute containers),Google handles infrastructure,"notes,compute-containers"
9-minute timeout (compute containers),"Maximum execution time (1st gen), 60 minutes (2nd gen)","notes,compute-containers"
Stateless (compute containers),Each invocation is independent,"notes,compute-containers"
Node.js (compute containers),JavaScript runtime,"notes,compute-containers"
Python (compute containers),Popular for data processing and automation,"notes,compute-containers"
Go (compute containers),High-performance applications,"notes,compute-containers"
Java (compute containers),Enterprise applications,"notes,compute-containers"
.NET (compute containers),Microsoft stack,"notes,compute-containers"
Ruby (compute containers),Web development,"notes,compute-containers"
PHP (compute containers),Web applications,"notes,compute-containers"
HTTP(S) (compute containers),Direct HTTP requests,"notes,compute-containers"
Cloud Storage (compute containers),File upload/delete/update,"notes,compute-containers"
Pub/Sub (compute containers),Message queue triggers,"notes,compute-containers"
Firestore (compute containers),Database changes,"notes,compute-containers"
Firebase (compute containers),"Authentication, real-time database","notes,compute-containers"
Cloud Scheduler (compute containers),Cron-like scheduling,"notes,compute-containers"
Container-based (compute containers),Run any containerized application,"notes,compute-containers"
Serverless (compute containers),No infrastructure management,"notes,compute-containers"
Scale to zero (compute containers),Pay only when handling requests,"notes,compute-containers"
Portable (compute containers),Standard containers work anywhere,"notes,compute-containers"
HTTP/HTTPS (compute containers),RESTful APIs and web applications,"notes,compute-containers"
Free tier (compute containers),Generous free quotas,"notes,compute-containers"
Sandboxed (compute containers),Secure runtime environment,"notes,compute-containers"
Fast startup (compute containers),Quick instance startup times,"notes,compute-containers"
Integrated services (compute containers),Built-in integration with Google services,"notes,compute-containers"
Custom runtimes (compute containers),Any language or framework,"notes,compute-containers"
SSH access (compute containers),Debug running instances,"notes,compute-containers"
Docker containers (compute containers),Custom container images,"notes,compute-containers"
More resources (compute containers),Higher memory and CPU limits,"notes,compute-containers"
Local disk (compute containers),Persistent local storage,"notes,compute-containers"
Purpose (compute containers),Store and manage Docker container images,"notes,compute-containers"
Storage (compute containers),Built on Cloud Storage,"notes,compute-containers"
Status (compute containers),Being replaced by Artifact Registry,"notes,compute-containers"
Formats (compute containers),"Docker, Maven, npm, Python, Go modules","notes,compute-containers"
