Question,Answer,Tags
How long is the AWS Certified Data Analytics - Specialty (DAS-C01) exam?,180 minutes,exam-logistics
How many questions are on the AWS Certified Data Analytics - Specialty (DAS-C01) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified Data Analytics - Specialty (DAS-C01)?,750/1000,exam-logistics
What does the AWS Certified Data Analytics - Specialty (DAS-C01) exam cost?,$300 USD,exam-logistics
How long is AWS Certified Data Analytics - Specialty (DAS-C01) valid for?,3 years,exam-logistics
Shard (data collection),"Base throughput unit - 1 MB/sec input, 2 MB/sec output, 1,000 records/sec write","notes,data-collection"
Partition Key (data collection),Determines which shard receives the record via MD5 hash,"notes,data-collection"
Sequence Number (data collection),Unique identifier assigned per record within a shard,"notes,data-collection"
Retention (data collection),"24 hours default, extendable to 365 days (extra cost after 24h)","notes,data-collection"
Data Record (data collection),Partition key + sequence number + data blob (up to 1 MB),"notes,data-collection"
AWS SDK (data collection),"PutRecord (single), PutRecords (batch up to 500)","notes,data-collection"
Kinesis Producer Library (KPL) (data collection),"High-throughput batching, aggregation, retries","notes,data-collection"
Kinesis Agent (data collection),Java-based agent for log file monitoring and streaming,"notes,data-collection"
Kinesis Client Library (KCL) (data collection),"Manages shard leases, checkpointing, load balancing","notes,data-collection"
Lambda (data collection),Event-driven processing with automatic scaling,"notes,data-collection"
Enhanced Fan-Out (data collection),Dedicated 2 MB/sec per consumer per shard (push model via HTTP/2),"notes,data-collection"
Device Gateway (data collection),"MQTT, HTTPS, WebSocket connections","notes,data-collection"
Message Broker (data collection),Pub/sub with topic-based routing,"notes,data-collection"
Rules Engine (data collection),SQL-like rules to route data to AWS services,"notes,data-collection"
Device Shadow (data collection),Virtual device state representation,"notes,data-collection"
Snowball Edge Storage Optimized (data collection),80 TB usable storage,"notes,data-collection"
Snowball Edge Compute Optimized (data collection),"42 TB usable, GPU option","notes,data-collection"
Snowcone (data collection),"8 TB or 14 TB, smallest form factor","notes,data-collection"
Snowmobile (data collection),Up to 100 PB per truck,"notes,data-collection"
Parquet (storage data management),"Column-oriented, supports nested data, Spark default","notes,storage-data-management"
ORC (storage data management),"Optimized Row Columnar, Hive optimized, built-in indexes","notes,storage-data-management"
CSV/TSV (storage data management),"Simple, human-readable, no schema","notes,storage-data-management"
JSON (storage data management),"Semi-structured, nested data support","notes,storage-data-management"
Avro (storage data management),"Schema evolution, compact binary, good for write-heavy","notes,storage-data-management"
Data Lake Setup (storage data management),"Automated data ingestion, cataloging, transformation","notes,storage-data-management"
Centralized Permissions (storage data management),Fine-grained access control beyond IAM,"notes,storage-data-management"
Data Catalog Integration (storage data management),Uses Glue Data Catalog as metadata store,"notes,storage-data-management"
Blueprints (storage data management),Pre-built ingestion workflows for common sources,"notes,storage-data-management"
Cross-Account Sharing (storage data management),Share data across AWS accounts via LF-tags or named resources,"notes,storage-data-management"
Database permissions (storage data management),"CREATE_TABLE, ALTER, DROP, DESCRIBE","notes,storage-data-management"
Table permissions (storage data management),"SELECT, INSERT, DELETE, DESCRIBE, ALTER, DROP","notes,storage-data-management"
Column-level security (storage data management),Grant access to specific columns only,"notes,storage-data-management"
