Question,Answer,Tags
Fully managed PaaS (database administration overview),Best for: Cloud-native applications,"notes,database-administration-overview"
Near 100% SQL Server compatibility (database administration overview),Best for: Lift-and-shift migrations,"notes,database-administration-overview"
Table Scan (performance monitoring optimization),Reads entire table (costly),"notes,performance-monitoring-optimization"
Index Scan (performance monitoring optimization),Reads entire index,"notes,performance-monitoring-optimization"
Index Seek (performance monitoring optimization),Targeted index lookup (efficient),"notes,performance-monitoring-optimization"
Clustered Index Scan (performance monitoring optimization),Reads entire table via clustered index,"notes,performance-monitoring-optimization"
Key Lookup (performance monitoring optimization),Retrieve columns not in nonclustered index,"notes,performance-monitoring-optimization"
Hash Match (performance monitoring optimization),Join/aggregate algorithm,"notes,performance-monitoring-optimization"
Sort (performance monitoring optimization),Order by operation,"notes,performance-monitoring-optimization"
Filter (performance monitoring optimization),Where clause filtering,"notes,performance-monitoring-optimization"
Missing Index (performance monitoring optimization),Potential index to create,"notes,performance-monitoring-optimization"
Implicit Conversion (performance monitoring optimization),Data type mismatch,"notes,performance-monitoring-optimization"
Missing Statistics (performance monitoring optimization),Need to update stats,"notes,performance-monitoring-optimization"
Spill to TempDB (performance monitoring optimization),Memory grant too small,"notes,performance-monitoring-optimization"
Unmatched Indexes (performance monitoring optimization),Seek predicate warnings,"notes,performance-monitoring-optimization"
sys.dm_exec_query_stats (performance monitoring optimization),Query execution statistics,"notes,performance-monitoring-optimization"
sys.dm_db_missing_index_details (performance monitoring optimization),Missing indexes,"notes,performance-monitoring-optimization"
sys.dm_os_wait_stats (performance monitoring optimization),Wait statistics,"notes,performance-monitoring-optimization"
sys.dm_exec_requests (performance monitoring optimization),Current requests,"notes,performance-monitoring-optimization"
sys.dm_db_resource_stats (performance monitoring optimization),Resource usage (Azure SQL),"notes,performance-monitoring-optimization"
Premium SSD (sql deployment management),Production workloads,"notes,sql-deployment-management"
Ultra Disk (sql deployment management),"Mission-critical, low-latency","notes,sql-deployment-management"
Deterministic (sql deployment management),Same plaintext → same ciphertext (equality operations),"notes,sql-deployment-management"
Randomized (sql deployment management),Different ciphertext each time (highest security),"notes,sql-deployment-management"
