Question,Answer,Tags
How long is the Cisco Certified Network Associate (CCNA) - 200-301 exam?,120 minutes,exam-logistics
What does the Cisco Certified Network Associate (CCNA) - 200-301 exam cost?,$300 USD,exam-logistics
How long is Cisco Certified Network Associate (CCNA) - 200-301 valid for?,3 years,exam-logistics
TCP (network fundamentals),layer 4 (Transport),"notes,network-fundamentals"
IP (network fundamentals),layer 3 (Network),"notes,network-fundamentals"
ICMP (network fundamentals),"layer 3 (network-layer, but encapsulated in IP)","notes,network-fundamentals"
"MAC addresses, ARP, VLANs, STP (network fundamentals)",layer 2 (Data Link),"notes,network-fundamentals"
"Hubs, repeaters, cabling (network fundamentals)",layer 1 (Physical),"notes,network-fundamentals"
Switches (network fundamentals),layer 2 (some are layer 3 capable),"notes,network-fundamentals"
Firewalls (network fundamentals),"varies (L3, L4, L7 depending on type)","notes,network-fundamentals"
"HTTP, DNS, DHCP, FTP (network fundamentals)",layer 7 (Application),"notes,network-fundamentals"
169.254.0.0/16 (network fundamentals),APIPA (link-local),"notes,network-fundamentals"
0.0.0.0 (network fundamentals),default route / unspecified,"notes,network-fundamentals"
255.255.255.255 (network fundamentals),limited broadcast (not routed),"notes,network-fundamentals"
Static (network fundamentals),SLAAC (StateLess Address AutoConfiguration) using router advertisements,"notes,network-fundamentals"
2.4 GHz (network fundamentals),"longer range, more interference, fewer non-overlapping channels (1, 6, 11 in NA)","notes,network-fundamentals"
5 GHz (network fundamentals),"shorter range, less interference, many non-overlapping channels","notes,network-fundamentals"
Autonomous AP (network fundamentals),"standalone, manages itself","notes,network-fundamentals"
Cloud-managed (network fundamentals),APs phone home to a SaaS controller (Cisco Meraki),"notes,network-fundamentals"
Virtual machines (network fundamentals),"hypervisors (VMware ESXi, KVM, Hyper-V)","notes,network-fundamentals"
Containers (network fundamentals),"Docker, Kubernetes; share OS kernel; lighter than VMs","notes,network-fundamentals"
Virtual switches (network fundamentals),"vSwitch (VMware), Open vSwitch (KVM); software-defined L2 inside hypervisor","notes,network-fundamentals"
Cloud networking (network fundamentals),"VPCs, route tables, internet gateways. The same TCP/IP, applied to managed cloud constructs.","notes,network-fundamentals"
Star (network fundamentals),all nodes connect to a central switch (most common),"notes,network-fundamentals"
Mesh (network fundamentals),every node connects to every other (full mesh) or many (partial mesh),"notes,network-fundamentals"
Ring (network fundamentals),rare in modern enterprise,"notes,network-fundamentals"
Root port (network access vlans),"on a non-root switch, the port closest to the root (lowest cost path)","notes,network-access-vlans"
Designated port (network access vlans),"on each segment, the port that forwards toward leaves","notes,network-access-vlans"
Alternate / non-designated (network access vlans),blocked port (loop prevention),"notes,network-access-vlans"
Stateful (services security),server hands out full address (like DHCPv4),"notes,services-security"
Stateless (services security),server hands out DNS / domain only; client uses SLAAC for the address,"notes,services-security"
Classification (services security),"identify traffic (ACL, NBAR, DSCP)","notes,services-security"
Marking (services security),tag with DSCP / IP precedence at the edge,"notes,services-security"
Queuing (services security),"order frames for transmission (FIFO, WFQ, LLQ)","notes,services-security"
Shaping (services security),smooth bursty traffic; buffers excess,"notes,services-security"
Policing (services security),drop or remark traffic that exceeds rate,"notes,services-security"
Trust boundary (services security),network edge where you start trusting QoS markings,"notes,services-security"
Phase 1 (IKE) (services security),establish secure channel; auth (PSK or cert),"notes,services-security"
Phase 2 (services security),negotiate IPsec SAs for actual data,"notes,services-security"
Basic auth (automation programmability),username:password base64-encoded in Authorization header,"notes,automation-programmability"
Bearer token (automation programmability),Authorization: Bearer,"notes,automation-programmability"
API key (automation programmability),in header or query string,"notes,automation-programmability"
OAuth 2.0 (automation programmability),"delegated auth, common for SaaS APIs","notes,automation-programmability"
Application plane (automation programmability),"apps like network monitoring, security policy","notes,automation-programmability"
Control plane (automation programmability),"the controller (Cisco DNA Center, OpenDaylight, ONOS)","notes,automation-programmability"
Data plane (automation programmability),the actual switches/routers,"notes,automation-programmability"
Northbound API (automation programmability),from apps to controller (REST common),"notes,automation-programmability"
Southbound API (automation programmability),"from controller to devices (OpenFlow, NETCONF, RESTCONF, gRPC)","notes,automation-programmability"
Cisco DNA Center (automation programmability),enterprise SDN controller,"notes,automation-programmability"
Cisco SD-WAN (Viptela) (automation programmability),SD-WAN controller,"notes,automation-programmability"
Cisco ACI (APIC) (automation programmability),data center SDN,"notes,automation-programmability"
Meraki (automation programmability),cloud-managed networking,"notes,automation-programmability"
Inventory (automation programmability),list of managed devices,"notes,automation-programmability"
Playbook (automation programmability),YAML file describing desired state,"notes,automation-programmability"
Modules (automation programmability),"actions (e.g., cisco.ios.ios_config)","notes,automation-programmability"
Roles (automation programmability),reusable bundles,"notes,automation-programmability"
