Question,Answer,Tags
How long is the AWS Certified Generative AI Developer - Professional (AIP-C01) exam?,205 minutes,exam-logistics
How many questions are on the AWS Certified Generative AI Developer - Professional (AIP-C01) exam?,85 total (65 scored + 10 unscored),exam-logistics
What is the passing score for AWS Certified Generative AI Developer - Professional (AIP-C01)?,750 / 1000 (scaled),exam-logistics
What does the AWS Certified Generative AI Developer - Professional (AIP-C01) exam cost?,$300 USD (50% discount voucher available for prior cert holders),exam-logistics
How long is AWS Certified Generative AI Developer - Professional (AIP-C01) valid for?,3 years,exam-logistics
How is the AWS Certified Generative AI Developer - Professional (AIP-C01) exam delivered?,Pearson VUE (online proctored or testing center),exam-logistics
AWS Cloud Adoption Framework for AI/ML/GenAI (CAF-AI) (foundation models data compliance),org-level adoption,"notes,foundation-models-data-compliance"
AWS Prescriptive Guidance: Generative AI workload assessment (foundation models data compliance),per-workload review,"notes,foundation-models-data-compliance"
No infrastructure (foundation models data compliance),"API-only access to multiple model providers (Anthropic, AI21, Cohere, Meta, Stability, Mistral, Amazon Titan)","notes,foundation-models-data-compliance"
Quick model swapping (foundation models data compliance),"change model ID, re-run, compare","notes,foundation-models-data-compliance"
Versioning (foundation models data compliance),every model artifact gets a version in the Registry,"notes,foundation-models-data-compliance"
Approval workflows (foundation models data compliance),status gates in the Registry; aws sagemaker update-model-package flips status,"notes,foundation-models-data-compliance"
Automated deployment (foundation models data compliance),"CodePipeline / Step Functions watches Registry, triggers SageMaker Endpoint update on approval","notes,foundation-models-data-compliance"
Rollback (foundation models data compliance),keep previous endpoint config; update-endpoint to roll back,"notes,foundation-models-data-compliance"
Retire / replace (foundation models data compliance),"schedule cutover, monitor blue/green, decommission old endpoints to control cost","notes,foundation-models-data-compliance"
Conversation formatting (foundation models data compliance),"keep system prompt in system, alternate user / assistant turns, never repeat user twice in a row (most providers reject).","notes,foundation-models-data-compliance"
Sharding (foundation models data compliance),more shards = more parallelism but more overhead. Common rule: 30-50 GB per shard.,"notes,foundation-models-data-compliance"
Multi-index strategy (foundation models data compliance),"separate index per domain (legal, support, products) to improve precision and reduce noise.","notes,foundation-models-data-compliance"
Hierarchical indexing (foundation models data compliance),"route queries to a coarse index first, then drill into a fine index based on classification.","notes,foundation-models-data-compliance"
HNSW vs IVF (foundation models data compliance),"HNSW (default in OpenSearch k-NN) is the standard; tune m, ef_construction, ef_search for recall/latency trade-off.","notes,foundation-models-data-compliance"
Incremental ingestion (foundation models data compliance),Bedrock Knowledge Bases supports incremental sync (only re-embed changed objects). Trigger via API or schedule.,"notes,foundation-models-data-compliance"
Real-time change detection (foundation models data compliance),S3 event notifications → EventBridge → Lambda → Knowledge Base ingestion API.,"notes,foundation-models-data-compliance"
Scheduled refresh (foundation models data compliance),EventBridge Scheduler or Step Functions cron runs full re-sync nightly/weekly.,"notes,foundation-models-data-compliance"
Domain fit (foundation models data compliance),test on a held-out eval set; don't assume the highest-priced is best.,"notes,foundation-models-data-compliance"
Pure vector search (foundation models data compliance),"good for semantic similarity, can miss exact keyword matches.","notes,foundation-models-data-compliance"
Hybrid search (foundation models data compliance),"run both, combine scores. OpenSearch supports natively. Bedrock Knowledge Bases offers HYBRID search type. Almost always beats pure vector for production.","notes,foundation-models-data-compliance"
Query expansion (foundation models data compliance),"generate synonyms / paraphrases with a small Bedrock model, run multiple retrievals, merge.","notes,foundation-models-data-compliance"
Query decomposition (foundation models data compliance),"break a multi-part question into sub-questions (Lambda invokes Bedrock to decompose), retrieve per sub-question, fuse.","notes,foundation-models-data-compliance"
Query transformation (foundation models data compliance),"rewrite a conversational follow-up (""when was that?"") into a standalone query (""when was the iPhone 15 released?"") using prior chat history.","notes,foundation-models-data-compliance"
Function calling / tool use (foundation models data compliance),"define a vector_search tool in your FM tool schema. The FM decides when to call it. Standard for Anthropic Claude tool use, Cohere Command-R, Llama 3.1+, Nova.","notes,foundation-models-data-compliance"
Model Context Protocol (MCP) (foundation models data compliance),open standard for connecting FMs to external tools. AWS supports MCP servers running on Lambda (stateless tools) or ECS (stateful/complex tools). MCP clients in your agent let it discover and call tools without bespoke wiring.,"notes,foundation-models-data-compliance"
Standardized API patterns (foundation models data compliance),"define a single retrieval API (e.g., POST /retrieve with query, filter, top_k) that wraps Bedrock KB / OpenSearch / Kendra. Clients don't care which backend.","notes,foundation-models-data-compliance"
Unit-style tests (foundation models data compliance),"Lambda runs the prompt against a fixture set, checks expected output (regex / JSON schema validation).","notes,foundation-models-data-compliance"
Edge-case suites (foundation models data compliance),"Step Functions iterates through difficult inputs (long contexts, adversarial inputs, non-English) and reports pass/fail.","notes,foundation-models-data-compliance"
Regression detection (foundation models data compliance),CloudWatch metric on test pass rate per prompt version; alarm on regressions.,"notes,foundation-models-data-compliance"
Structured input components (foundation models data compliance),"separate fields with XML tags (, , ) so the model can attend to them clearly.","notes,foundation-models-data-compliance"
Output format specifications (foundation models data compliance),require JSON conforming to a schema; validate post-hoc; reject and retry on schema violation.,"notes,foundation-models-data-compliance"
Chain-of-thought (CoT) (foundation models data compliance),ask the model to reason step-by-step before final answer. Improves quality on multi-step problems but increases token usage.,"notes,foundation-models-data-compliance"
