Question,Answer,Tags
How long is the CCSK v5 - Certificate of Cloud Security Knowledge exam?,120 minutes,exam-logistics
How many questions are on the CCSK v5 - Certificate of Cloud Security Knowledge exam?,60,exam-logistics
What is the passing score for CCSK v5 - Certificate of Cloud Security Knowledge?,80% (48/60),exam-logistics
What does the CCSK v5 - Certificate of Cloud Security Knowledge exam cost?,$395 (includes 2 attempts),exam-logistics
How long is CCSK v5 - Certificate of Cloud Security Knowledge valid for?,Does not expire,exam-logistics
How is the CCSK v5 - Certificate of Cloud Security Knowledge exam delivered?,Online via ccsk.cloudsecurityalliance.org portal,exam-logistics
IaaS (Infrastructure as a Service) (cloud computing concepts and architectures),"Customer provisions compute, storage, network; manages OS up","notes,cloud-computing-concepts-and-architectures"
PaaS (Platform as a Service) (cloud computing concepts and architectures),"Customer deploys applications; provider manages runtime, OS, middleware","notes,cloud-computing-concepts-and-architectures"
SaaS (Software as a Service) (cloud computing concepts and architectures),Customer uses the application; provider manages everything below,"notes,cloud-computing-concepts-and-architectures"
Public (cloud computing concepts and architectures),Infrastructure provisioned for open use by the general public,"notes,cloud-computing-concepts-and-architectures"
Private (cloud computing concepts and architectures),Infrastructure provisioned for exclusive use by a single organization,"notes,cloud-computing-concepts-and-architectures"
Community (cloud computing concepts and architectures),"Infrastructure shared by organizations with common concerns (security, compliance)","notes,cloud-computing-concepts-and-architectures"
Hybrid (cloud computing concepts and architectures),Composition of two or more models; unique entities bound by standardized or proprietary technology,"notes,cloud-computing-concepts-and-architectures"
Management plane (cloud computing concepts and architectures),APIs and consoles that configure cloud resources,"notes,cloud-computing-concepts-and-architectures"
Data plane (cloud computing concepts and architectures),"Actual interaction with data (reads, writes, compute)","notes,cloud-computing-concepts-and-architectures"
DBaaS (cloud computing concepts and architectures),Database as a Service,"notes,cloud-computing-concepts-and-architectures"
DRaaS (cloud computing concepts and architectures),Disaster Recovery as a Service,"notes,cloud-computing-concepts-and-architectures"
DaaS (cloud computing concepts and architectures),Desktop as a Service (VDI in cloud),"notes,cloud-computing-concepts-and-architectures"
FaaS (cloud computing concepts and architectures),Function as a Service (serverless compute),"notes,cloud-computing-concepts-and-architectures"
STaaS (cloud computing concepts and architectures),Storage as a Service,"notes,cloud-computing-concepts-and-architectures"
CaaS (cloud computing concepts and architectures),Container as a Service,"notes,cloud-computing-concepts-and-architectures"
NaaS (cloud computing concepts and architectures),Network as a Service,"notes,cloud-computing-concepts-and-architectures"
SECaaS (cloud computing concepts and architectures),Security as a Service,"notes,cloud-computing-concepts-and-architectures"
IDaaS (cloud computing concepts and architectures),Identity as a Service,"notes,cloud-computing-concepts-and-architectures"
MBaaS (cloud computing concepts and architectures),Mobile Backend as a Service,"notes,cloud-computing-concepts-and-architectures"
Cloud Service Customer (CSC) (cloud computing concepts and architectures),Cloud Service Provider (CSP),"notes,cloud-computing-concepts-and-architectures"
Cloud Service Partner (CSN) (cloud computing concepts and architectures),"broker, auditor, integrator","notes,cloud-computing-concepts-and-architectures"
Cloud Service User (cloud computing concepts and architectures),individual using the service on behalf of CSC,"notes,cloud-computing-concepts-and-architectures"
Cloud Service Administrator (cloud computing concepts and architectures),manages services for CSC,"notes,cloud-computing-concepts-and-architectures"
Cloud Service Business Manager (cloud computing concepts and architectures),business-level management,"notes,cloud-computing-concepts-and-architectures"
Cloud Service Integrator (cloud computing concepts and architectures),composes services,"notes,cloud-computing-concepts-and-architectures"
Cloud Service Developer (cloud computing concepts and architectures),builds apps on cloud,"notes,cloud-computing-concepts-and-architectures"
Cloud center of excellence (CoE) (governance risk compliance),"Internal team guiding adoption, policy, architecture","notes,governance-risk-compliance"
Policies (governance risk compliance),"Acceptable cloud use, data handling, approved providers","notes,governance-risk-compliance"
Architecture standards (governance risk compliance),"Reference architectures, landing zones","notes,governance-risk-compliance"
Risk management framework (governance risk compliance),Cloud-aware risk methodology,"notes,governance-risk-compliance"
Compliance approach (governance risk compliance),"Frameworks to apply, attestation strategy","notes,governance-risk-compliance"
Vendor management (governance risk compliance),"Due diligence, contracts, ongoing monitoring","notes,governance-risk-compliance"
Financial management (governance risk compliance),"Budgets, cost allocation, FinOps","notes,governance-risk-compliance"
Security operations (governance risk compliance),"Integration with SOC, incident response","notes,governance-risk-compliance"
