Question,Answer,Tags
How long is the Oracle Cloud Infrastructure Foundations (1Z0-1085-24) exam?,90 minutes,exam-logistics
How many questions are on the Oracle Cloud Infrastructure Foundations (1Z0-1085-24) exam?,60 questions,exam-logistics
What is the passing score for Oracle Cloud Infrastructure Foundations (1Z0-1085-24)?,68%,exam-logistics
What does the Oracle Cloud Infrastructure Foundations (1Z0-1085-24) exam cost?,$95 USD,exam-logistics
How long is Oracle Cloud Infrastructure Foundations (1Z0-1085-24) valid for?,Lifetime (no expiration),exam-logistics
How is the Oracle Cloud Infrastructure Foundations (1Z0-1085-24) exam delivered?,Pearson VUE (Testing center or online proctored),exam-logistics
Dedicated Region (cloud fundamentals and oci architecture),Entire OCI region for single customer,"notes,cloud-fundamentals-and-oci-architecture"
Oracle Cloud@Customer (cloud fundamentals and oci architecture),OCI infrastructure deployed in customer data center,"notes,cloud-fundamentals-and-oci-architecture"
Exadata Cloud@Customer (cloud fundamentals and oci architecture),Exadata infrastructure in customer data center,"notes,cloud-fundamentals-and-oci-architecture"
FastConnect (cloud fundamentals and oci architecture),Private connectivity between on-premises and OCI,"notes,cloud-fundamentals-and-oci-architecture"
VPN Connect (cloud fundamentals and oci architecture),Encrypted connection over internet,"notes,cloud-fundamentals-and-oci-architecture"
Cloud@Customer (cloud fundamentals and oci architecture),OCI services in customer data center,"notes,cloud-fundamentals-and-oci-architecture"
Roving Edge Infrastructure (cloud fundamentals and oci architecture),Portable OCI compute and storage,"notes,cloud-fundamentals-and-oci-architecture"
Elasticity (cloud fundamentals and oci architecture),Automatically scale resources up or down based on demand,"notes,cloud-fundamentals-and-oci-architecture"
Scalability (cloud fundamentals and oci architecture),Add resources as needed to handle growth,"notes,cloud-fundamentals-and-oci-architecture"
OCI Examples (cloud fundamentals and oci architecture),Autoscaling for compute instances,"notes,cloud-fundamentals-and-oci-architecture"
CapEx to OpEx (cloud fundamentals and oci architecture),No upfront hardware costs,"notes,cloud-fundamentals-and-oci-architecture"
Pay-as-you-go (cloud fundamentals and oci architecture),Pay only for resources used,"notes,cloud-fundamentals-and-oci-architecture"
No maintenance costs (cloud fundamentals and oci architecture),Provider handles infrastructure maintenance,"notes,cloud-fundamentals-and-oci-architecture"
OCI Cost Benefits (cloud fundamentals and oci architecture),Competitive pricing (typically 30-50% lower than competitors),"notes,cloud-fundamentals-and-oci-architecture"
OCI Speed (cloud fundamentals and oci architecture),Launch instances in seconds,"notes,cloud-fundamentals-and-oci-architecture"
OCI (cloud fundamentals and oci architecture),40+ regions worldwide,"notes,cloud-fundamentals-and-oci-architecture"
OCI SLAs (cloud fundamentals and oci architecture),99.95% for most services,"notes,cloud-fundamentals-and-oci-architecture"
OCI Security (cloud fundamentals and oci architecture),Built-in security at all layers,"notes,cloud-fundamentals-and-oci-architecture"
Pay As You Go (PAYG) (cloud fundamentals and oci architecture),"Per-second billing, no commitments","notes,cloud-fundamentals-and-oci-architecture"
Monthly Flex (cloud fundamentals and oci architecture),Commit to monthly spend for discounts,"notes,cloud-fundamentals-and-oci-architecture"
Annual Flex (cloud fundamentals and oci architecture),Commit to annual spend for deeper discounts,"notes,cloud-fundamentals-and-oci-architecture"
OCI Government Cloud (cloud fundamentals and oci architecture),For US government (FedRAMP authorized),"notes,cloud-fundamentals-and-oci-architecture"
UK Government Cloud (cloud fundamentals and oci architecture),For UK public sector,"notes,cloud-fundamentals-and-oci-architecture"
Physically separated (cloud fundamentals and oci architecture),"Different buildings, different power, different cooling","notes,cloud-fundamentals-and-oci-architecture"
Independent (cloud fundamentals and oci architecture),Failure in one AD doesn't affect others,"notes,cloud-fundamentals-and-oci-architecture"
Low-latency connectivity (cloud fundamentals and oci architecture),Connected within region via high-speed network,"notes,cloud-fundamentals-and-oci-architecture"
Resource distribution (cloud fundamentals and oci architecture),Resources can span ADs,"notes,cloud-fundamentals-and-oci-architecture"
3 fault domains per availability domain (cloud fundamentals and oci architecture),Logical grouping of hardware,"notes,cloud-fundamentals-and-oci-architecture"
Home Region (cloud fundamentals and oci architecture),Primary region (cannot be changed),"notes,cloud-fundamentals-and-oci-architecture"
Subscribed Regions (cloud fundamentals and oci architecture),Regions you've activated,"notes,cloud-fundamentals-and-oci-architecture"
Tenancy Name (cloud fundamentals and oci architecture),User-friendly name,"notes,cloud-fundamentals-and-oci-architecture"
Tenancy OCID (cloud fundamentals and oci architecture),Unique identifier,"notes,cloud-fundamentals-and-oci-architecture"
Free-form tags (cloud fundamentals and oci architecture),User-defined key-value pairs,"notes,cloud-fundamentals-and-oci-architecture"
Defined tags (cloud fundamentals and oci architecture),Namespace-based tags with governance,"notes,cloud-fundamentals-and-oci-architecture"
Site-to-Site VPN (cloud fundamentals and oci architecture),Encrypted IPSec tunnel over internet,"notes,cloud-fundamentals-and-oci-architecture"
Both (cloud fundamentals and oci architecture),"FastConnect for primary, VPN for backup","notes,cloud-fundamentals-and-oci-architecture"
IaaS (cloud fundamentals and oci architecture),You manage OS and up,"notes,cloud-fundamentals-and-oci-architecture"
PaaS (cloud fundamentals and oci architecture),You manage data and apps,"notes,cloud-fundamentals-and-oci-architecture"
SaaS (cloud fundamentals and oci architecture),Provider manages everything,"notes,cloud-fundamentals-and-oci-architecture"
Region (cloud fundamentals and oci architecture),Geographic area with data centers,"notes,cloud-fundamentals-and-oci-architecture"
Availability Domain (AD) (cloud fundamentals and oci architecture),Isolated data center(s) within region,"notes,cloud-fundamentals-and-oci-architecture"
Fault Domain (FD) (cloud fundamentals and oci architecture),Hardware grouping within AD,"notes,cloud-fundamentals-and-oci-architecture"
Tenancy (cloud fundamentals and oci architecture),Your OCI account/root compartment,"notes,cloud-fundamentals-and-oci-architecture"
Compartment (cloud fundamentals and oci architecture),Logical container for resources,"notes,cloud-fundamentals-and-oci-architecture"
OCID (cloud fundamentals and oci architecture),Oracle Cloud Identifier (unique ID for every resource),"notes,cloud-fundamentals-and-oci-architecture"
Realm (cloud fundamentals and oci architecture),"Isolated cloud environment (commercial, government)","notes,cloud-fundamentals-and-oci-architecture"
Provisioning (core services),Instance being created,"notes,core-services"
Running (core services),Instance active and running (billable),"notes,core-services"
Stopped (core services),Instance powered off (storage still billable),"notes,core-services"
Terminated (core services),"Instance deleted (not billable, cannot be recovered)","notes,core-services"
Compute-optimized (core services),Higher CPU ratio (VM.Standard.E4.Flex with more CPUs),"notes,core-services"
