Question,Answer,Tags
How long is the Kubernetes and Cloud Native Associate (KCNA) exam?,90 minutes,exam-logistics
What is the passing score for Kubernetes and Cloud Native Associate (KCNA)?,75%,exam-logistics
What does the Kubernetes and Cloud Native Associate (KCNA) exam cost?,$250 USD (includes one free retake),exam-logistics
How long is Kubernetes and Cloud Native Associate (KCNA) valid for?,3 years,exam-logistics
How is the Kubernetes and Cloud Native Associate (KCNA) exam delivered?,Online proctored via PSI,exam-logistics
Node Controller (kubernetes fundamentals),Monitors node health and responds to node failures,"notes,kubernetes-fundamentals"
Deployment Controller (kubernetes fundamentals),Manages Deployments and creates ReplicaSets,"notes,kubernetes-fundamentals"
ReplicaSet Controller (kubernetes fundamentals),Ensures the correct number of pod replicas,"notes,kubernetes-fundamentals"
Job Controller (kubernetes fundamentals),Watches for Job objects and creates Pods to run tasks,"notes,kubernetes-fundamentals"
ServiceAccount Controller (kubernetes fundamentals),Creates default ServiceAccounts for namespaces,"notes,kubernetes-fundamentals"
ConfigMaps (kubernetes fundamentals),Store non-sensitive configuration data as key-value pairs,"notes,kubernetes-fundamentals"
Secrets (kubernetes fundamentals),"Store sensitive data (passwords, tokens, keys) - base64-encoded by default","notes,kubernetes-fundamentals"
ReadWriteOnce (RWO) (kubernetes fundamentals),Mounted read-write by a single node,"notes,kubernetes-fundamentals"
ReadOnlyMany (ROX) (kubernetes fundamentals),Mounted read-only by many nodes,"notes,kubernetes-fundamentals"
ReadWriteMany (RWX) (kubernetes fundamentals),Mounted read-write by many nodes,"notes,kubernetes-fundamentals"
containerd (container orchestration),"Most widely used runtime, CNCF Graduated project","notes,container-orchestration"
CRI-O (container orchestration),Lightweight runtime specifically designed for Kubernetes,"notes,container-orchestration"
Open Container Initiative (OCI) (container orchestration),Industry standards for container formats,"notes,container-orchestration"
Image Spec (container orchestration),Standard format for container images,"notes,container-orchestration"
Runtime Spec (container orchestration),Standard for running containers,"notes,container-orchestration"
Distribution Spec (container orchestration),Standard for distributing container images,"notes,container-orchestration"
Resource Requests (container orchestration),Minimum CPU/memory a container needs (used for scheduling decisions),"notes,container-orchestration"
Resource Limits (container orchestration),Maximum CPU/memory a container can use (enforced at runtime),"notes,container-orchestration"
Node Selectors (container orchestration),Schedule pods on nodes with specific labels,"notes,container-orchestration"
Node Affinity (container orchestration),Advanced scheduling rules (preferred vs required),"notes,container-orchestration"
Taints and Tolerations (container orchestration),Restrict which pods can run on specific nodes,"notes,container-orchestration"
Pod Affinity/Anti-Affinity (container orchestration),Schedule pods relative to other pods,"notes,container-orchestration"
mTLS (cloud native architecture),Automatic encryption between services,"notes,cloud-native-architecture"
Traffic management (cloud native architecture),"Routing, load balancing, retries, timeouts","notes,cloud-native-architecture"
Observability (cloud native architecture),"Metrics, logs, and traces for all service communication","notes,cloud-native-architecture"
Policy enforcement (cloud native architecture),Access control and rate limiting,"notes,cloud-native-architecture"
Istio (cloud native architecture),"Most widely used service mesh, feature-rich","notes,cloud-native-architecture"
Linkerd (cloud native architecture),"Lightweight, Kubernetes-native service mesh (CNCF Graduated)","notes,cloud-native-architecture"
Cilium Service Mesh (cloud native architecture),"eBPF-based, high-performance","notes,cloud-native-architecture"
Knative Serving (cloud native architecture),"Request-driven compute, scale-to-zero","notes,cloud-native-architecture"
Knative Eventing (cloud native architecture),Event-driven architecture and event routing,"notes,cloud-native-architecture"
Declarative (cloud native architecture),"Describe what the desired state should be (Kubernetes manifests, Terraform)","notes,cloud-native-architecture"
Imperative (cloud native architecture),"Describe the steps to achieve the state (shell scripts, manual commands)","notes,cloud-native-architecture"
RBAC (cloud native architecture),Role-based access control for API authorization,"notes,cloud-native-architecture"
Network Policies (cloud native architecture),Pod-level network segmentation,"notes,cloud-native-architecture"
Pod Security Standards (cloud native architecture),"Restrict pod capabilities (Privileged, Baseline, Restricted)","notes,cloud-native-architecture"
Secrets Management (cloud native architecture),Secure handling of sensitive data,"notes,cloud-native-architecture"
Image Scanning (cloud native architecture),Vulnerability detection in container images,"notes,cloud-native-architecture"
Supply Chain Security (cloud native architecture),Signing and verifying container images,"notes,cloud-native-architecture"
Prometheus Server (observability and delivery),Scrapes and stores metrics,"notes,observability-and-delivery"
Exporters (observability and delivery),"Expose metrics in Prometheus format (Node Exporter, kube-state-metrics)","notes,observability-and-delivery"
Alertmanager (observability and delivery),"Handles alert routing, grouping, and notification","notes,observability-and-delivery"
Pushgateway (observability and delivery),For short-lived jobs that cannot be scraped,"notes,observability-and-delivery"
PromQL (observability and delivery),Query language for querying time-series data,"notes,observability-and-delivery"
Fluentd (observability and delivery),Full-featured log aggregator with plugin ecosystem,"notes,observability-and-delivery"
Fluent Bit (observability and delivery),"Lightweight log forwarder, ideal for Kubernetes nodes","notes,observability-and-delivery"
Charts (observability and delivery),Packages of pre-configured Kubernetes resources,"notes,observability-and-delivery"
Releases (observability and delivery),Instances of charts deployed to a cluster,"notes,observability-and-delivery"
Repositories (observability and delivery),Collections of charts available for installation,"notes,observability-and-delivery"
