Question,Answer,Tags
How long is the Cloud Native Platform Engineering Associate (CNPA) exam?,120 minutes,exam-logistics
How many questions are on the Cloud Native Platform Engineering Associate (CNPA) exam?,60,exam-logistics
What is the passing score for Cloud Native Platform Engineering Associate (CNPA)?,75%,exam-logistics
What does the Cloud Native Platform Engineering Associate (CNPA) exam cost?,USD 250 (includes one free retake),exam-logistics
How long is Cloud Native Platform Engineering Associate (CNPA) valid for?,2 years,exam-logistics
How is the Cloud Native Platform Engineering Associate (CNPA) exam delivered?,Online proctored through PSI,exam-logistics
Curated (platform fundamentals),"opinionated selection, not every tool available. A wiki listing forty options is not a platform.","notes,platform-fundamentals"
Offered as a product (platform fundamentals),"it has users, a value proposition, a roadmap, and feedback loops. Users may decline to use it.","notes,platform-fundamentals"
Reduces cognitive load (platform fundamentals),"if developers must learn more concepts than before, the platform has made things worse regardless of its capability.","notes,platform-fundamentals"
Stream-aligned team (platform fundamentals),delivers value for a business stream; the platform's user,"notes,platform-fundamentals"
Platform team (platform fundamentals),provides internal services that reduce stream-aligned teams' cognitive load,"notes,platform-fundamentals"
Enabling team (platform fundamentals),"helps other teams build capability, temporarily","notes,platform-fundamentals"
Complicated subsystem team (platform fundamentals),owns something requiring deep specialist knowledge,"notes,platform-fundamentals"
Platform (platform fundamentals),a curated set of capabilities offered as a product that reduces cognitive load for its users,"notes,platform-fundamentals"
Platform as a product (platform fundamentals),"treating the platform as something with users, a value proposition, a roadmap, and voluntary adoption","notes,platform-fundamentals"
Golden path (platform fundamentals),"an opinionated, supported, documented route through a common task, easiest but not mandatory","notes,platform-fundamentals"
Paved road (platform fundamentals),"a synonym for golden path, emphasizing that the supported route is the smoothest one","notes,platform-fundamentals"
Escape hatch (platform fundamentals),a supported way to deviate from the golden path for a legitimate edge case,"notes,platform-fundamentals"
Thin conformance layer (platform fundamentals),"the non-optional policy, telemetry, and supply chain requirements applying to all workloads","notes,platform-fundamentals"
Cognitive load (platform fundamentals),"the mental effort a team must expend, which platforms exist to reduce","notes,platform-fundamentals"
Extraneous load (platform fundamentals),cognitive load imposed by tooling and process rather than by the problem domain,"notes,platform-fundamentals"
