Question,Answer,Tags
How long is the AWS Certified Solutions Architect - Professional (SAP-C02) exam?,180 minutes (3 hours),exam-logistics
How many questions are on the AWS Certified Solutions Architect - Professional (SAP-C02) exam?,75 questions,exam-logistics
What is the passing score for AWS Certified Solutions Architect - Professional (SAP-C02)?,750/1000 (estimated ~70%),exam-logistics
What does the AWS Certified Solutions Architect - Professional (SAP-C02) exam cost?,$300 USD,exam-logistics
How long is AWS Certified Solutions Architect - Professional (SAP-C02) valid for?,3 years,exam-logistics
How is the AWS Certified Solutions Architect - Professional (SAP-C02) exam delivered?,Pearson VUE (Testing center or online proctored),exam-logistics
General Purpose (compute containers),"t3, t4g, m5, m6i, m6g, m7g (balanced compute, memory, network)","notes,compute-containers"
Compute Optimized (compute containers),"c5, c6i, c6g, c7g (high-performance processors for compute-intensive)","notes,compute-containers"
Memory Optimized (compute containers),"r5, r6i, r6g, r7g, x1, x2 (large datasets in memory)","notes,compute-containers"
Storage Optimized (compute containers),"i3, i4i, d2, h1 (high sequential read/write, local storage)","notes,compute-containers"
Accelerated Computing (compute containers),"p3, p4, g4, inf1, trn1 (GPU, FPGA, ML inference)","notes,compute-containers"
Graviton (compute containers),"ARM-based processors (t4g, m6g, c6g, r6g) for 40% better price-performance","notes,compute-containers"
On-Demand (compute containers),"Pay per hour/second, no commitment, highest cost","notes,compute-containers"
Reserved Instances (compute containers),"1 or 3-year commitment, up to 72% savings","notes,compute-containers"
Savings Plans (compute containers),"Flexible pricing model, commit to $/hour for 1 or 3 years","notes,compute-containers"
Spot Instances (compute containers),"Unused capacity, up to 90% savings, can be interrupted (2-min warning)","notes,compute-containers"
Dedicated Hosts (compute containers),"Physical server dedicated to you, for licensing compliance (BYOL)","notes,compute-containers"
Dedicated Instances (compute containers),Instances on hardware dedicated to you (not full server control),"notes,compute-containers"
Capacity Reservations (compute containers),Reserve capacity in specific AZ without commitment,"notes,compute-containers"
Target Tracking (compute containers),"Maintain metric at target (CPU 50%, ALB requests/target 1000)","notes,compute-containers"
Step Scaling (compute containers),Add/remove instances based on metric thresholds,"notes,compute-containers"
Simple Scaling (compute containers),"Single adjustment based on alarm (legacy, use step instead)","notes,compute-containers"
Scheduled Scaling (compute containers),"Predictable load patterns (scale up at 8 AM, down at 6 PM)","notes,compute-containers"
Predictive Scaling (compute containers),ML-based forecasting of future load,"notes,compute-containers"
Warm Pools (compute containers),Pre-initialized instances for faster scaling,"notes,compute-containers"
Lifecycle Hooks (compute containers),"Custom actions during launch/terminate (backup, log draining)","notes,compute-containers"
Cluster (compute containers),"Low latency, high throughput, single AZ (HPC, big data)","notes,compute-containers"
Partition (compute containers),"Spread across partitions (Hadoop, Cassandra, Kafka)","notes,compute-containers"
Spread (compute containers),"Each instance on different hardware, max 7 per AZ (critical applications)","notes,compute-containers"
Elastic Network Adapter (ENA) (compute containers),"Up to 100 Gbps, lower latency","notes,compute-containers"
