Question,Answer,Tags
How long is the Certified Kubernetes Security Specialist (CKS) exam?,120 minutes (2 hours),exam-logistics
What is the passing score for Certified Kubernetes Security Specialist (CKS)?,67%,exam-logistics
What does the Certified Kubernetes Security Specialist (CKS) exam cost?,$395 USD (includes one free retake),exam-logistics
How long is Certified Kubernetes Security Specialist (CKS) valid for?,2 years,exam-logistics
How is the Certified Kubernetes Security Specialist (CKS) exam delivered?,Online proctored via PSI,exam-logistics
RequestReceived (audit logging),Event generated as soon as the audit handler receives the request,"notes,audit-logging"
ResponseStarted (audit logging),Response headers sent but body not yet sent (long-running requests only),"notes,audit-logging"
ResponseComplete (audit logging),Response body completed and no more bytes will be sent,"notes,audit-logging"
Panic (audit logging),Event generated when a panic occurs,"notes,audit-logging"
None (audit logging),Do not log this event,"notes,audit-logging"
Metadata (audit logging),"Log request metadata (user, timestamp, resource, verb) only","notes,audit-logging"
Request (audit logging),Log metadata and request body,"notes,audit-logging"
RequestResponse (audit logging),"Log metadata, request body, and response body","notes,audit-logging"
level (audit logging),"Audit level (None, Metadata, Request, RequestResponse)","notes,audit-logging"
userGroups (audit logging),User groups to match,"notes,audit-logging"
verbs (audit logging),"API verbs to match (get, list, create, update, delete, watch, patch)","notes,audit-logging"
resources (audit logging),API resources to match (group and resource name),"notes,audit-logging"
namespaces (audit logging),Namespaces to match,"notes,audit-logging"
nonResourceURLs (audit logging),"Non-resource URLs to match (e.g., /healthz)","notes,audit-logging"
PCI DSS (audit logging),Requires logging of all access to cardholder data,"notes,audit-logging"
SOC 2 (audit logging),Requires audit trails for system access,"notes,audit-logging"
HIPAA (audit logging),Requires logging of access to protected health information,"notes,audit-logging"
GDPR (audit logging),Requires tracking of personal data access,"notes,audit-logging"
INSECURE (cluster hardening),Should never be used in production,"notes,cluster-hardening"
HashiCorp Vault (pod security standards),External secret store with Kubernetes integration,"notes,pod-security-standards"
AWS Secrets Manager / Azure Key Vault / GCP Secret Manager (pod security standards),Cloud-native options,"notes,pod-security-standards"
External Secrets Operator (pod security standards),Syncs external secrets to Kubernetes,"notes,pod-security-standards"
Sealed Secrets (pod security standards),Encrypt secrets for safe storage in Git,"notes,pod-security-standards"
Kernel Module or eBPF probe (runtime security),Captures system calls from the kernel,"notes,runtime-security"
Libraries (runtime security),Filters and processes system call events,"notes,runtime-security"
Rules Engine (runtime security),Matches events against security rules,"notes,runtime-security"
Alert Outputs (runtime security),"Sends alerts to stdout, files, syslog, HTTP endpoints, gRPC","notes,runtime-security"
rule (runtime security),The name of the rule,"notes,runtime-security"
desc (runtime security),Description of what the rule detects,"notes,runtime-security"
condition (runtime security),The filter expression using Falco fields (system call data),"notes,runtime-security"
output (runtime security),The alert message format with field substitutions,"notes,runtime-security"
priority (runtime security),"Severity level (EMERGENCY, ALERT, CRITICAL, ERROR, WARNING, NOTICE, INFO, DEBUG)","notes,runtime-security"
tags (runtime security),Categorization tags for the rule,"notes,runtime-security"
None (runtime security),Do not log events matching this rule,"notes,runtime-security"
Metadata (runtime security),"Log request metadata (user, timestamp, resource, verb) but not body","notes,runtime-security"
Request (runtime security),"Log metadata and request body, but not response body","notes,runtime-security"
RequestResponse (runtime security),"Log metadata, request body, and response body","notes,runtime-security"
Use specific tags (supply chain security),Never use latest or untagged images,"notes,supply-chain-security"
Pin image digests (supply chain security),Use image@sha256:abc123... for maximum reproducibility,"notes,supply-chain-security"
Run as non-root (supply chain security),Add USER nonroot or USER 1000,"notes,supply-chain-security"
No secrets in images (supply chain security),"Never COPY or ADD secrets, credentials, or keys","notes,supply-chain-security"
Minimize layers (supply chain security),Combine RUN commands to reduce attack surface,"notes,supply-chain-security"
Remove unnecessary tools (supply chain security),"No curl, wget, bash in production images when possible","notes,supply-chain-security"
Use COPY over ADD (supply chain security),"ADD can unpack archives and fetch URLs, which is risky","notes,supply-chain-security"
CRITICAL (supply chain security),"Remotely exploitable, high impact, patch immediately","notes,supply-chain-security"
HIGH (supply chain security),"Significant risk, should be patched soon","notes,supply-chain-security"
MEDIUM (supply chain security),"Moderate risk, plan for remediation","notes,supply-chain-security"
LOW (supply chain security),"Minor risk, address during regular maintenance","notes,supply-chain-security"
