Question,Answer,Tags
How long is the Certified Argo Project Associate (CAPA) exam?,90 minutes,exam-logistics
How many questions are on the Certified Argo Project Associate (CAPA) exam?,60,exam-logistics
What is the passing score for Certified Argo Project Associate (CAPA)?,75%,exam-logistics
What does the Certified Argo Project Associate (CAPA) exam cost?,USD 250 (includes one free retake),exam-logistics
How long is Certified Argo Project Associate (CAPA) valid for?,2 years,exam-logistics
How is the Certified Argo Project Associate (CAPA) exam delivered?,Online proctored through PSI,exam-logistics
Workflow (argo workflows),one execution. Contains templates and an entrypoint.,"notes,argo-workflows"
WorkflowTemplate (argo workflows),"a reusable, namespaced definition invoked by other workflows.","notes,argo-workflows"
ClusterWorkflowTemplate (argo workflows),the cluster-scoped equivalent.,"notes,argo-workflows"
CronWorkflow (argo workflows),a Workflow on a schedule.,"notes,argo-workflows"
Conditionals (argo workflows),"when: ""{{steps.check.outputs.result}} == success""","notes,argo-workflows"
Loops (argo workflows),"withItems (a static list), withParam (a JSON array from a previous step's output), withSequence (a numeric range)","notes,argo-workflows"
Recursion (argo workflows),"a template invoking itself, bounded by a when condition","notes,argo-workflows"
Parallelism (argo workflows),"limits at workflow, template, and controller level","notes,argo-workflows"
Entrypoint (argo workflows),the template a Workflow starts from,"notes,argo-workflows"
Container template (argo workflows),a template running a single container as a pod,"notes,argo-workflows"
Script template (argo workflows),a template running an inline script whose stdout becomes an output parameter,"notes,argo-workflows"
Resource template (argo workflows),a template performing a Kubernetes resource operation with success conditions,"notes,argo-workflows"
Suspend template (argo workflows),a template pausing the workflow until resumed or until a duration elapses,"notes,argo-workflows"
Steps template (argo workflows),an orchestration template of nested lists where inner lists run in parallel and outer lists in sequence,"notes,argo-workflows"
DAG template (argo workflows),an orchestration template where tasks declare explicit dependencies,"notes,argo-workflows"
Output parameter (argo workflows),a small value produced by a step and referenced by later steps,"notes,argo-workflows"
Artifact (argo workflows),a file passed between steps through an artifact repository,"notes,argo-workflows"
Artifact repository (argo workflows),"the object storage backing artifact transfer, such as S3, GCS, or MinIO","notes,argo-workflows"
artifactGC (argo workflows),the configuration deleting artifacts when a workflow completes or is deleted,"notes,argo-workflows"
withParam (argo workflows),the loop construct expanding a JSON array from a previous step into parallel iterations,"notes,argo-workflows"
retryStrategy (argo workflows),"per-template retry configuration including limit, backoff, and retry policy","notes,argo-workflows"
onExit handler (argo workflows),a template that runs after a workflow completes regardless of outcome,"notes,argo-workflows"
ttlStrategy (argo workflows),configuration deleting completed Workflow objects after a specified time,"notes,argo-workflows"
podGC (argo workflows),configuration deleting workflow pods on completion to free cluster resources,"notes,argo-workflows"
Synchronization (argo workflows),mutex or semaphore configuration limiting concurrent workflow or template execution,"notes,argo-workflows"
Workflow archive (argo workflows),database persistence of completed workflows so history survives object deletion,"notes,argo-workflows"
Allowed source repositories (argo cd),Allowed destinations (cluster and namespace),"notes,argo-cd"
App of apps (argo cd),"a parent Application whose source contains child Application manifests, so Argo CD manages its own configuration","notes,argo-cd"
Declarative setup (argo cd),"Argo CD's own configuration lives in ConfigMaps and custom resources, so it can be managed by GitOps","notes,argo-cd"
