Question,Answer,Tags
How long is the Microsoft Certified: Microsoft 365 Fundamentals (MS-900) exam?,65 minutes,exam-logistics
How many questions are on the Microsoft Certified: Microsoft 365 Fundamentals (MS-900) exam?,~45,exam-logistics
What does the Microsoft Certified: Microsoft 365 Fundamentals (MS-900) exam cost?,$99 USD,exam-logistics
How long is Microsoft Certified: Microsoft 365 Fundamentals (MS-900) valid for?,Does not expire,exam-logistics
Scalability (cloud and m365 overview),scale up/down on demand,"notes,cloud-and-m365-overview"
Elasticity (cloud and m365 overview),automatic scaling based on load,"notes,cloud-and-m365-overview"
Agility (cloud and m365 overview),"deploy in minutes, not months","notes,cloud-and-m365-overview"
Reliability (cloud and m365 overview),cloud SLAs higher than typical on-prem,"notes,cloud-and-m365-overview"
Disaster recovery (cloud and m365 overview),geo-redundant by default in M365,"notes,cloud-and-m365-overview"
Predictable costs (cloud and m365 overview),subscription pricing,"notes,cloud-and-m365-overview"
Global reach (cloud and m365 overview),regional data residency available,"notes,cloud-and-m365-overview"
Microsoft Azure (cloud and m365 overview),the public cloud platform (IaaS/PaaS),"notes,cloud-and-m365-overview"
Microsoft 365 (cloud and m365 overview),productivity SaaS suite,"notes,cloud-and-m365-overview"
Dynamics 365 (cloud and m365 overview),"business apps SaaS (CRM, ERP)","notes,cloud-and-m365-overview"
Power Platform (cloud and m365 overview),"low-code (Power BI, Power Apps, Power Automate, Copilot Studio)","notes,cloud-and-m365-overview"
Microsoft Industry Clouds (cloud and m365 overview),"vertical SaaS (Healthcare, Financial Services, Retail, Manufacturing, Sustainability, Nonprofit)","notes,cloud-and-m365-overview"
GitHub (cloud and m365 overview),"Microsoft-owned, separately branded","notes,cloud-and-m365-overview"
Click-to-Run (cloud and m365 overview),streaming installer; default for M365 apps,"notes,cloud-and-m365-overview"
MSI (cloud and m365 overview),legacy installer; use for managed environments needing stricter version control,"notes,cloud-and-m365-overview"
Configuration Manager (cloud and m365 overview),SCCM/Intune-managed deployment,"notes,cloud-and-m365-overview"
Direct download (cloud and m365 overview),users install from portal,"notes,cloud-and-m365-overview"
Current Channel (cloud and m365 overview),monthly; latest features ASAP,"notes,cloud-and-m365-overview"
Monthly Enterprise Channel (cloud and m365 overview),monthly; predictable second-Tuesday cadence,"notes,cloud-and-m365-overview"
Semi-Annual Enterprise Channel (cloud and m365 overview),twice a year; for orgs preferring stability,"notes,cloud-and-m365-overview"
Insider channels (cloud and m365 overview),beta / dev tracks,"notes,cloud-and-m365-overview"
Chat (m365 apps and services),"1:1, group, channel","notes,m365-apps-and-services"
Channels (m365 apps and services),team-organized chat + files,"notes,m365-apps-and-services"
Meetings (m365 apps and services),"video/voice, screen-share, recording (saved to OneDrive/SharePoint)","notes,m365-apps-and-services"
Calls (m365 apps and services),PSTN calling with Phone System add-on,"notes,m365-apps-and-services"
Apps (m365 apps and services),extend Teams with custom or third-party apps,"notes,m365-apps-and-services"
Live events (m365 apps and services),broadcast to large audiences,"notes,m365-apps-and-services"
Webinars (m365 apps and services),registration + reporting,"notes,m365-apps-and-services"
Microsoft 365 Copilot (m365 apps and services),"in Word, Excel, PowerPoint, Outlook, Teams, Loop. Per-user license. Grounded in your tenant data via the Microsoft Graph.","notes,m365-apps-and-services"
Copilot in Edge / Bing (m365 apps and services),browser/search Copilot,"notes,m365-apps-and-services"
Copilot for Sales / Service / Finance (m365 apps and services),role-specific Copilots in Dynamics,"notes,m365-apps-and-services"
Copilot Studio (m365 apps and services),build custom Copilots,"notes,m365-apps-and-services"
GitHub Copilot (m365 apps and services),code assistant; separate license,"notes,m365-apps-and-services"
Microsoft Entra Connect (m365 apps and services),syncs on-prem AD users/groups to Entra ID,"notes,m365-apps-and-services"
Pass-through Authentication (m365 apps and services),sign-in validated against on-prem AD (no password sync),"notes,m365-apps-and-services"
Cloud Sync (m365 apps and services),lightweight alternative to Entra Connect,"notes,m365-apps-and-services"
Viva Connections (m365 apps and services),personalized intranet in Teams,"notes,m365-apps-and-services"
Viva Insights (m365 apps and services),personal/team productivity analytics (anonymized aggregates),"notes,m365-apps-and-services"
Viva Learning (m365 apps and services),LMS aggregating LinkedIn Learning + custom content,"notes,m365-apps-and-services"
Viva Topics (m365 apps and services),knowledge graph automatically extracts topics from your tenant's content,"notes,m365-apps-and-services"
Viva Goals (m365 apps and services),OKRs and goal tracking,"notes,m365-apps-and-services"
Viva Pulse (m365 apps and services),quick employee surveys (manager-led),"notes,m365-apps-and-services"
Viva Glint (m365 apps and services),"engagement / sentiment surveys (org-wide, with HR)","notes,m365-apps-and-services"
Microsoft Cloud for Healthcare (m365 apps and services),"patient engagement, EHR integration (FHIR), Teams for clinicians","notes,m365-apps-and-services"
Microsoft Cloud for Financial Services (m365 apps and services),banking + insurance + capital markets workflows,"notes,m365-apps-and-services"
Microsoft Cloud for Retail (m365 apps and services),"in-store ops, supply chain, marketing","notes,m365-apps-and-services"
Microsoft Cloud for Manufacturing (m365 apps and services),"factory operations, supply chain","notes,m365-apps-and-services"
Microsoft Cloud for Sustainability (m365 apps and services),"carbon accounting, sustainability reporting","notes,m365-apps-and-services"
Microsoft Cloud for Nonprofit (m365 apps and services),donor / volunteer / program management,"notes,m365-apps-and-services"
Plan 1 (security compliance trust),"Safe Attachments, Safe Links, anti-phishing, anti-malware","notes,security-compliance-trust"
Plan 2 (security compliance trust),"Plan 1 + Threat Explorer, Attack Simulator, automated investigation/response","notes,security-compliance-trust"
Sensitivity labels (security compliance trust),"tag content as Public, Internal, Confidential, Highly Confidential, etc.","notes,security-compliance-trust"
Auto-labeling (security compliance trust),"automatically apply labels based on content patterns (regex, keywords, ML)","notes,security-compliance-trust"
Encryption (security compliance trust),labels can enforce encryption (AIP encryption),"notes,security-compliance-trust"
Retention labels and policies (security compliance trust),keep content for X years; or delete after Y years,"notes,security-compliance-trust"
Records management (security compliance trust),"declarative records (immutable, can't be modified/deleted)","notes,security-compliance-trust"
Disposition review (security compliance trust),human review before deletion,"notes,security-compliance-trust"
eDiscovery (Standard) (security compliance trust),"search content across M365, hold mailboxes/sites","notes,security-compliance-trust"
eDiscovery (Premium) (security compliance trust),"advanced workflow, custodian management, in-place review, predictive coding","notes,security-compliance-trust"
Audit (Standard) (security compliance trust),90-180 days retention,"notes,security-compliance-trust"
Audit (Premium) (security compliance trust),"1-year+ retention, more event types, longer retention with add-on","notes,security-compliance-trust"
"SOC 1, 2, 3 (security compliance trust)",audit reports for service organizations,"notes,security-compliance-trust"
ISO 27001/27017/27018 (security compliance trust),international security standards,"notes,security-compliance-trust"
FedRAMP High / Moderate (security compliance trust),US federal government,"notes,security-compliance-trust"
HIPAA BAA (security compliance trust),healthcare; Microsoft signs BAAs with covered entities,"notes,security-compliance-trust"
GDPR (security compliance trust),EU privacy regulation,"notes,security-compliance-trust"
CCPA (security compliance trust),California consumer privacy,"notes,security-compliance-trust"
C5 (security compliance trust),German cloud security,"notes,security-compliance-trust"
IRAP (security compliance trust),Australian government,"notes,security-compliance-trust"
CJIS (security compliance trust),US criminal justice,"notes,security-compliance-trust"
Customer data is yours (security compliance trust),Microsoft doesn't use M365 customer data to train AI or for advertising,"notes,security-compliance-trust"
Data residency (security compliance trust),choose where data is stored,"notes,security-compliance-trust"
Regulator audit access (security compliance trust),"subject to legal restrictions, customers can audit","notes,security-compliance-trust"
Assignments (security compliance trust),"who/what (users, groups, apps, conditions like location, device state, risk)","notes,security-compliance-trust"
Access controls (security compliance trust),"block, require MFA, require compliant device, require app protection policy, require terms of use","notes,security-compliance-trust"
Microsoft Authenticator app (security compliance trust),push notifications + number matching (preferred),"notes,security-compliance-trust"
FIDO2 security keys (security compliance trust),"hardware tokens (YubiKey, etc.)","notes,security-compliance-trust"
Windows Hello for Business (security compliance trust),biometric / PIN on Windows,"notes,security-compliance-trust"
SMS / phone call (security compliance trust),"legacy, weaker (vulnerable to SIM swap)","notes,security-compliance-trust"
OATH tokens (security compliance trust),third-party authenticator apps,"notes,security-compliance-trust"
Microsoft 365 Personal (licensing pricing support),"1 person, all apps, 1 TB OneDrive","notes,licensing-pricing-support"
Microsoft 365 Family (licensing pricing support),"6 people, all apps, 1 TB OneDrive each","notes,licensing-pricing-support"
Microsoft 365 F1 (licensing pricing support),basic Teams + tools; no desktop apps; lower cost,"notes,licensing-pricing-support"
Microsoft 365 F3 (licensing pricing support),"F1 + more features (limited Outlook, etc.); cost between F1 and Business Basic","notes,licensing-pricing-support"
A1 (licensing pricing support),free for accredited students/faculty,"notes,licensing-pricing-support"
A3 / A5 (licensing pricing support),paid tiers analogous to E3 / E5,"notes,licensing-pricing-support"
