Question,Answer,Tags
How long is the Google Cloud Generative AI Leader exam?,90 minutes,exam-logistics
How many questions are on the Google Cloud Generative AI Leader exam?,50-60,exam-logistics
What does the Google Cloud Generative AI Leader exam cost?,USD 99 plus applicable tax,exam-logistics
How long is Google Cloud Generative AI Leader valid for?,3 years,exam-logistics
How is the Google Cloud Generative AI Leader exam delivered?,Online proctored or onsite proctored,exam-logistics
Grounding (genai fundamentals),supply authoritative source text and instruct the model to answer only from it,"notes,genai-fundamentals"
Citations (genai fundamentals),require references so a human can verify,"notes,genai-fundamentals"
An escape hatch (genai fundamentals),instruct the model to say when it does not know,"notes,genai-fundamentals"
Knowledge cutoff (genai fundamentals),no awareness of events after training,"notes,genai-fundamentals"
Hallucination (genai fundamentals),confident wrong answers,"notes,genai-fundamentals"
Reasoning limits (genai fundamentals),multi-step logical and arithmetic reasoning remains imperfect,"notes,genai-fundamentals"
Non-determinism (genai fundamentals),the same prompt can produce different output,"notes,genai-fundamentals"
Bias (genai fundamentals),models reflect patterns in their training data,"notes,genai-fundamentals"
Context limits (genai fundamentals),not everything fits in the window,"notes,genai-fundamentals"
Cost and latency (genai fundamentals),larger and better models cost more and respond more slowly,"notes,genai-fundamentals"
Generative AI (genai fundamentals),AI that produces new content rather than only classifying existing data,"notes,genai-fundamentals"
Foundation model (genai fundamentals),a large model pre-trained on broad data and adaptable to many tasks,"notes,genai-fundamentals"
Token (genai fundamentals),"the unit of text a model processes, and the basis for cost and limits","notes,genai-fundamentals"
Context window (genai fundamentals),the maximum tokens a model can consider in one request,"notes,genai-fundamentals"
Embedding (genai fundamentals),a vector representation of text where similarity corresponds to closeness,"notes,genai-fundamentals"
Multimodal model (genai fundamentals),"a model handling more than one content type, such as text and images","notes,genai-fundamentals"
Pre-training (genai fundamentals),the large-scale initial training that gives a model its general capability,"notes,genai-fundamentals"
Fine-tuning (genai fundamentals),additional training on specific data to change a model's behavior,"notes,genai-fundamentals"
Instruction tuning (genai fundamentals),fine-tuning that makes a model follow instructions reliably,"notes,genai-fundamentals"
Agent (genai fundamentals),a model operating in a loop with tools to complete multi-step tasks,"notes,genai-fundamentals"
Model Garden (google cloud offerings),"the catalog of available models: Google's own, open models, and third-party","notes,google-cloud-offerings"
Vertex AI Studio (google cloud offerings),"a console for prompt design, testing, and comparison without writing code","notes,google-cloud-offerings"
Training and tuning (google cloud offerings),fine-tuning and custom training,"notes,google-cloud-offerings"
Evaluation (google cloud offerings),measuring model and application quality,"notes,google-cloud-offerings"
Pipelines (google cloud offerings),orchestrating ML workflows,"notes,google-cloud-offerings"
"Feature Store, Model Registry, Model Monitoring (google cloud offerings)",the MLOps surfaces,"notes,google-cloud-offerings"
Vector Search (google cloud offerings),similarity search over embeddings at scale,"notes,google-cloud-offerings"
Agent Builder (google cloud offerings),building agents and search experiences,"notes,google-cloud-offerings"
AI Hypercomputer (google cloud offerings),"Google's integrated architecture of hardware, software, and consumption models for large-scale AI","notes,google-cloud-offerings"
TPUs (google cloud offerings),"Google's purpose-built AI accelerators, designed for large-scale training and inference","notes,google-cloud-offerings"
GPUs (google cloud offerings),"the alternative accelerator, familiar and broadly compatible","notes,google-cloud-offerings"
Cloud Storage and BigQuery (google cloud offerings),where training and grounding data usually lives,"notes,google-cloud-offerings"
Data governance (google cloud offerings),customer data submitted to Vertex AI is not used to train Google's foundation models,"notes,google-cloud-offerings"
Vertex AI (google cloud offerings),"Google Cloud's unified platform for building, tuning, deploying, and evaluating AI","notes,google-cloud-offerings"
Gemini (google cloud offerings),Google's multimodal foundation model family,"notes,google-cloud-offerings"
Gemma (google cloud offerings),Google's family of open models intended to be run by the user,"notes,google-cloud-offerings"
Imagen (google cloud offerings),Google's image generation and editing model,"notes,google-cloud-offerings"
Veo (google cloud offerings),Google's video generation model,"notes,google-cloud-offerings"
Chirp (google cloud offerings),Google's speech recognition model,"notes,google-cloud-offerings"
Vertex AI Search (google cloud offerings),grounded enterprise search with generative summaries and citations,"notes,google-cloud-offerings"
Vertex AI Agent Builder (google cloud offerings),the product for building conversational agents and search experiences,"notes,google-cloud-offerings"
NotebookLM (google cloud offerings),grounded research and question answering over sources the user supplies,"notes,google-cloud-offerings"
BigQuery generative AI functions (google cloud offerings),calling models directly from SQL inside the data warehouse,"notes,google-cloud-offerings"
Gemini for Google Workspace (google cloud offerings),"generative AI applied inside Docs, Gmail, Sheets, Slides, and Meet","notes,google-cloud-offerings"
Gemini for Google Cloud (google cloud offerings),generative AI assistance for engineering and cloud operations,"notes,google-cloud-offerings"
TPU (google cloud offerings),Google's purpose-built accelerator for AI training and inference,"notes,google-cloud-offerings"
VPC Service Controls (google cloud offerings),the perimeter control restricting data movement out of a defined boundary,"notes,google-cloud-offerings"
Grounding with Google Search (improving output),"for public, current information, addressing the knowledge cutoff","notes,improving-output"
Grounding with your own data (improving output),"through Vertex AI Search or a vector store, for enterprise content","notes,improving-output"
Zero-shot prompting (improving output),prompting with an instruction and no examples,"notes,improving-output"
Few-shot prompting (improving output),"including worked examples in the prompt, often the cheapest quality gain","notes,improving-output"
Chain-of-thought prompting (improving output),requesting step-by-step reasoning before the final answer,"notes,improving-output"
System instructions (improving output),"persistent instructions setting role, tone, and constraints for a session","notes,improving-output"
