Question,Answer,Tags
How long is the AWS Certified Data Engineer - Associate (DEA-C01) exam?,130 minutes,exam-logistics
How many questions are on the AWS Certified Data Engineer - Associate (DEA-C01) exam?,65 (50 scored + 15 unscored),exam-logistics
What is the passing score for AWS Certified Data Engineer - Associate (DEA-C01)?,720 / 1000,exam-logistics
What does the AWS Certified Data Engineer - Associate (DEA-C01) exam cost?,$150 USD (50% discount voucher available for prior AWS cert holders),exam-logistics
How long is AWS Certified Data Engineer - Associate (DEA-C01) valid for?,3 years,exam-logistics
Job types (data transformation),Spark - the main ETL engine,"notes,data-transformation"
Spark Streaming (data transformation),reads from KDS / MSK,"notes,data-transformation"
Python shell (data transformation),lightweight non-Spark scripts,"notes,data-transformation"
Ray (data transformation),distributed Python (newer),"notes,data-transformation"
Glue Studio (data transformation),visual job builder. Glue notebooks - interactive Jupyter on Glue.,"notes,data-transformation"
Standard (data transformation),"up to 1 year, durable, exactly-once. ~25 transitions/s. Use for ETL / batch orchestration.","notes,data-transformation"
Express (data transformation),"up to 5 minutes, at-least-once or at-most-once. ~100k/s. Use for high-volume event processing.","notes,data-transformation"
S3 Object Lambda (data stores),"transform on read (e.g., redact PII before delivering to a consumer).","notes,data-stores"
S3 Select (data stores),SQL-style filter on a single object server-side.,"notes,data-stores"
S3 Storage Lens (data stores),"org-wide visibility, optimization recommendations.","notes,data-stores"
S3 Replication (data stores),same-region (SRR) and cross-region (CRR) replication for DR or compliance.,"notes,data-stores"
S3 Inventory (data stores),daily/weekly CSV/Parquet listing of objects with metadata.,"notes,data-stores"
Provisioned DC2 (data stores),"legacy SSD-attached. Smaller, older.","notes,data-stores"
Redshift Serverless (data stores),no cluster sizing. Auto-scales RPUs (Redshift Processing Units). Pay for usage. Best for spiky/intermittent workloads.,"notes,data-stores"
AUTO (data stores),"Redshift picks (default). EVEN until table reaches threshold, then KEY if pattern detected, otherwise EVEN.","notes,data-stores"
EVEN (data stores),round-robin. Use when no clear join key.,"notes,data-stores"
KEY (data stores),hash on a column. Use when the column is consistently used in joins.,"notes,data-stores"
ALL (data stores),replicate full table to every node. Use for small dimension tables (< few million rows).,"notes,data-stores"
Compound (data stores),sorted by columns in declared order. Best for queries filtering on prefix columns.,"notes,data-stores"
Interleaved (data stores),equal weight per column. Better when filters vary across multiple columns. Higher VACUUM cost.,"notes,data-stores"
Concurrency Scaling (data stores),automatic transient compute for read-heavy spikes.,"notes,data-stores"
Result caching (data stores),24h cache on identical queries.,"notes,data-stores"
Redshift Spectrum (data stores),query S3 directly via Glue Data Catalog. No data load needed.,"notes,data-stores"
Federated queries (data stores),query RDS/Aurora Postgres or MySQL from Redshift.,"notes,data-stores"
Data sharing (data stores),share live data across clusters/accounts (RA3 only) without copies.,"notes,data-stores"
Redshift ML (data stores),SQL function calls SageMaker model.,"notes,data-stores"
Auto Copy from S3 (data stores),automatic continuous load (newer feature).,"notes,data-stores"
Redshift Data API (data stores),HTTP API for asynchronous queries (no JDBC needed).,"notes,data-stores"
Aurora Serverless v2 (data stores),auto-scaling per ACU.,"notes,data-stores"
Aurora Global Database (data stores),cross-region replication (typically < 1s lag) with up to 5 secondary regions.,"notes,data-stores"
Capacity modes (data stores),"On-demand - per-request pricing, automatic scaling. Use for unpredictable / spiky.","notes,data-stores"
Provisioned (data stores),configured RCU/WCU with auto-scaling. Cheaper for steady predictable load.,"notes,data-stores"
Keys (data stores),"Partition key alone, or Partition + Sort key (composite).","notes,data-stores"
Indexes (data stores),Global Secondary Index (GSI) - different partition key. Eventually consistent. Up to 20 per table.,"notes,data-stores"
Local Secondary Index (LSI) (data stores),"same partition key, different sort key. Strongly consistent. Created at table creation only.","notes,data-stores"
DynamoDB Streams (data stores),24h ordered CDC; fed into Lambda or Kinesis Data Streams (for KCL consumers).,"notes,data-stores"
DynamoDB Accelerator (DAX) (data stores),"in-memory cache, microsecond reads.","notes,data-stores"
Global Tables (data stores),active-active multi-region replication.,"notes,data-stores"
TTL (data stores),auto-delete expired items.,"notes,data-stores"
PartiQL (data stores),SQL-like syntax for DynamoDB.,"notes,data-stores"
Backup (data stores),"PITR (point-in-time recovery, 35d) plus on-demand backups.","notes,data-stores"
Export to S3 (data stores),"full-table or incremental DynamoDB → S3 export, no consumed capacity.","notes,data-stores"
Standard (data stores),typically managed by Glue Crawlers,"notes,data-stores"
Iceberg / Hudi / Delta (data stores),lakehouse table types,"notes,data-stores"
QuickSight Q (data operations),natural language Q&A on data.,"notes,data-operations"
CloudWatch Logs Insights (data operations),ad-hoc query language for logs.,"notes,data-operations"
Logs to Lake (data operations),export to S3 for long-term retention and Athena analysis.,"notes,data-operations"
AWS Cost Explorer (data operations),"13 months of cost / usage with filters, groupings, forecasts.","notes,data-operations"
AWS Budgets (data operations),alert when spend / usage exceed thresholds.,"notes,data-operations"
Cost and Usage Reports (CUR) (data operations),"hourly granular CSV/Parquet to S3, queryable via Athena.","notes,data-operations"
AWS Trusted Advisor (data operations),"cost-optimization checks (idle resources, RI underutilization).","notes,data-operations"
S3 Storage Lens (data operations),"org-wide S3 cost visibility, recommendations.","notes,data-operations"
Dead letter queues (DLQs) (data operations),Lambda → SQS DLQ on async invokes,"notes,data-operations"
Idempotency (data operations),Idempotency keys on writes,"notes,data-operations"
Retries (data operations),"Built-in retry on Glue, EMR steps, Lambda async invokes","notes,data-operations"
Replays (data operations),Kinesis 24h-365d retention → reprocess from older shard iterator,"notes,data-operations"
Least privilege (security governance),grant only the actions required.,"notes,security-governance"
Service role (security governance),"manages cluster lifecycle (EC2, EBS, etc.)","notes,security-governance"
EC2 instance profile (security governance),"what runs on the cluster nodes (S3 read/write, Glue Catalog access)","notes,security-governance"
Step Functions execution role (security governance),"permissions for each task it invokes (Glue:StartJobRun, EMR:RunJobFlow, Lambda:InvokeFunction).","notes,security-governance"
Lambda execution role (security governance),service permissions plus VPC ENI permissions if attached to a VPC.,"notes,security-governance"
S3 (security governance),"SSE-S3 (AES-256, S3-managed keys) - default","notes,security-governance"
SSE-KMS (security governance),"customer-managed via KMS, audit log via CloudTrail","notes,security-governance"
SSE-C (security governance),customer-provided keys,"notes,security-governance"
AWS-managed keys (security governance),"free, AWS controls rotation, less audit detail.","notes,security-governance"
Customer-managed keys (CMKs) (security governance),"you control rotation, key policy, full CloudTrail visibility.","notes,security-governance"
Imported keys (security governance),bring your own key material.,"notes,security-governance"
Multi-Region keys (security governance),replicated keys for cross-region encrypted resources.,"notes,security-governance"
Gateway endpoints (security governance),"free, route-table-based, only for S3 and DynamoDB.","notes,security-governance"
Interface endpoints (PrivateLink) (security governance),"hourly + per-GB charge, ENI in your subnet, used for almost everything else (Glue, KMS, Athena, Redshift Data API, Step Functions, ECR, Secrets Manager, etc.).","notes,security-governance"
LF-Tags (security governance),"assign tags to databases / tables / columns. Grant access by tag (e.g., confidentiality=public,internal). Recommended at scale - replaces hundreds of explicit grants.","notes,security-governance"
CloudTrail Lake (security governance),SQL on event history.,"notes,security-governance"
Conformance packs (security governance),"pre-built rule sets for HIPAA, PCI-DSS, NIST, FedRAMP, etc.","notes,security-governance"
