Question,Answer,Tags
How long is the Claude Certified Architect - Foundations (CCAR-F) exam?,120 minutes,exam-logistics
How many questions are on the Claude Certified Architect - Foundations (CCAR-F) exam?,"60 multiple-choice and multiple-response, scenario-based",exam-logistics
What is the passing score for Claude Certified Architect - Foundations (CCAR-F)?,720 / 1000,exam-logistics
What does the Claude Certified Architect - Foundations (CCAR-F) exam cost?,$125 USD,exam-logistics
How long is Claude Certified Architect - Foundations (CCAR-F) valid for?,"12 months, free non-proctored on-time renewal",exam-logistics
How is the Claude Certified Architect - Foundations (CCAR-F) exam delivered?,Pearson VUE (online proctored or test center),exam-logistics
Autonomy (agentic architecture),Claude decides which tools to call and in what order,"notes,agentic-architecture"
Iteration (agentic architecture),Multiple rounds of tool calls and reasoning,"notes,agentic-architecture"
Goal-directed behavior (agentic architecture),Claude works toward completing a defined objective,"notes,agentic-architecture"
Dynamic decision making (agentic architecture),The path is not predetermined; it depends on intermediate results,"notes,agentic-architecture"
User settings (claude code configuration),~/.claude/settings.json - Personal settings,"notes,claude-code-configuration"
Project settings (claude code configuration),.claude/settings.json - Project-specific settings (checked into repo),"notes,claude-code-configuration"
Enterprise settings (claude code configuration),Managed centrally by administrators,"notes,claude-code-configuration"
Allowed tools (claude code configuration),Tools that can run without asking for permission,"notes,claude-code-configuration"
Denied tools (claude code configuration),Tools that are blocked entirely,"notes,claude-code-configuration"
Default behavior (claude code configuration),Unspecified tools prompt for approval,"notes,claude-code-configuration"
PreToolUse (claude code configuration),Runs before a tool is executed. Can block the tool execution.,"notes,claude-code-configuration"
PostToolUse (claude code configuration),Runs after a tool completes. Can process or validate results.,"notes,claude-code-configuration"
Notification (claude code configuration),Runs when Claude Code sends a notification,"notes,claude-code-configuration"
Pre-tool: Linting (claude code configuration),Run linter before file writes to ensure code quality,"notes,claude-code-configuration"
Pre-tool: Validation (claude code configuration),Check that proposed changes meet project standards,"notes,claude-code-configuration"
Pre-tool: Security scanning (claude code configuration),Scan for secrets or vulnerabilities before committing,"notes,claude-code-configuration"
Post-tool: Formatting (claude code configuration),Auto-format files after Claude writes them,"notes,claude-code-configuration"
Post-tool: Testing (claude code configuration),Run relevant tests after code changes,"notes,claude-code-configuration"
Post-tool: Notifications (claude code configuration),Alert the team when significant changes are made,"notes,claude-code-configuration"
stdio (claude code configuration),For local MCP servers. Claude Code spawns the process and communicates via stdin/stdout.,"notes,claude-code-configuration"
Streamable HTTP / SSE (claude code configuration),For remote MCP servers. Claude Code connects via HTTP.,"notes,claude-code-configuration"
