Question,Answer,Tags
How long is the CISM - Certified Information Security Manager exam?,4 hours (240 minutes),exam-logistics
How many questions are on the CISM - Certified Information Security Manager exam?,150 multiple-choice,exam-logistics
What is the passing score for CISM - Certified Information Security Manager?,450 / 800 (scaled),exam-logistics
What does the CISM - Certified Information Security Manager exam cost?,$575 ISACA member / $760 non-member,exam-logistics
How long is CISM - Certified Information Security Manager valid for?,3 years (perpetual with maintenance),exam-logistics
How is the CISM - Certified Information Security Manager exam delivered?,PSI testing centers and online proctored,exam-logistics
Information security governance (information security governance),"the framework of leadership, structures, and processes ensuring security supports and extends business strategy. Owned by the board and senior management.","notes,information-security-governance"
Security strategy (information security governance),"the plan to move from the current security state to the desired state, expressed in business outcomes.","notes,information-security-governance"
Desired state (information security governance),"defined by business requirements and risk appetite, not by a technology wish list.","notes,information-security-governance"
Business alignment (information security governance),every security objective traces to a business objective. Unaligned security spend cannot be defended.,"notes,information-security-governance"
Senior management commitment (information security governance),"the single most important success factor for a security program. Where a question offers it as an option for ""what is most important,"" it is usually correct.","notes,information-security-governance"
Board of directors (information security governance),ultimate accountability for governance; approves risk appetite.,"notes,information-security-governance"
Senior management (information security governance),"approves the strategy, funds it, and holds the organization to it.","notes,information-security-governance"
Security steering committee (information security governance),cross-functional body providing business input and prioritization. Its cross-functional composition is the point.,"notes,information-security-governance"
CISO / information security manager (information security governance),"develops and runs the program, advises the business, reports on risk.","notes,information-security-governance"
Data owner (information security governance),a business role: classifies data and authorizes access.,"notes,information-security-governance"
Data custodian (information security governance),implements the protections the owner specifies.,"notes,information-security-governance"
Business process owner (information security governance),accepts residual risk for their process.,"notes,information-security-governance"
Current state assessment (information security governance),"where the organization actually is, established by assessment rather than assumption.","notes,information-security-governance"
Gap analysis (information security governance),the difference between current and desired state. The gap defines the roadmap.,"notes,information-security-governance"
Roadmap (information security governance),"sequenced initiatives with dependencies, resources, and timelines.","notes,information-security-governance"
Constraints (information security governance),"legal, regulatory, contractual, cultural, budgetary, resource, and time. The exam expects you to treat culture and resources as real constraints, not obstacles to override.","notes,information-security-governance"
Strategy resources (information security governance),"policies, standards, architecture, controls, training, and third-party services.","notes,information-security-governance"
COBIT (information security governance),governance and management of enterprise IT.,"notes,information-security-governance"
ISO/IEC 27001 (information security governance),"requirements for an information security management system (ISMS), certifiable.","notes,information-security-governance"
NIST Cybersecurity Framework (information security governance),"Identify, Protect, Detect, Respond, Recover.","notes,information-security-governance"
Balanced scorecard (information security governance),communicates security performance in business terms across multiple perspectives.,"notes,information-security-governance"
Policy (information security governance),"senior management's statement of intent and direction. High level, stable, mandatory.","notes,information-security-governance"
Standard (information security governance),mandatory specification implementing policy.,"notes,information-security-governance"
Procedure (information security governance),the step-by-step method.,"notes,information-security-governance"
Guideline (information security governance),"recommended practice, not mandatory.","notes,information-security-governance"
Business case (information security governance),"justification for security investment in business language: risk reduced, obligations met, cost avoided.","notes,information-security-governance"
Return on security investment (ROSI) (information security governance),notoriously hard to compute precisely; usually argued as avoided loss expectancy against control cost.,"notes,information-security-governance"
Key performance indicator (KPI) (information security governance),is the program performing as intended?,"notes,information-security-governance"
