Question,Answer,Tags
How long is the OCI Generative AI Professional (1Z0-1127-25) exam?,90 minutes,exam-logistics
How many questions are on the OCI Generative AI Professional (1Z0-1127-25) exam?,60,exam-logistics
What is the passing score for OCI Generative AI Professional (1Z0-1127-25)?,68%,exam-logistics
What does the OCI Generative AI Professional (1Z0-1127-25) exam cost?,USD 245 list price; Oracle periodically runs free certification windows,exam-logistics
How long is OCI Generative AI Professional (1Z0-1127-25) valid for?,"Re-versioned annually, indicated by the year suffix in the exam code",exam-logistics
How is the OCI Generative AI Professional (1Z0-1127-25) exam delivered?,"Oracle CertView, online proctored",exam-logistics
Cosine similarity (llm fundamentals),"the angle between vectors, ignoring magnitude. The usual default for text","notes,llm-fundamentals"
Dot product (llm fundamentals),considers magnitude as well as direction,"notes,llm-fundamentals"
Euclidean distance (llm fundamentals),straight-line distance,"notes,llm-fundamentals"
Zero-shot (llm fundamentals),instruction only,"notes,llm-fundamentals"
Few-shot (llm fundamentals),"include worked examples, which is often the cheapest large quality gain","notes,llm-fundamentals"
Chain-of-thought (llm fundamentals),"ask for step-by-step reasoning before the answer, which helps on multi-step problems","notes,llm-fundamentals"
System prompt (llm fundamentals),"role, tone, and constraints applying to the whole conversation","notes,llm-fundamentals"
Transformer (llm fundamentals),the attention-based architecture underlying modern language models,"notes,llm-fundamentals"
Attention (llm fundamentals),the mechanism computing the relevance of every token to every other token,"notes,llm-fundamentals"
Decoder-only model (llm fundamentals),the generative architecture used by most chat models,"notes,llm-fundamentals"
Encoder-only model (llm fundamentals),"the architecture producing representations, used for embeddings and classification","notes,llm-fundamentals"
Token (llm fundamentals),"the unit of text a model processes, the basis for cost and context limits","notes,llm-fundamentals"
Context window (llm fundamentals),"the total token budget for a request, spanning prompt, history, retrieved text, and output","notes,llm-fundamentals"
Embedding (llm fundamentals),a vector representation of text where semantic similarity is geometric closeness,"notes,llm-fundamentals"
Temperature (llm fundamentals),the decoding parameter scaling randomness in token selection,"notes,llm-fundamentals"
Top-k sampling (llm fundamentals),restricting token selection to the k most probable candidates,"notes,llm-fundamentals"
Top-p sampling (llm fundamentals),restricting token selection to the smallest set of tokens reaching cumulative probability p,"notes,llm-fundamentals"
Frequency penalty (llm fundamentals),a decoding parameter discouraging tokens already used often,"notes,llm-fundamentals"
Presence penalty (llm fundamentals),a decoding parameter discouraging tokens that have appeared at all,"notes,llm-fundamentals"
Greedy decoding (llm fundamentals),always selecting the highest-probability token,"notes,llm-fundamentals"
Stop sequence (llm fundamentals),a string that terminates generation when produced,"notes,llm-fundamentals"
Few-shot prompting (llm fundamentals),including worked examples in the prompt to demonstrate the task,"notes,llm-fundamentals"
Chain-of-thought prompting (llm fundamentals),requesting step-by-step reasoning before the final answer,"notes,llm-fundamentals"
T-Few (llm fundamentals),the parameter-efficient fine-tuning method used by OCI Generative AI,"notes,llm-fundamentals"
LoRA (llm fundamentals),"low-rank adaptation, a parameter-efficient fine-tuning technique","notes,llm-fundamentals"
Perplexity (llm fundamentals),"a measure of how well a model predicts held-out text, where lower is better","notes,llm-fundamentals"
LLM-as-judge (llm fundamentals),using a language model to evaluate the outputs of another model against criteria,"notes,llm-fundamentals"
Customer data isolation (oci generative ai service),"data submitted to the service is not used to train Oracle's base models, and dedicated clusters provide infrastructure isolation","notes,oci-generative-ai-service"
OCI Generative AI (oci generative ai service),"the managed service providing foundation model inference, embeddings, and fine-tuning","notes,oci-generative-ai-service"
On-demand inference (oci generative ai service),"per-request access to base models, billed by tokens","notes,oci-generative-ai-service"
Dedicated AI cluster (oci generative ai service),"reserved, isolated capacity required for fine-tuning and for hosting custom models","notes,oci-generative-ai-service"
Fine-tuning cluster (oci generative ai service),a dedicated cluster that runs a fine-tuning job,"notes,oci-generative-ai-service"
Hosting cluster (oci generative ai service),a dedicated cluster that serves a model through an endpoint,"notes,oci-generative-ai-service"
Endpoint (oci generative ai service),the addressable serving target for a model on a hosting cluster,"notes,oci-generative-ai-service"
Custom model (oci generative ai service),"a model fine-tuned on your data, which can only be served from a dedicated cluster","notes,oci-generative-ai-service"
T-Few (oci generative ai service),the parameter-efficient fine-tuning method offered by the service,"notes,oci-generative-ai-service"
OCI Generative AI Agents (oci generative ai service),the managed retrieval-augmented agent service over enterprise data,"notes,oci-generative-ai-service"
Compartment (oci generative ai service),the OCI construct providing logical isolation and an access boundary,"notes,oci-generative-ai-service"
Private endpoint (oci generative ai service),"a private network path to the service, keeping traffic off the public internet","notes,oci-generative-ai-service"
Content moderation (oci generative ai service),service controls filtering harmful input and output,"notes,oci-generative-ai-service"
Service limit (oci generative ai service),"the per-tenancy, per-region quota governing resource consumption","notes,oci-generative-ai-service"
Reranking (building llm applications),"retrieve a wider set, then rerank with a more precise model and keep the best few","notes,building-llm-applications"
Metadata filtering (building llm applications),"constrain by tenant, date, document type, or access rights in the query, not after retrieval","notes,building-llm-applications"
Query rewriting (building llm applications),have the model rephrase the question into better search terms,"notes,building-llm-applications"
Faithfulness (building llm applications),is every claim supported by the retrieved context?,"notes,building-llm-applications"
Relevance (building llm applications),does the answer address the question?,"notes,building-llm-applications"
Correctness (building llm applications),against a reference answer where one exists,"notes,building-llm-applications"
Where it runs (building llm applications),"OCI Container Instances, OKE, or Functions for the application layer, calling the Generative AI service for inference","notes,building-llm-applications"
Observability (building llm applications),"trace each request end to end, logging the query, retrieved chunk IDs, prompt token count, model, latency, and cost. Retrieved chunk IDs are the single most useful thing to log, because most quality problems are retrieval problems","notes,building-llm-applications"
Caching (building llm applications),"cache embeddings for unchanged documents, and cache responses for repeated identical queries","notes,building-llm-applications"
Guardrails (building llm applications),"content moderation on input and output, and validation of any structured output before it reaches a downstream system","notes,building-llm-applications"
Re-indexing (building llm applications),"schedule it on document change, or the index silently goes stale","notes,building-llm-applications"
RAG (building llm applications),"retrieval-augmented generation, retrieving relevant text into the prompt before generating","notes,building-llm-applications"
Chunking (building llm applications),"splitting source documents into retrievable units, the largest lever on RAG quality","notes,building-llm-applications"
Chunk overlap (building llm applications),repeated text between adjacent chunks so boundary-straddling information is not lost,"notes,building-llm-applications"
Chunk metadata (building llm applications),"the source, section, and access attributes carried with each chunk, enabling citation and filtering","notes,building-llm-applications"
Top-K retrieval (building llm applications),returning the K most similar chunks for a query,"notes,building-llm-applications"
Hybrid search (building llm applications),combining semantic similarity with keyword matching to improve recall,"notes,building-llm-applications"
AI Vector Search (building llm applications),Oracle Autonomous Database's native vector column type and similarity search,"notes,building-llm-applications"
Retriever (building llm applications),the LangChain component returning relevant documents for a query,"notes,building-llm-applications"
Text splitter (building llm applications),the LangChain component implementing a chunking strategy,"notes,building-llm-applications"
Output parser (building llm applications),the component converting model text into validated structured data,"notes,building-llm-applications"
Conversation memory (building llm applications),"the mechanism carrying prior turns into the current request, and a major cost driver","notes,building-llm-applications"
Recall@K (building llm applications),the proportion of queries for which the correct source appeared in the top K results,"notes,building-llm-applications"
LLM-as-judge (building llm applications),"using a model to score outputs against criteria, itself requiring validation","notes,building-llm-applications"
