Question,Answer,Tags
Total 5-year TCO: $3.75M (cloud fundamentals),Savings: $1.2M (24% reduction) plus better agility and innovation,"notes,cloud-fundamentals"
Results (cloud fundamentals),Eliminated $200K/year Oracle licenses,"notes,cloud-fundamentals"
Costs (cloud fundamentals),"On-premises: $150K/year (servers, licenses, 1 FTE admin, storage)","notes,cloud-fundamentals"
Benefits (cloud fundamentals),Avoided migrating 90 applications ($500K migration savings),"notes,cloud-fundamentals"
Retained 30 applications (cloud fundamentals),15 with complex dependencies (tackle after gaining experience),"notes,cloud-fundamentals"
Additional Benefits (cloud fundamentals),No capacity constraints - can handle even higher unexpected peaks,"notes,cloud-fundamentals"
Build vs. Buy (cloud fundamentals),"On-premises: $5M upfront, 18+ months, requires specialized expertise","notes,cloud-fundamentals"
Cloud Advantages (cloud fundamentals),Time-to-market: 3-6 months vs. 18+ months,"notes,cloud-fundamentals"
Business Model Impact (cloud fundamentals),Faster launch = earlier revenue,"notes,cloud-fundamentals"
Multi-Cloud Benefits (cloud fundamentals),Avoid vendor lock-in,"notes,cloud-fundamentals"
Multi-Cloud Challenges (cloud fundamentals),"3x complexity in management, security, networking","notes,cloud-fundamentals"
Right Approach for Bank (cloud fundamentals),Primary cloud: Choose one provider for majority of workloads,"notes,cloud-fundamentals"
IaaS Approach (cloud fundamentals),More control and flexibility,"notes,cloud-fundamentals"
PaaS Approach (cloud fundamentals),"Higher abstraction, less control","notes,cloud-fundamentals"
Time to Market (cloud fundamentals),IaaS: 9 months to launch,"notes,cloud-fundamentals"
Centralized policy management (gcp overview),Cross-project resource sharing,"notes,gcp-overview"
