Question,Answer,Tags
How long is the FinOps Certified Analyst (FOCA) exam?,90 minutes,exam-logistics
How many questions are on the FinOps Certified Analyst (FOCA) exam?,60 multiple choice and multi-response,exam-logistics
What is the passing score for FinOps Certified Analyst (FOCA)?,75 percent,exam-logistics
What does the FinOps Certified Analyst (FOCA) exam cost?,325 USD (bundles with training discount),exam-logistics
How long is FinOps Certified Analyst (FOCA) valid for?,2 years,exam-logistics
How is the FinOps Certified Analyst (FOCA) exam delivered?,Online proctored via Linux Foundation portal,exam-logistics
FinOps Practitioner / Analyst (finops framework and personas),"day-to-day operator of the practice. Builds reports, runs allocation, drives optimization recommendations. Primary audience for FOCA.","notes,finops-framework-and-personas"
Engineering / DevOps / SRE (finops framework and personas),"owns architecture, rightsizing, and implementation of optimization.","notes,finops-framework-and-personas"
Finance (finops framework and personas),"owns budgeting, invoicing, accounting treatment of cloud (OpEx, COGS, capex for commitments).","notes,finops-framework-and-personas"
Procurement (finops framework and personas),"owns contracts, EDPs, MACC, private pricing.","notes,finops-framework-and-personas"
Leadership (finops framework and personas),"sponsors the practice, sets KPIs, removes blockers.","notes,finops-framework-and-personas"
Product (finops framework and personas),defines the business metrics that anchor unit economics.,"notes,finops-framework-and-personas"
ITAM / Software Asset Management (finops framework and personas),"licensing, BYOL, SaaS spend governance.","notes,finops-framework-and-personas"
Sustainability (finops framework and personas),emissions and GreenOps alignment.,"notes,finops-framework-and-personas"
Direct (cost allocation and tagging),bill it to the service that generated it (when identifiable),"notes,cost-allocation-and-tagging"
Proportional (cost allocation and tagging),split by direct spend share,"notes,cost-allocation-and-tagging"
Even (cost allocation and tagging),split equally across business units,"notes,cost-allocation-and-tagging"
Fixed (cost allocation and tagging),pre-negotiated percentages,"notes,cost-allocation-and-tagging"
Usage-based (cost allocation and tagging),"by a driver metric (requests, GB, cores)","notes,cost-allocation-and-tagging"
Allocation coverage (cost allocation and tagging),percent of spend mapped to a business owner,"notes,cost-allocation-and-tagging"
Tag coverage (cost allocation and tagging),percent of resources with all mandatory tags,"notes,cost-allocation-and-tagging"
Unallocated trend (cost allocation and tagging),absolute and relative over time,"notes,cost-allocation-and-tagging"
Allocation dispute rate (cost allocation and tagging),invoices disputed per month,"notes,cost-allocation-and-tagging"
Anomaly (anomaly detection and reporting),a statistically unusual deviation from expected cost or usage,"notes,anomaly-detection-and-reporting"
Variance (anomaly detection and reporting),"a difference between plan (budget, forecast) and actual, not necessarily unusual","notes,anomaly-detection-and-reporting"
Drift (anomaly detection and reporting),"a slow, cumulative change that would not trigger a daily anomaly but shifts the baseline","notes,anomaly-detection-and-reporting"
Incident (anomaly detection and reporting),an anomaly that warranted action (not every anomaly is an incident),"notes,anomaly-detection-and-reporting"
Z-score (anomaly detection and reporting),standard deviations from mean; assumes normality,"notes,anomaly-detection-and-reporting"
MAD (median absolute deviation) (anomaly detection and reporting),"robust to outliers and skew, preferred for spiky spend","notes,anomaly-detection-and-reporting"
Seasonal decomposition (anomaly detection and reporting),"separates trend, seasonality, residual; alert on residual","notes,anomaly-detection-and-reporting"
Period variance (anomaly detection and reporting),"this month vs last month, this week vs same week last year","notes,anomaly-detection-and-reporting"
Plan variance (anomaly detection and reporting),actual vs budget or forecast,"notes,anomaly-detection-and-reporting"
Run-rate variance (anomaly detection and reporting),annualized current burn vs target,"notes,anomaly-detection-and-reporting"
Showback (chargeback showback models),visibility of costs to business units without an actual financial transfer. Teams see what they spend; budgets and P&L do not move on that basis.,"notes,chargeback-showback-models"
Chargeback (chargeback showback models),"actual internal financial transfer. Business unit budget is debited, IT / platform budget is credited.","notes,chargeback-showback-models"
Hybrid (chargeback showback models),"showback for most cost, chargeback for a subset (for example, only production prod cost is charged back, dev is showback).","notes,chargeback-showback-models"
Pass-through (chargeback showback models),"exact cost, dollar for dollar","notes,chargeback-showback-models"
Pass-through plus overhead (chargeback showback models),cost plus a markup for platform and FinOps labor,"notes,chargeback-showback-models"
Fixed-rate (chargeback showback models),"pre-negotiated unit rates (for example, dollars per CPU-hour for a shared platform)","notes,chargeback-showback-models"
Blended (chargeback showback models),an averaged rate across a portfolio,"notes,chargeback-showback-models"
Allocation coverage (unit economics and kpis),allocated cost / total cost,"notes,unit-economics-and-kpis"
Tag coverage (unit economics and kpis),tagged resources / total resources,"notes,unit-economics-and-kpis"
Unallocated dollars trend (unit economics and kpis),absolute unallocated per month,"notes,unit-economics-and-kpis"
Commitment coverage (unit economics and kpis),eligible usage covered by commits / total eligible usage,"notes,unit-economics-and-kpis"
Commitment utilization (unit economics and kpis),commitment hours used / commitment hours purchased,"notes,unit-economics-and-kpis"
Effective Savings Rate (ESR) (unit economics and kpis),(ListCost - EffectiveCost) / ListCost,"notes,unit-economics-and-kpis"
Idle resource percent (unit economics and kpis),idle cost / total cost,"notes,unit-economics-and-kpis"
Storage efficiency (unit economics and kpis),"GB used / GB billed, or hot vs cold tier mix","notes,unit-economics-and-kpis"
Forecast accuracy (unit economics and kpis),1 - abs(actual - forecast) / actual,"notes,unit-economics-and-kpis"
Plan variance (unit economics and kpis),(actual - plan) / plan,"notes,unit-economics-and-kpis"
Budget burn rate (unit economics and kpis),"cumulative spend / days elapsed, annualized","notes,unit-economics-and-kpis"
MTTD for anomalies (unit economics and kpis),MTTR for anomalies,"notes,unit-economics-and-kpis"
Allocation dispute rate (unit economics and kpis),FinOps education reach: percent of engineers trained,"notes,unit-economics-and-kpis"
