Question,Answer,Tags
How long is the AWS Certified AI Practitioner exam?,90 minutes,exam-logistics
How many questions are on the AWS Certified AI Practitioner exam?,65 questions,exam-logistics
What is the passing score for AWS Certified AI Practitioner?,"700/1000 (scaled scoring, approximately 70%)",exam-logistics
What does the AWS Certified AI Practitioner exam cost?,$150 USD (50% discount for previous AWS certification holders),exam-logistics
How long is AWS Certified AI Practitioner valid for?,3 years,exam-logistics
How is the AWS Certified AI Practitioner exam delivered?,Pearson VUE (online proctored or testing center),exam-logistics
Accuracy (ai ml fundamentals),(TP + TN) / Total,"notes,ai-ml-fundamentals"
Precision (ai ml fundamentals),"TP / (TP + FP) - Of predicted positives, how many are correct?","notes,ai-ml-fundamentals"
Recall (Sensitivity) (ai ml fundamentals),"TP / (TP + FN) - Of actual positives, how many did we find?","notes,ai-ml-fundamentals"
F1 Score (ai ml fundamentals),2 × (Precision × Recall) / (Precision + Recall),"notes,ai-ml-fundamentals"
MAE (Mean Absolute Error) (ai ml fundamentals),Average absolute difference,"notes,ai-ml-fundamentals"
MSE (Mean Squared Error) (ai ml fundamentals),Average squared difference,"notes,ai-ml-fundamentals"
RMSE (Root Mean Squared Error) (ai ml fundamentals),Square root of MSE,"notes,ai-ml-fundamentals"
R² (R-squared) (ai ml fundamentals),Proportion of variance explained,"notes,ai-ml-fundamentals"
Sigmoid (ai ml fundamentals),1/(1+e^-x) - Binary classification,"notes,ai-ml-fundamentals"
Tanh (ai ml fundamentals),"Hyperbolic tangent - Range [-1, 1]","notes,ai-ml-fundamentals"
Softmax (ai ml fundamentals),Multi-class probabilities,"notes,ai-ml-fundamentals"
Gradient Descent (ai ml fundamentals),Move toward minimum loss,"notes,ai-ml-fundamentals"
Learning Rate (ai ml fundamentals),Step size for updates,"notes,ai-ml-fundamentals"
Batch Size (ai ml fundamentals),Samples per update,"notes,ai-ml-fundamentals"
Epochs (ai ml fundamentals),Complete passes through data,"notes,ai-ml-fundamentals"
Text (ai ml fundamentals),"GPT-4, Claude, PaLM, LLaMA","notes,ai-ml-fundamentals"
Vision (ai ml fundamentals),"CLIP, DALL-E, Stable Diffusion","notes,ai-ml-fundamentals"
