Question,Answer,Tags
How long is the Linux Foundation Certified System Administrator (LFCS) exam?,2 hours (120 minutes),exam-logistics
What is the passing score for Linux Foundation Certified System Administrator (LFCS)?,66%,exam-logistics
What does the Linux Foundation Certified System Administrator (LFCS) exam cost?,$395 USD (includes one free retake),exam-logistics
username (user group management),Login name (up to 32 characters),"notes,user-group-management"
UID (user group management),"User ID (0=root, 1-999=system, 1000+=regular users)","notes,user-group-management"
GID (user group management),Primary group ID,"notes,user-group-management"
comment (user group management),"GECOS field (full name, room, phone)","notes,user-group-management"
home_directory (user group management),User's home directory path,"notes,user-group-management"
shell (user group management),"Login shell (/bin/bash, /bin/sh, /usr/sbin/nologin)","notes,user-group-management"
$6$ (user group management),SHA-512 hashing algorithm,"notes,user-group-management"
$y$ (user group management),yescrypt (newer Ubuntu default),"notes,user-group-management"
last_change (user group management),"Days since Jan 1, 1970 when password was last changed","notes,user-group-management"
min (user group management),Minimum days between password changes,"notes,user-group-management"
max (user group management),Maximum days password is valid,"notes,user-group-management"
warn (user group management),Days before expiry to warn user,"notes,user-group-management"
inactive (user group management),Days after expiry before account is disabled,"notes,user-group-management"
expire (user group management),Date account expires (days since epoch),"notes,user-group-management"
members (user group management),Comma-separated list of supplementary group members,"notes,user-group-management"
auth (user group management),Authentication (verify identity),"notes,user-group-management"
account (user group management),"Account validation (expiration, access restrictions)","notes,user-group-management"
password (user group management),Password management (change password),"notes,user-group-management"
session (user group management),Session management (setup/teardown),"notes,user-group-management"
required (user group management),"Must succeed, but continue checking other modules","notes,user-group-management"
requisite (user group management),"Must succeed, fail immediately if not","notes,user-group-management"
sufficient (user group management),"If succeeds, no more modules checked (unless required fails)","notes,user-group-management"
optional (user group management),Only matters if it is the only module for this type,"notes,user-group-management"
include (user group management),Include rules from another PAM file,"notes,user-group-management"
systemd (running systems),Init system and service manager (PID 1),"notes,running-systems"
Unit (running systems),Basic object managed by systemd,"notes,running-systems"
Service (running systems),A process or group of processes,"notes,running-systems"
Target (running systems),Group of units (similar to runlevels),"notes,running-systems"
Timer (running systems),Schedule-based activation,"notes,running-systems"
Socket (running systems),IPC/network socket-based activation,"notes,running-systems"
MBR (storage services),"Legacy, max 2TB disk, 4 primary partitions","notes,storage-services"
GPT (storage services),"Modern, no practical size limit, 128 partitions","notes,storage-services"
