Question,Answer,Tags
How long is the CISSP - Certified Information Systems Security Professional exam?,3 hours,exam-logistics
How many questions are on the CISSP - Certified Information Systems Security Professional exam?,100 to 150,exam-logistics
What is the passing score for CISSP - Certified Information Systems Security Professional?,700 / 1000 (scaled),exam-logistics
What does the CISSP - Certified Information Systems Security Professional exam cost?,$749,exam-logistics
How long is CISSP - Certified Information Systems Security Professional valid for?,3 years,exam-logistics
How is the CISSP - Certified Information Systems Security Professional exam delivered?,Pearson VUE only,exam-logistics
Confidentiality (security and risk management),Information is not disclosed to unauthorized parties,"notes,security-and-risk-management"
Integrity (security and risk management),Information is not modified by unauthorized parties; data is accurate and complete,"notes,security-and-risk-management"
Availability (security and risk management),Information is accessible when needed by authorized parties,"notes,security-and-risk-management"
Disclosure (security and risk management),violation of confidentiality,"notes,security-and-risk-management"
Alteration (security and risk management),violation of integrity,"notes,security-and-risk-management"
Destruction/Denial (security and risk management),violation of availability,"notes,security-and-risk-management"
Identification (security and risk management),claim of identity,"notes,security-and-risk-management"
Authentication (security and risk management),proof of identity,"notes,security-and-risk-management"
Authorization (security and risk management),what the authenticated entity may do,"notes,security-and-risk-management"
Accountability (security and risk management),logging actions to identity (often paired with auditing),"notes,security-and-risk-management"
Authenticity (security and risk management),data is genuine,"notes,security-and-risk-management"
Non-repudiation (security and risk management),sender cannot deny sending,"notes,security-and-risk-management"
Privacy (security and risk management),PII handled per data subject expectations and law,"notes,security-and-risk-management"
Safety (security and risk management),protection of life and physical environment (always priority 1 in CISSP),"notes,security-and-risk-management"
Due diligence (security and risk management),"investigation, research, planning (continuous, prudent person standard)","notes,security-and-risk-management"
Due care (security and risk management),implementation of reasonable safeguards (carrying out the diligence),"notes,security-and-risk-management"
Threat (security and risk management),potential danger,"notes,security-and-risk-management"
Threat agent/actor (security and risk management),entity that exploits a vulnerability,"notes,security-and-risk-management"
Vulnerability (security and risk management),weakness exploitable by a threat,"notes,security-and-risk-management"
Risk (security and risk management),likelihood x impact of a threat exploiting a vulnerability,"notes,security-and-risk-management"
Exposure (security and risk management),condition of being at risk,"notes,security-and-risk-management"
HIPAA (security and risk management),"Health information (PHI), Privacy and Security Rules, BAA required for business associates","notes,security-and-risk-management"
HITECH (security and risk management),"Strengthens HIPAA enforcement, breach notification","notes,security-and-risk-management"
GLBA (security and risk management),"Financial institutions, Safeguards Rule, Privacy Rule, Pretexting Provisions","notes,security-and-risk-management"
SOX (security and risk management),"Public companies, financial controls (Sec 302, 404, 802)","notes,security-and-risk-management"
FISMA (security and risk management),"Federal agencies, NIST SP 800-53 controls","notes,security-and-risk-management"
FedRAMP (security and risk management),Cloud services to federal government,"notes,security-and-risk-management"
FERPA (security and risk management),Student education records,"notes,security-and-risk-management"
COPPA (security and risk management),Children online (under 13),"notes,security-and-risk-management"
CFAA (security and risk management),Computer Fraud and Abuse Act (criminal),"notes,security-and-risk-management"
ECPA (security and risk management),Electronic Communications Privacy Act,"notes,security-and-risk-management"
DMCA (security and risk management),Digital Millennium Copyright Act,"notes,security-and-risk-management"
PCI DSS (security and risk management),"Payment cards, contractual not legal, 12 requirements, 6 control objectives","notes,security-and-risk-management"
NIST CSF (security and risk management),"Voluntary framework, 6 functions: Govern, Identify, Protect, Detect, Respond, Recover (CSF 2.0)","notes,security-and-risk-management"
ISO 27001 (security and risk management),ISMS certification standard,"notes,security-and-risk-management"
SOC 1/2/3 (security and risk management),AICPA Service Organization Controls audits,"notes,security-and-risk-management"
Best evidence rule (security and risk management),Original preferred over copy,"notes,security-and-risk-management"
Hearsay rule (security and risk management),Out-of-court statements generally inadmissible (with exceptions like business records),"notes,security-and-risk-management"
Chain of custody (security and risk management),Documented handling from collection to court,"notes,security-and-risk-management"
Real evidence (security and risk management),Physical objects,"notes,security-and-risk-management"
Documentary (security and risk management),"Documents, records","notes,security-and-risk-management"
Testimonial (security and risk management),Witness statements,"notes,security-and-risk-management"
Demonstrative (security and risk management),"Visual aids (charts, models)","notes,security-and-risk-management"
MTBF (security and risk management),reliability of components,"notes,security-and-risk-management"
MTTR (security and risk management),time to repair/restore,"notes,security-and-risk-management"
Awareness (security and risk management),"what to do (posters, all-hands)","notes,security-and-risk-management"
