Question,Answer,Tags
How long is the Istio Certified Associate (ICA) exam?,90 minutes (some sources cite 120),exam-logistics
What is the passing score for Istio Certified Associate (ICA)?,75 percent,exam-logistics
What does the Istio Certified Associate (ICA) exam cost?,395 USD (often bundled with training discount),exam-logistics
How long is Istio Certified Associate (ICA) valid for?,2 years,exam-logistics
How is the Istio Certified Associate (ICA) exam delivered?,"Online proctored, browser-based terminal",exam-logistics
Pilot (istio architecture and control plane),configuration for proxies (Envoy xDS APIs),"notes,istio-architecture-and-control-plane"
Citadel (istio architecture and control plane),certificate authority and key management,"notes,istio-architecture-and-control-plane"
Galley (istio architecture and control plane),configuration ingestion and validation,"notes,istio-architecture-and-control-plane"
Ingress Gateway (istio architecture and control plane),a dedicated Envoy that handles north-south traffic into the mesh,"notes,istio-architecture-and-control-plane"
Egress Gateway (istio architecture and control plane),"a dedicated Envoy for traffic leaving the mesh, often for governance and monitoring","notes,istio-architecture-and-control-plane"
Automatic (istio architecture and control plane),namespace labeled istio-injection=enabled (or istio.io/rev=); a mutating admission webhook adds the sidecar at pod creation,"notes,istio-architecture-and-control-plane"
Manual (istio architecture and control plane),istioctl kube-inject adds sidecar to a manifest before apply,"notes,istio-architecture-and-control-plane"
ztunnel (istio architecture and control plane),"a per-node DaemonSet proxy that handles mTLS, identity, and L4 policy. Uses HBONE (HTTP-based overlay network) for encrypted L4 transport between nodes.","notes,istio-architecture-and-control-plane"
Waypoint proxy (istio architecture and control plane),"optional, deployed per service account or namespace, handles L7 features like advanced routing and AuthZ rules with HTTP semantics.","notes,istio-architecture-and-control-plane"
VirtualService (traffic management virtualservice destinationrule),defines routing rules (where requests for a host go),"notes,traffic-management-virtualservice-destinationrule"
DestinationRule (traffic management virtualservice destinationrule),"defines policies for traffic to a destination (subsets, load balancing, TLS, connection pool, outlier detection)","notes,traffic-management-virtualservice-destinationrule"
Gateway (traffic management virtualservice destinationrule),"configures an ingress or egress proxy (ports, hosts, TLS)","notes,traffic-management-virtualservice-destinationrule"
ServiceEntry (traffic management virtualservice destinationrule),registers external services in the mesh,"notes,traffic-management-virtualservice-destinationrule"
