Question,Answer,Tags
How long is the Cisco Certified Network Professional (CCNP) Enterprise - ENCOR 350-401 exam?,120 minutes,exam-logistics
What does the Cisco Certified Network Professional (CCNP) Enterprise - ENCOR 350-401 exam cost?,$400 USD,exam-logistics
How long is Cisco Certified Network Professional (CCNP) Enterprise - ENCOR 350-401 valid for?,3 years,exam-logistics
Three-tier model (architecture),"access, distribution, and core. Used in large campuses where core and distribution serve too many devices to collapse.","notes,architecture"
Two-tier (collapsed core) (architecture),distribution and core combined. Standard in small and medium campuses.,"notes,architecture"
Access layer (architecture),"end-device connectivity, port security, PoE, and VLAN assignment.","notes,architecture"
Distribution layer (architecture),"aggregation, routing between VLANs, policy enforcement, and route summarization.","notes,architecture"
Core layer (architecture),"high-speed transport between distribution blocks. Kept simple: no policy, no filtering.","notes,architecture"
Spine-leaf (architecture),"the data-center topology giving predictable any-to-any latency, with every leaf connected to every spine and no leaf-to-leaf links.","notes,architecture"
Redundancy (architecture),"hardware (supervisors, power), link (EtherChannel), and device (chassis pairs).","notes,architecture"
StackWise (architecture),stacking access switches so they behave as one logical device.,"notes,architecture"
VSS / StackWise Virtual (architecture),"two chassis operating as a single logical switch, removing the need for STP blocking on the uplinks and for a first-hop redundancy protocol.","notes,architecture"
Graceful Restart / Non-Stop Forwarding (NSF) (architecture),forwarding continues during a control-plane switchover.,"notes,architecture"
Stateful Switchover (SSO) (architecture),the standby supervisor keeps state so failover does not reset sessions.,"notes,architecture"
First-hop redundancy (architecture),"HSRP, VRRP, and GLBP, covered in the infrastructure note.","notes,architecture"
Process switching (architecture),each packet handled by the CPU. Slowest; used only where no faster path exists.,"notes,architecture"
CEF (Cisco Express Forwarding) (architecture),"the default. Builds a FIB (Forwarding Information Base) from the routing table and an adjacency table from ARP, so forwarding decisions require no per-packet CPU work.","notes,architecture"
FIB versus RIB (architecture),the RIB is the control-plane routing table; the FIB is the data-plane forwarding table derived from it.,"notes,architecture"
TCAM (architecture),"the hardware table matching ACLs, QoS, and forwarding entries at line rate.","notes,architecture"
"Control plane, data plane, management plane (architecture)","control builds the tables, data forwards traffic, management provides administrative access. This separation underpins SDN.","notes,architecture"
SDN (architecture),"separation of control plane from data plane, with centralized control.","notes,architecture"
Northbound API (architecture),"between the controller and applications, typically REST.","notes,architecture"
Southbound API (architecture),"between the controller and network devices: NETCONF, RESTCONF, OpenFlow, or vendor protocols.","notes,architecture"
Overlay and underlay (architecture),the underlay is the physical IP transport; the overlay is the virtual topology built on top with tunnels.,"notes,architecture"
Fabric (architecture),"the combination of underlay, overlay, and a control plane that maps endpoints.","notes,architecture"
SD-Access (architecture),"Cisco's campus fabric, managed by DNA Center (now Catalyst Center).","notes,architecture"
Control plane node (architecture),"runs LISP, maintaining the endpoint identity-to-location database.","notes,architecture"
Edge node (architecture),the access switch where endpoints connect.,"notes,architecture"
Border node (architecture),connects the fabric to external networks.,"notes,architecture"
Fabric components (architecture),"VXLAN for data-plane encapsulation, LISP for control plane, and Cisco TrustSec (SGTs) for policy.","notes,architecture"
Scalable Group Tag (SGT) (architecture),a policy tag carried with traffic so policy follows the user rather than the IP address.,"notes,architecture"
Catalyst Center / DNA Center (architecture),"automation, assurance, and policy management.","notes,architecture"
vManage (architecture),centralized management and configuration GUI.,"notes,architecture"
vSmart (architecture),"the control plane, distributing policy and routes using OMP.","notes,architecture"
vBond (architecture),"the orchestrator, performing authentication and NAT traversal to introduce devices to each other.","notes,architecture"
vEdge / cEdge (architecture),the data-plane routers at each site.,"notes,architecture"
OMP (Overlay Management Protocol) (architecture),"distributes routing, TLOC, and service information between vSmart and edge devices.","notes,architecture"
TLOC (Transport Locator) (architecture),identifies a WAN transport attachment point.,"notes,architecture"
Benefits (architecture),"transport independence, centralized policy, application-aware routing, and zero-touch provisioning.","notes,architecture"
Autonomous AP (architecture),"standalone, self-configured.","notes,architecture"
Lightweight AP with WLC (architecture),the AP tunnels traffic to a wireless LAN controller using CAPWAP.,"notes,architecture"
CAPWAP (architecture),control (UDP 5246) and data (UDP 5247) tunnels between AP and WLC.,"notes,architecture"
Local mode (architecture),"traffic tunnelled back to the WLC. Simple, but adds a hairpin.","notes,architecture"
FlexConnect (architecture),"traffic switched locally at the branch, control still centralized. The answer for branches with a slow WAN link.","notes,architecture"
Split MAC architecture (architecture),"real-time functions on the AP, management functions on the WLC.","notes,architecture"
AP modes (architecture),"local, FlexConnect, monitor, sniffer, rogue detector, bridge.","notes,architecture"
Classification and marking (architecture),"identify traffic and mark it, ideally as close to the source as possible.","notes,architecture"
DSCP (architecture),"6 bits in the IP header. Key values: EF (46) for voice, AF41 (34) for interactive video, CS6 (48) for network control, and DF (0) for best effort.","notes,architecture"
CoS (architecture),"3 bits in the 802.1Q header, Layer 2 only, so it is lost when the frame is routed.","notes,architecture"
Trust boundary (architecture),where markings from downstream devices are accepted. Untrusted markings should be rewritten at the access layer.,"notes,architecture"
Queuing (architecture),CBWFQ provides bandwidth guarantees; LLQ adds a strict priority queue for voice.,"notes,architecture"
Policing (architecture),"drops or re-marks traffic above a rate. Does not buffer, so it causes TCP retransmissions.","notes,architecture"
Shaping (architecture),"buffers traffic to a rate, smoothing bursts. Adds delay but avoids drops.","notes,architecture"
Hypervisor (virtualization),"type 1 runs on bare metal (ESXi, KVM); type 2 runs on a host OS.","notes,virtualization"
Virtual machine (virtualization),a full guest OS with its own kernel.,"notes,virtualization"
Container (virtualization),"shares the host kernel, isolated by namespaces and cgroups. Lighter and faster to start than a VM, with weaker isolation. See containers versus VMs.","notes,virtualization"
Virtual switching (virtualization),"vSwitch, distributed vSwitch, or Cisco Nexus 1000v, connecting VMs to the physical network.","notes,virtualization"
Virtual network functions (VNF) (virtualization),"routers, firewalls, and load balancers running as software, for example CSR 1000v and Cisco ISRv.","notes,virtualization"
Cisco ENCS / NFVIS (virtualization),the platform for hosting VNFs at branch sites.,"notes,virtualization"
VRF (Virtual Routing and Forwarding) (virtualization),"multiple independent routing tables on one device. Interfaces are assigned to a VRF, and routes in one VRF are invisible to another. Used for tenant separation and for keeping management traffic separate.","notes,virtualization"
VRF-lite (virtualization),"VRFs without MPLS, the common enterprise use.","notes,virtualization"
VDC (Virtual Device Context) (virtualization),Nexus feature partitioning one physical switch into multiple logical switches with separate configuration and processes.,"notes,virtualization"
StackWise Virtual / VSS (virtualization),the reverse: several physical switches presented as one logical device.,"notes,virtualization"
GRE (Generic Routing Encapsulation) (virtualization),"simple point-to-point tunnel, carries multicast and routing protocols, but provides no encryption. Protocol 47.","notes,virtualization"
IPsec (virtualization),"encryption, authentication, and integrity. Does not natively carry multicast or routing protocols, which is why it is often paired with GRE.","notes,virtualization"
GRE over IPsec (virtualization),"the standard combination: GRE carries the routing protocols and multicast, IPsec provides the encryption.","notes,virtualization"
DMVPN (Dynamic Multipoint VPN) (virtualization),"hub-and-spoke that builds dynamic spoke-to-spoke tunnels. Components: mGRE (multipoint GRE), NHRP (Next Hop Resolution Protocol, mapping tunnel addresses to physical addresses), and IPsec for protection.","notes,virtualization"
Phase 1 (virtualization),all traffic through the hub.,"notes,virtualization"
Phase 2 (virtualization),"dynamic spoke-to-spoke tunnels, spokes need full routing information.","notes,virtualization"
Phase 3 (virtualization),"hub sends NHRP redirects, allowing summarization at the hub while still building spoke-to-spoke tunnels.","notes,virtualization"
LISP (Locator/ID Separation Protocol) (virtualization),"separates *who* a device is (EID, endpoint identifier) from *where* it is (RLOC, routing locator). Components: map server, map resolver, ingress tunnel router (ITR), and egress tunnel router (ETR). Underpins SD-Access mobility.","notes,virtualization"
VXLAN (virtualization),"MAC-in-UDP encapsulation extending Layer 2 over a Layer 3 underlay. Uses a VNI (VXLAN Network Identifier) of 24 bits, giving about 16 million segments against VLAN's 4094. UDP port 4789. Endpoints are VTEPs (VXLAN tunnel endpoints).","notes,virtualization"
Underlay (virtualization),the physical routed network providing IP reachability between fabric nodes. Usually a simple IGP such as IS-IS or OSPF.,"notes,virtualization"
Overlay (virtualization),the virtual topology built with VXLAN tunnels.,"notes,virtualization"
Control plane for the overlay (virtualization),"LISP in SD-Access, BGP EVPN in data-center fabrics.","notes,virtualization"
Macro-segmentation (virtualization),"separation using virtual networks (VRFs), keeping whole groups apart.","notes,virtualization"
Micro-segmentation (virtualization),"separation within a virtual network using SGTs, controlling traffic between groups on the same subnet.","notes,virtualization"
VLAN (infrastructure),a logical broadcast domain.,"notes,infrastructure"
Trunking (802.1Q) (infrastructure),"carries multiple VLANs, tagging all but the native VLAN.","notes,infrastructure"
Native VLAN (infrastructure),untagged on a trunk. Mismatched native VLANs between switches cause traffic to cross VLAN boundaries and generate CDP errors.,"notes,infrastructure"
