Question,Answer,Tags
What does the Offensive Security Certified Professional (OSCP / PEN-200) exam cost?,"$1,599 USD (Learn One bundle: course, labs, exam, one retake)",exam-logistics
How long is Offensive Security Certified Professional (OSCP / PEN-200) valid for?,OSCP is lifetime. OSCP+ (introduced 2024) is renewable every 3 years.,exam-logistics
How is the Offensive Security Certified Professional (OSCP / PEN-200) exam delivered?,"Remote, OffSec proctoring (webcam, screen share, room scan)",exam-logistics
OSINT (information gathering enumeration),"gathering from public sources without touching the target: DNS records, certificate transparency logs, job postings, and code repositories.","notes,information-gathering-enumeration"
WHOIS and DNS records (information gathering enumeration),"registration data, name servers, and mail servers.","notes,information-gathering-enumeration"
Certificate transparency (information gathering enumeration),public CT logs frequently reveal subdomains that DNS enumeration misses.,"notes,information-gathering-enumeration"
Google dorking (information gathering enumeration),"targeted search operators (site:, filetype:, inurl:) to find exposed documents and directories.","notes,information-gathering-enumeration"
Host discovery (information gathering enumeration),"identifying live hosts in scope, typically with ICMP, ARP on a local segment, or TCP probes when ICMP is filtered.","notes,information-gathering-enumeration"
Port scanning (information gathering enumeration),identifying open TCP and UDP ports. Nmap is the standard tool.,"notes,information-gathering-enumeration"
Service and version detection (information gathering enumeration),"sV identifies the software and version behind a port, which is what drives the search for known vulnerabilities.","notes,information-gathering-enumeration"
OS detection (information gathering enumeration),"O, useful but frequently wrong; treat it as a hint.","notes,information-gathering-enumeration"
Default scripts (information gathering enumeration),sC runs the safe script category and often surfaces immediately useful detail.,"notes,information-gathering-enumeration"
Full port scan (information gathering enumeration),"scanning all 65535 TCP ports. Non-standard ports host the interesting services more often than not, and skipping the full scan is a common cause of a missed path.","notes,information-gathering-enumeration"
UDP scanning (information gathering enumeration),"slow and unreliable, but SNMP, TFTP, and DNS live there. Scan the common UDP ports at minimum.","notes,information-gathering-enumeration"
"HTTP/HTTPS (80, 443, 8080, 8443) (information gathering enumeration)","the richest attack surface. Enumerate directories and files, identify the application and its version, review page source and comments, check for default credentials, and examine any login or upload functionality.","notes,information-gathering-enumeration"
"SMB (139, 445) (information gathering enumeration)","enumerate shares, null sessions, users, and the SMB version. Misconfigured shares are a frequent entry point.","notes,information-gathering-enumeration"
FTP (21) (information gathering enumeration),"check for anonymous login, and whether the directory is writable and web-accessible.","notes,information-gathering-enumeration"
SSH (22) (information gathering enumeration),"version identification; rarely the entry point itself, but useful once you have credentials.","notes,information-gathering-enumeration"
SMTP (25) (information gathering enumeration),user enumeration via VRFY and RCPT TO on older configurations.,"notes,information-gathering-enumeration"
DNS (53) (information gathering enumeration),"attempt a zone transfer, which occasionally succeeds on lab targets.","notes,information-gathering-enumeration"
SNMP (161/UDP) (information gathering enumeration),"default community strings such as public can reveal running processes, installed software, users, and network configuration.","notes,information-gathering-enumeration"
"Databases (1433, 3306, 5432, 1521) (information gathering enumeration)","default or weak credentials, and version-specific weaknesses.","notes,information-gathering-enumeration"
RDP (3389) and WinRM (5985/5986) (information gathering enumeration),remote access once credentials are known.,"notes,information-gathering-enumeration"
