Question,Answer,Tags
How long is the AWS Certified Database - Specialty (DBS-C01) exam?,180 minutes,exam-logistics
How many questions are on the AWS Certified Database - Specialty (DBS-C01) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified Database - Specialty (DBS-C01)?,750/1000,exam-logistics
What does the AWS Certified Database - Specialty (DBS-C01) exam cost?,$300 USD,exam-logistics
How long is AWS Certified Database - Specialty (DBS-C01) valid for?,3 years,exam-logistics
Multi-AZ (database design),"Synchronous standby replica, automatic failover (< 60 sec)","notes,database-design"
Read Replicas (database design),"Asynchronous replication, can be cross-region","notes,database-design"
Storage Types (database design),"gp3 (general), io1/io2 (provisioned IOPS), magnetic (legacy)","notes,database-design"
Automated Backups (database design),"Point-in-time recovery, 0-35 day retention","notes,database-design"
Manual Snapshots (database design),"User-initiated, unlimited retention","notes,database-design"
RDS Proxy (database design),"Connection pooling, reduces failover time by 66%","notes,database-design"
"Tables, Items, Attributes (database design)",Schema-less except for primary key,"notes,database-design"
Primary Key (database design),Partition key (hash) or partition key + sort key (hash + range),"notes,database-design"
Secondary Indexes (database design),"GSI (any attribute as key, separate throughput) and LSI (same partition key, different sort key, created at table creation)","notes,database-design"
Capacity Modes (database design),On-demand (pay per request) or Provisioned (specify RCU/WCU),"notes,database-design"
DAX (DynamoDB Accelerator) (database design),"In-memory cache, microsecond reads","notes,database-design"
Global Tables (database design),"Multi-region, multi-active replication","notes,database-design"
Streams (database design),Ordered change data capture (24-hour retention),"notes,database-design"
TTL (database design),Automatic item expiration,"notes,database-design"
PartiQL (database design),SQL-compatible query language for DynamoDB,"notes,database-design"
Replication Instance (deployment migration),EC2 instance that runs migration tasks,"notes,deployment-migration"
Source Endpoint (deployment migration),Connection to source database,"notes,deployment-migration"
Target Endpoint (deployment migration),Connection to target database,"notes,deployment-migration"
Replication Task (deployment migration),Defines what to migrate and how,"notes,deployment-migration"
Instance sizing (deployment migration),Larger instance for more tables or higher throughput,"notes,deployment-migration"
Multi-AZ (deployment migration),Enable for production migrations (automatic failover),"notes,deployment-migration"
LOB handling (deployment migration),"Full LOB mode (slow, complete) vs Limited LOB mode (fast, truncated)","notes,deployment-migration"
Table mappings (deployment migration),"Selection rules (include/exclude) and transformation rules (rename, add column)","notes,deployment-migration"
