Question,Answer,Tags
How long is the CompTIA CySA+ (CS0-003) exam?,165 minutes,exam-logistics
How many questions are on the CompTIA CySA+ (CS0-003) exam?,Up to 85 (MCQ + performance-based),exam-logistics
What is the passing score for CompTIA CySA+ (CS0-003)?,750/900,exam-logistics
What does the CompTIA CySA+ (CS0-003) exam cost?,$404 USD,exam-logistics
How long is CompTIA CySA+ (CS0-003) valid for?,3 years,exam-logistics
How is the CompTIA CySA+ (CS0-003) exam delivered?,Pearson VUE (testing center or online proctored),exam-logistics
Attack surface (security operations),every point where an untrusted party can submit input or reach a service. Reducing it is cheaper than defending it.,"notes,security-operations"
Network segmentation (security operations),dividing a network so a compromise in one segment does not grant access to another. The single most effective containment control.,"notes,security-operations"
Zero trust (security operations),never trust based on network location alone; authenticate and authorize every request. See zero trust architecture.,"notes,security-operations"
Defense in depth (security operations),layered controls so no single failure is fatal.,"notes,security-operations"
Asset inventory (security operations),"the list of what you own. You cannot protect or prioritize what you do not know exists, which is why inventory underpins vulnerability management too.","notes,security-operations"
Federation (security operations),one identity provider vouches for a user across multiple services. Compromise of the IdP is compromise of everything downstream.,"notes,security-operations"
Single sign-on (SSO) (security operations),one authentication event grants access to many systems.,"notes,security-operations"
Privileged access management (PAM) (security operations),"controlled checkout, monitoring, and rotation of admin credentials.","notes,security-operations"
Multifactor authentication (MFA) (security operations),"two or more of something you know, have, or are. MFA-fatigue push spam is a tested attack.","notes,security-operations"
Log aggregation (security operations),centralizing logs so an attacker who wipes a host cannot erase the evidence.,"notes,security-operations"
Time synchronization (security operations),"NTP across all sources. Without it, correlating events across systems is guesswork.","notes,security-operations"
Log retention (security operations),"how long you keep data. Incidents are frequently discovered months after initial compromise, so short retention destroys the investigation.","notes,security-operations"
Bandwidth consumption (security operations),"unexpected volume, especially outbound, suggests exfiltration.","notes,security-operations"
Beaconing (security operations),"regular, periodic callbacks to an external host. A hallmark of command and control.","notes,security-operations"
Irregular peer-to-peer communication (security operations),"internal hosts talking directly to each other in patterns they normally do not, suggesting lateral movement.","notes,security-operations"
Rogue devices (security operations),unknown hardware on the network.,"notes,security-operations"
Scans and sweeps (security operations),one host touching many addresses or many ports; reconnaissance.,"notes,security-operations"
Common protocol over non-standard port (security operations),"HTTP on 8443, SSH on 443. Usually evasion.","notes,security-operations"
Processor consumption (security operations),sustained spikes may indicate cryptomining.,"notes,security-operations"
Memory consumption and unauthorized processes (security operations),"unfamiliar binaries, or familiar names in wrong locations.","notes,security-operations"
Data exfiltration (security operations),"large archives staged before transfer, often compressed and encrypted.","notes,security-operations"
Abnormal OS process behavior (security operations),"a process spawning an unexpected child, for example a document application launching a shell. Very high signal.","notes,security-operations"
File system changes (security operations),"new executables in temp directories, modified system binaries.","notes,security-operations"
Registry changes and unauthorized scheduled tasks (security operations),classic persistence.,"notes,security-operations"
Anomalous activity and introduction of new accounts (security operations),especially privileged ones created outside change control.,"notes,security-operations"
Unexpected output or outages (security operations),can indicate injection or tampering.,"notes,security-operations"
Service interruption (security operations),"may be the attack, or the cover for it.","notes,security-operations"
SIEM (Security Information and Event Management) (security operations),"collects, correlates, and alerts on log data from many sources.","notes,security-operations"
"SOAR (Security Orchestration, Automation, and Response) (security operations)","automates repeatable response actions, reducing analyst toil.","notes,security-operations"
EDR (Endpoint Detection and Response) (security operations),agent-based telemetry and response on hosts.,"notes,security-operations"
Sandboxing (security operations),executing suspect code in an isolated environment to observe behavior.,"notes,security-operations"
"DKIM, SPF, and DMARC (security operations)","email authentication mechanisms. SPF authorizes sending IPs, DKIM signs the message, DMARC ties them together and states a policy.","notes,security-operations"
MITRE ATT&CK (security operations),"a matrix of adversary tactics (the why) and techniques (the how), based on real-world observation. The most commonly referenced framework, and the one to know in most detail.","notes,security-operations"
Cyber Kill Chain (security operations),"Lockheed Martin's linear model: reconnaissance, weaponization, delivery, exploitation, installation, command and control, actions on objectives.","notes,security-operations"
Diamond Model of Intrusion Analysis (security operations),"relates adversary, capability, infrastructure, and victim. Useful for attribution reasoning.","notes,security-operations"
OWASP Top 10 (security operations),the most common web application security risks.,"notes,security-operations"
Threat intelligence (security operations),"evidence-based knowledge about existing or emerging threats, used to inform decisions.","notes,security-operations"
Indicator of compromise (IoC) (security operations),"an artifact observed that suggests an intrusion: a hash, an IP, a domain, a registry key.","notes,security-operations"
"Tactics, techniques, and procedures (TTPs) (security operations)","the behavioral patterns of an adversary. Harder for an attacker to change than an IoC, so more durable for detection.","notes,security-operations"
Threat hunting (security operations),"proactively searching for threats that existing detection has missed, starting from a hypothesis rather than an alert.","notes,security-operations"
Confidence levels (security operations),intelligence is graded on source reliability and information credibility. Acting on low-confidence intelligence generates false positives.,"notes,security-operations"
Open-source intelligence (OSINT) (security operations),intelligence gathered from publicly available sources.,"notes,security-operations"
Information sharing and analysis centers (ISACs) (security operations),sector-specific bodies for sharing threat data.,"notes,security-operations"
Standardization of processes (security operations),"documented, repeatable procedures so outcomes do not depend on which analyst is on shift.","notes,security-operations"
Streamlining operations (security operations),"automating repetitive tasks, typically enrichment and triage, so analysts spend time on judgment.","notes,security-operations"
Technology and tool integration (security operations),"APIs and webhooks connecting SIEM, ticketing, and EDR so context follows the case.","notes,security-operations"
Single pane of glass (security operations),one console presenting data from many tools. Reduces context switching and missed signals.,"notes,security-operations"
Asset discovery (vulnerability management),finding what is on the network before scanning it. Scanning only known assets guarantees blind spots.,"notes,vulnerability-management"
Credentialed scan (vulnerability management),"the scanner authenticates to the target. Far more accurate, sees installed patch levels and configuration, produces fewer false positives.","notes,vulnerability-management"
Non-credentialed scan (vulnerability management),"no authentication. Sees only what an unauthenticated attacker sees. Faster and less intrusive, but shallow.","notes,vulnerability-management"
Agent-based scanning (vulnerability management),software on the host reports continuously. Good for laptops that are rarely on the corporate network.,"notes,vulnerability-management"
Agentless scanning (vulnerability management),"the scanner reaches out over the network. No software to deploy, but requires network reachability and credentials.","notes,vulnerability-management"
Active scanning (vulnerability management),sends traffic to the target. Accurate but can disrupt fragile systems.,"notes,vulnerability-management"
Passive scanning (vulnerability management),"observes existing traffic. Zero impact, but incomplete.","notes,vulnerability-management"
Static analysis (SAST) (vulnerability management),examining source code without running it.,"notes,vulnerability-management"
Dynamic analysis (DAST) (vulnerability management),testing a running application.,"notes,vulnerability-management"
Interactive application security testing (IAST) (vulnerability management),"instrumentation inside the running app, combining both views.","notes,vulnerability-management"
Software composition analysis (SCA) (vulnerability management),identifying third-party and open-source components and their known vulnerabilities.,"notes,vulnerability-management"
Scanning sensitivity levels (vulnerability management),how aggressive the checks are. High sensitivity risks disrupting operational technology.,"notes,vulnerability-management"
Segmentation (vulnerability management),"a scanner cannot see across a segment it cannot route to, so segmented networks need distributed scanners.","notes,vulnerability-management"
Operational technology (OT) and ICS/SCADA (vulnerability management),often intolerant of active scanning. Passive methods are usually mandated.,"notes,vulnerability-management"
Regulatory requirements (vulnerability management),PCI DSS mandates quarterly scans plus scans after significant change.,"notes,vulnerability-management"
False positive (vulnerability management),reported but not actually present. Wastes remediation effort and erodes trust in the tool.,"notes,vulnerability-management"
False negative (vulnerability management),"present but not reported. More dangerous, because it creates false assurance.","notes,vulnerability-management"
True positive (vulnerability management),correctly identified real vulnerability.,"notes,vulnerability-management"
Validation (vulnerability management),"confirming a finding is real, by manual testing or a second tool, before escalating it.","notes,vulnerability-management"
CVE (Common Vulnerabilities and Exposures) (vulnerability management),the unique identifier for a publicly known vulnerability.,"notes,vulnerability-management"
CWE (Common Weakness Enumeration) (vulnerability management),"the class of software weakness underlying the vulnerability, for example CWE-79 for cross-site scripting.","notes,vulnerability-management"
CPE (Common Platform Enumeration) (vulnerability management),"a standard naming scheme for products, used to match assets to vulnerabilities.","notes,vulnerability-management"
Base score (vulnerability management),"intrinsic severity of the vulnerability, unchanging.","notes,vulnerability-management"
Temporal score (vulnerability management),adjusts for exploit maturity and remediation availability over time.,"notes,vulnerability-management"
Environmental score (vulnerability management),adjusts for how much the affected asset matters in *your* environment.,"notes,vulnerability-management"
Exploitability and weaponization (vulnerability management),is there a working public exploit? Is it in active use? Sources such as CISA's Known Exploited Vulnerabilities catalog answer this.,"notes,vulnerability-management"
Asset value and criticality (vulnerability management),what the system does for the business.,"notes,vulnerability-management"
Exposure (vulnerability management),internet-facing versus internal only.,"notes,vulnerability-management"
Zero-day (vulnerability management),a vulnerability with no vendor patch available. Requires compensating controls rather than patching.,"notes,vulnerability-management"
Patching (vulnerability management),"the definitive fix, subject to testing and change control.","notes,vulnerability-management"
Configuration management (vulnerability management),"hardening settings, often to a benchmark such as CIS.","notes,vulnerability-management"
Compensating control (vulnerability management),"an alternative measure when the primary fix cannot be applied, for example a WAF rule in front of an unpatchable application.","notes,vulnerability-management"
Risk acceptance (vulnerability management),"a documented decision to live with a risk, owned by someone with authority to accept it.","notes,vulnerability-management"
"Isolation, segmentation, and removal (vulnerability management)",reduce or eliminate exposure when patching is impossible.,"notes,vulnerability-management"
Insurance (vulnerability management),"transfers financial impact, not the risk itself.","notes,vulnerability-management"
"Injection (SQL, command, LDAP) (vulnerability management)",untrusted input interpreted as code. Fix with parameterized queries and input validation.,"notes,vulnerability-management"
Cross-site scripting (XSS) (vulnerability management),"attacker script executes in another user's browser. Reflected, stored, and DOM-based variants.","notes,vulnerability-management"
Cross-site request forgery (CSRF) (vulnerability management),a victim's browser is tricked into submitting an authenticated request. Fix with anti-CSRF tokens.,"notes,vulnerability-management"
Server-side request forgery (SSRF) (vulnerability management),"the server is tricked into making requests on the attacker's behalf, often to reach cloud metadata endpoints.","notes,vulnerability-management"
Insecure direct object reference (IDOR) (vulnerability management),access control missing on an object identifier.,"notes,vulnerability-management"
Privilege escalation (vulnerability management),"moving from lower to higher rights, vertically or horizontally.","notes,vulnerability-management"
Race condition and TOCTOU (vulnerability management),"a check and its use are separated in time, and state changes in between.","notes,vulnerability-management"
Buffer overflow (vulnerability management),writing past an allocation boundary to corrupt memory.,"notes,vulnerability-management"
Broken authentication and session hijacking (vulnerability management),stolen or predictable session identifiers.,"notes,vulnerability-management"
Supply chain vulnerability (vulnerability management),a compromised dependency or vendor component.,"notes,vulnerability-management"
Rescanning (vulnerability management),the primary proof that remediation worked.,"notes,vulnerability-management"
Audit and verification (vulnerability management),"independent confirmation, sometimes required by regulation.","notes,vulnerability-management"
Remediation SLAs (vulnerability management),agreed timelines by severity. The metric that shows whether the program is functioning.,"notes,vulnerability-management"
Maintenance windows (vulnerability management),agreed periods for disruptive changes.,"notes,vulnerability-management"
Inhibitors to remediation (vulnerability management),"MOUs, SLAs, business process interruption, degrading functionality, legacy and proprietary systems. The exam expects you to recognize these as legitimate constraints rather than excuses.","notes,vulnerability-management"
Incident response plan (incident response),"the governing document: authority, escalation, and decision rights.","notes,incident-response"
Playbook (incident response),"the step-by-step procedure for a specific incident type, for example ransomware or business email compromise.","notes,incident-response"
Communication plan (incident response),"who is told what, when, and by whom. Includes out-of-band channels, because the attacker may be reading corporate email.","notes,incident-response"
Tabletop exercise (incident response),"a discussion-based walkthrough of a scenario. Cheap, finds gaps in process rather than technology.","notes,incident-response"
Baseline (incident response),"a known-good picture of normal. Without it, ""abnormal"" is not measurable.","notes,incident-response"
Business continuity plan (BCP) (incident response),keeping the business running during disruption.,"notes,incident-response"
Disaster recovery plan (DRP) (incident response),restoring IT systems after a disruptive event.,"notes,incident-response"
Incident (incident response),"an event that actually or potentially jeopardizes confidentiality, integrity, or availability.","notes,incident-response"
Event (incident response),any observable occurrence. Most events are not incidents.,"notes,incident-response"
True positive versus false positive (incident response),triage exists to separate them before mobilizing a response.,"notes,incident-response"
Severity and prioritization (incident response),"based on functional impact, information impact, and recoverability effort.","notes,incident-response"
Scoping (incident response),determining how many systems and accounts are affected. Under-scoping causes premature eradication and reinfection.,"notes,incident-response"
Organization impact versus localized impact (incident response),one workstation or the whole estate.,"notes,incident-response"
Immediate versus total impact (incident response),what is happening now against the eventual cost.,"notes,incident-response"
Data integrity (incident response),whether data can still be trusted.,"notes,incident-response"
Economic and reputational impact (incident response),"fines, downtime cost, customer trust.","notes,incident-response"
Short-term containment (incident response),"stop the bleeding now: isolate a host, block an IP, disable an account.","notes,incident-response"
Long-term containment (incident response),temporary fixes that let the business operate while eradication is prepared.,"notes,incident-response"
Isolation (incident response),removing the system from the network while preserving it for analysis.,"notes,incident-response"
Segmentation (incident response),restricting movement rather than fully removing the asset.,"notes,incident-response"
Removal (incident response),taking the asset out of service entirely.,"notes,incident-response"
Eradication (incident response),"removing the cause: malware, attacker accounts, persistence mechanisms, and the vulnerability used for entry.","notes,incident-response"
Recovery (incident response),restoring systems to normal operation and confirming they are clean.,"notes,incident-response"
Reimaging (incident response),rebuilding from a known-good image. The reliable answer when the extent of compromise is uncertain.,"notes,incident-response"
Patching and hardening (incident response),closing the entry route so the same intrusion does not simply recur.,"notes,incident-response"
Validation (incident response),"scanning, verifying logging is restored, and monitoring closely after return to service.","notes,incident-response"
Chain of custody (incident response),"documented record of who handled evidence, when, and why. Break it and the evidence may be inadmissible.","notes,incident-response"
Order of volatility (incident response),"collect the most perishable first: CPU registers and cache, memory, network state and running processes, disk, remote logs, then archival media.","notes,incident-response"
Forensic image (incident response),"a bit-for-bit copy. Analyze the copy, never the original.","notes,incident-response"
Write blocker (incident response),hardware or software preventing modification of the source during acquisition.,"notes,incident-response"
