Question,Answer,Tags
How long is the Microsoft Power Platform Functional Consultant Associate (PL-200) exam?,120 minutes,exam-logistics
How many questions are on the Microsoft Power Platform Functional Consultant Associate (PL-200) exam?,40-60 questions,exam-logistics
What is the passing score for Microsoft Power Platform Functional Consultant Associate (PL-200)?,700/1000,exam-logistics
What does the Microsoft Power Platform Functional Consultant Associate (PL-200) exam cost?,$165 USD,exam-logistics
Tables (dataverse model driven apps),Data structures (like database tables),"notes,dataverse-model-driven-apps"
Columns (dataverse model driven apps),Fields in tables,"notes,dataverse-model-driven-apps"
Relationships (dataverse model driven apps),Links between tables,"notes,dataverse-model-driven-apps"
Business Rules (dataverse model driven apps),Logic and validation,"notes,dataverse-model-driven-apps"
Standard (dataverse model driven apps),"Full features, ownership","notes,dataverse-model-driven-apps"
Activity (dataverse model driven apps),Time-based activities,"notes,dataverse-model-driven-apps"
Virtual (dataverse model driven apps),External data source,"notes,dataverse-model-driven-apps"
User Local (dataverse model driven apps),Timezone conversion,"notes,dataverse-model-driven-apps"
Date Only (dataverse model driven apps),No time component,"notes,dataverse-model-driven-apps"
Cascade All (dataverse model driven apps),Apply to all related,"notes,dataverse-model-driven-apps"
Cascade Active (dataverse model driven apps),Apply to active related,"notes,dataverse-model-driven-apps"
Cascade User-Owned (dataverse model driven apps),Apply if same owner,"notes,dataverse-model-driven-apps"
Remove Link (dataverse model driven apps),"Remove relationship, keep records","notes,dataverse-model-driven-apps"
Restrict (dataverse model driven apps),Prevent if related exist,"notes,dataverse-model-driven-apps"
Dashboard (dataverse model driven apps),Dashboard display,"notes,dataverse-model-driven-apps"
Web Resource (dataverse model driven apps),"HTML, JavaScript","notes,dataverse-model-driven-apps"
Column (dataverse model driven apps),Compare categories,"notes,dataverse-model-driven-apps"
Bar (dataverse model driven apps),Horizontal comparison,"notes,dataverse-model-driven-apps"
Line (dataverse model driven apps),Trends over time,"notes,dataverse-model-driven-apps"
Funnel (dataverse model driven apps),Progressive reduction,"notes,dataverse-model-driven-apps"
Area (dataverse model driven apps),Cumulative trends,"notes,dataverse-model-driven-apps"
Doughnut (dataverse model driven apps),Proportions with total,"notes,dataverse-model-driven-apps"
Actions (power platform functional consultant),Set field value,"notes,power-platform-functional-consultant"
Published (power platform solutions security),Required components,"notes,power-platform-solutions-security"
Unpublished (power platform solutions security),Current draft dependencies,"notes,power-platform-solutions-security"
Internal (power platform solutions security),Within solution,"notes,power-platform-solutions-security"
External (power platform solutions security),Other solutions/system,"notes,power-platform-solutions-security"
Create (power platform solutions security),Create new records,"notes,power-platform-solutions-security"
Append (power platform solutions security),Add related records,"notes,power-platform-solutions-security"
Co-Owner (power platform solutions security),"Edit app, share with others","notes,power-platform-solutions-security"
