Question,Answer,Tags
How long is the NVIDIA Certified Professional - AI Infrastructure (NCP-AII) exam?,120 minutes,exam-logistics
How many questions are on the NVIDIA Certified Professional - AI Infrastructure (NCP-AII) exam?,60-70 questions,exam-logistics
What is the passing score for NVIDIA Certified Professional - AI Infrastructure (NCP-AII)?,Not officially published,exam-logistics
What does the NVIDIA Certified Professional - AI Infrastructure (NCP-AII) exam cost?,$200 USD,exam-logistics
How long is NVIDIA Certified Professional - AI Infrastructure (NCP-AII) valid for?,2 years,exam-logistics
Inference serving (dgx systems),Multiple small models on one GPU,"notes,dgx-systems"
Multi-tenancy (dgx systems),Isolated GPU resources per tenant,"notes,dgx-systems"
Development (dgx systems),Share expensive GPUs among developers,"notes,dgx-systems"
CI/CD (dgx systems),GPU testing pipelines with resource isolation,"notes,dgx-systems"
Prefetching (gpu clusters),Load next batch while GPU processes current,"notes,gpu-clusters"
Multiple data workers (gpu clusters),Parallel data loading processes,"notes,gpu-clusters"
Data format (gpu clusters),"Use efficient formats (TFRecord, WebDataset)","notes,gpu-clusters"
Caching (gpu clusters),Cache preprocessed data on local NVMe,"notes,gpu-clusters"
Compression (gpu clusters),Reduce storage I/O with compressed datasets,"notes,gpu-clusters"
slurmctld (job scheduling),Central controller daemon,"notes,job-scheduling"
slurmd (job scheduling),Compute node daemon,"notes,job-scheduling"
slurmdbd (job scheduling),Database daemon for accounting,"notes,job-scheduling"
sbatch (job scheduling),Submit batch jobs,"notes,job-scheduling"
srun (job scheduling),Run interactive/parallel jobs,"notes,job-scheduling"
sacct (job scheduling),View job accounting,"notes,job-scheduling"
Low GPU utilization (job scheduling),"Increase batch size, check data loading","notes,job-scheduling"
GPU memory underutilized (job scheduling),Increase batch size or model size,"notes,job-scheduling"
CPU bottleneck (job scheduling),"More data workers, preprocess data offline","notes,job-scheduling"
Network bottleneck (job scheduling),"Optimize collective operations, check NCCL config","notes,job-scheduling"
I/O bottleneck (job scheduling),"Stage data to local NVMe, use parallel FS","notes,job-scheduling"
GPU Utilization (performance tuning),Percentage of time SMs are active,"notes,performance-tuning"
Memory Utilization (performance tuning),Percentage of GPU memory in use,"notes,performance-tuning"
Power Draw (performance tuning),Current power consumption in watts,"notes,performance-tuning"
Temperature (performance tuning),GPU die temperature in Celsius,"notes,performance-tuning"
Clock Speeds (performance tuning),Current SM and memory clock frequencies,"notes,performance-tuning"
ECC Errors (performance tuning),Single-bit (correctable) and double-bit (uncorrectable) errors,"notes,performance-tuning"
NVLink Throughput (performance tuning),Bandwidth utilization per NVLink connection,"notes,performance-tuning"
PCIe Throughput (performance tuning),Bandwidth utilization on PCIe bus,"notes,performance-tuning"
Prefetching (performance tuning),Overlap data loading with GPU computation,"notes,performance-tuning"
Multi-worker loading (performance tuning),Parallel data reader processes,"notes,performance-tuning"
Data format (performance tuning),"Use efficient formats (WebDataset, LMDB, TFRecord)","notes,performance-tuning"
Local caching (performance tuning),Stage hot data on NVMe SSDs,"notes,performance-tuning"
GPUDirect Storage (performance tuning),Bypass CPU for storage-to-GPU path,"notes,performance-tuning"
MLPerf Training (performance tuning),Industry standard for training performance,"notes,performance-tuning"
MLPerf Inference (performance tuning),Industry standard for inference throughput,"notes,performance-tuning"
nccl-tests (performance tuning),Network collective operation benchmarks,"notes,performance-tuning"
FIO (performance tuning),Storage I/O benchmarks,"notes,performance-tuning"
IOR (performance tuning),Parallel file system benchmarks,"notes,performance-tuning"
