Question,Answer,Tags
How long is the Microsoft Azure Administrator (AZ-104) exam?,120 minutes (2 hours),exam-logistics
How many questions are on the Microsoft Azure Administrator (AZ-104) exam?,40-60 questions,exam-logistics
What is the passing score for Microsoft Azure Administrator (AZ-104)?,700/1000,exam-logistics
What does the Microsoft Azure Administrator (AZ-104) exam cost?,$165 USD,exam-logistics
How long is Microsoft Azure Administrator (AZ-104) valid for?,1 year (annual renewal required),exam-logistics
How is the Microsoft Azure Administrator (AZ-104) exam delivered?,Pearson VUE,exam-logistics
Fault Domains (FD) (compute virtual machines),Separate power and network (max 3),"notes,compute-virtual-machines"
Update Domains (UD) (compute virtual machines),Separate update groups (max 20),"notes,compute-virtual-machines"
Free (F1) (compute virtual machines),"Shared compute, 1 GB RAM, 1 GB storage","notes,compute-virtual-machines"
Shared (D1) (compute virtual machines),"Shared compute, custom domains","notes,compute-virtual-machines"
Basic (B1-B3) (compute virtual machines),"Dedicated compute, manual scale","notes,compute-virtual-machines"
Standard (S1-S3) (compute virtual machines),"Auto-scale, staging slots","notes,compute-virtual-machines"
Premium (P1v3-P3v3) (compute virtual machines),"Enhanced performance, more instances","notes,compute-virtual-machines"
PremiumV2 (P1v2-P3v2) (compute virtual machines),Previous generation,"notes,compute-virtual-machines"
Isolated (I1v2-I3v2) (compute virtual machines),Dedicated environment (App Service Environment),"notes,compute-virtual-machines"
Deployment Slots (compute virtual machines),Standard and above,"notes,compute-virtual-machines"
Auto-scale (compute virtual machines),Standard and above,"notes,compute-virtual-machines"
Custom Domains/SSL (compute virtual machines),Basic and above,"notes,compute-virtual-machines"
VNet Integration (compute virtual machines),Premium and above,"notes,compute-virtual-machines"
SKUs (compute virtual machines),"Basic, Standard, Premium","notes,compute-virtual-machines"
kubenet (compute virtual machines),"Basic networking, default","notes,compute-virtual-machines"
Azure CNI (compute virtual machines),"Advanced networking, VNet integration","notes,compute-virtual-machines"
Incremental (compute virtual machines),"Add resources, keep existing","notes,compute-virtual-machines"
Complete (compute virtual machines),Delete resources not in template,"notes,compute-virtual-machines"
Custom Script Extension (compute virtual machines),Run scripts during/after deployment,"notes,compute-virtual-machines"
Azure Monitor Agent (compute virtual machines),Monitoring and diagnostics,"notes,compute-virtual-machines"
Azure Disk Encryption (compute virtual machines),Encrypt OS and data disks,"notes,compute-virtual-machines"
Desired State Configuration (DSC) (compute virtual machines),Configuration management,"notes,compute-virtual-machines"
Network Watcher (compute virtual machines),Network monitoring and diagnostics,"notes,compute-virtual-machines"
High availability within datacenter (compute virtual machines),Availability Set,"notes,compute-virtual-machines"
High availability across datacenters (compute virtual machines),Availability Zones,"notes,compute-virtual-machines"
Auto-scaling web app (compute virtual machines),VMSS or App Service,"notes,compute-virtual-machines"
Zero downtime deployment (compute virtual machines),App Service deployment slots,"notes,compute-virtual-machines"
Run containers without management (compute virtual machines),Azure Container Instances,"notes,compute-virtual-machines"
Temporary storage (compute virtual machines),Use temp disk (D: or /dev/sdb),"notes,compute-virtual-machines"
Persistent storage (compute virtual machines),Managed disks (data disks),"notes,compute-virtual-machines"
Best performance disk (compute virtual machines),Ultra Disk or Premium SSD v2,"notes,compute-virtual-machines"
Stop vs Deallocate (compute virtual machines),"Stop keeps reservation (still charged), Deallocate releases resources (no compute charge)","notes,compute-virtual-machines"
Availability Set vs Zone (compute virtual machines),"Set = within datacenter, Zone = across datacenters","notes,compute-virtual-machines"
Managed vs Unmanaged Disks (compute virtual machines),"Always use Managed (easier management, better reliability)","notes,compute-virtual-machines"
App Service vs VM (compute virtual machines),"App Service = PaaS (less management), VM = IaaS (more control)","notes,compute-virtual-machines"
ACI vs AKS (compute virtual machines),"ACI = simple containers, AKS = orchestration at scale","notes,compute-virtual-machines"
Duration (exam tips),180 minutes (3 hours),"notes,exam-tips"
Format (exam tips),"Multiple choice, multiple select, drag-drop, hot area, case studies, labs","notes,exam-tips"
Metrics (monitoring backup),Numerical time-series data,"notes,monitoring-backup"
Logs (monitoring backup),Text-based records,"notes,monitoring-backup"
Alerts (monitoring backup),Notifications based on conditions,"notes,monitoring-backup"
Dashboards (monitoring backup),Visual representation,"notes,monitoring-backup"
Workbooks (monitoring backup),Interactive reports,"notes,monitoring-backup"
Azure Monitor Agent (AMA) (monitoring backup),"New, recommended","notes,monitoring-backup"
