Question,Answer,Tags
What does the IBM Cloud Advocate exam cost?,Pay for worker nodes,exam-logistics
On-demand self-service (cloud fundamentals and ibm cloud overview),Provision resources without human interaction,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Broad network access (cloud fundamentals and ibm cloud overview),Available over the network via standard mechanisms,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Resource pooling (cloud fundamentals and ibm cloud overview),Multi-tenant model with dynamic assignment,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Rapid elasticity (cloud fundamentals and ibm cloud overview),Scale resources up or down quickly,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Measured service (cloud fundamentals and ibm cloud overview),Pay only for what you use,"notes,cloud-fundamentals-and-ibm-cloud-overview"
IBM Cloud Examples (cloud fundamentals and ibm cloud overview),"Virtual Servers, Bare Metal Servers, VPC Infrastructure","notes,cloud-fundamentals-and-ibm-cloud-overview"
Benefits (cloud fundamentals and ibm cloud overview),"Lower costs, no maintenance, high scalability","notes,cloud-fundamentals-and-ibm-cloud-overview"
Regions (cloud fundamentals and ibm cloud overview),Geographic areas containing multiple data centers,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Availability Zones (AZs) (cloud fundamentals and ibm cloud overview),Isolated locations within regions,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Data Centers (cloud fundamentals and ibm cloud overview),Physical facilities housing computing resources,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Points of Presence (PoPs) (cloud fundamentals and ibm cloud overview),Network edge locations,"notes,cloud-fundamentals-and-ibm-cloud-overview"
"ISO/IEC 27001, 27017, 27018 (cloud fundamentals and ibm cloud overview)",Information security,"notes,cloud-fundamentals-and-ibm-cloud-overview"
"SOC 1, SOC 2, SOC 3 (cloud fundamentals and ibm cloud overview)",Service organization controls,"notes,cloud-fundamentals-and-ibm-cloud-overview"
PCI DSS (cloud fundamentals and ibm cloud overview),Payment card industry,"notes,cloud-fundamentals-and-ibm-cloud-overview"
GDPR (cloud fundamentals and ibm cloud overview),European data protection,"notes,cloud-fundamentals-and-ibm-cloud-overview"
FISMA (cloud fundamentals and ibm cloud overview),Federal information security,"notes,cloud-fundamentals-and-ibm-cloud-overview"
Severity 1 (cloud fundamentals and ibm cloud overview),"Critical business impact, production down","notes,cloud-fundamentals-and-ibm-cloud-overview"
Severity 2 (cloud fundamentals and ibm cloud overview),"Significant business impact, major features impaired","notes,cloud-fundamentals-and-ibm-cloud-overview"
Severity 3 (cloud fundamentals and ibm cloud overview),"Minor business impact, partial impairment","notes,cloud-fundamentals-and-ibm-cloud-overview"
Severity 4 (cloud fundamentals and ibm cloud overview),"Minimal business impact, general questions","notes,cloud-fundamentals-and-ibm-cloud-overview"
Compute (core services),High-frequency processors,"notes,core-services"
Memory (core services),Large RAM configurations,"notes,core-services"
Storage (core services),High-capacity storage,"notes,core-services"
GPU (core services),Graphics processing units,"notes,core-services"
SAP Certified (core services),SAP HANA workloads,"notes,core-services"
Regional (core services),"Single region, highest availability","notes,core-services"
Cross-Region (core services),Replicated across multiple regions,"notes,core-services"
Single Data Center (core services),"Single location, lower cost","notes,core-services"
Standard (core services),Single-zone deployment,"notes,core-services"
Enterprise (core services),Multi-zone deployment with HA,"notes,core-services"
Viewer (ai devops and security),Read-only access,"notes,ai-devops-and-security"
Operator (ai devops and security),Perform operational actions (start/stop),"notes,ai-devops-and-security"
Editor (ai devops and security),"Create, modify, delete resources","notes,ai-devops-and-security"
Administrator (ai devops and security),Full access including managing access,"notes,ai-devops-and-security"
Reader (ai devops and security),Read service data,"notes,ai-devops-and-security"
Writer (ai devops and security),Modify service data,"notes,ai-devops-and-security"
Manager (ai devops and security),Full service access,"notes,ai-devops-and-security"
Regional Services (ai devops and security),Data stays in selected region,"notes,ai-devops-and-security"
Multi-Zone Regions (ai devops and security),Data within region boundaries,"notes,ai-devops-and-security"
Private Endpoints (ai devops and security),Traffic stays on IBM network,"notes,ai-devops-and-security"
Customer-Managed Keys (ai devops and security),Full key control,"notes,ai-devops-and-security"
IBM Cloud Satellite (ai devops and security),Deploy anywhere,"notes,ai-devops-and-security"
