Question,Answer,Tags
Viewer (security fundamentals iam),View resources and resource groups,"notes,security-fundamentals-iam"
Operator (security fundamentals iam),"View and perform platform actions (restart, view logs)","notes,security-fundamentals-iam"
Editor (security fundamentals iam),"View, create, delete, and modify resources","notes,security-fundamentals-iam"
Administrator (security fundamentals iam),All platform actions + assign access to others,"notes,security-fundamentals-iam"
Reader (security fundamentals iam),Read-only access to service data,"notes,security-fundamentals-iam"
Writer (security fundamentals iam),Read and write service data,"notes,security-fundamentals-iam"
Manager (security fundamentals iam),Full service access,"notes,security-fundamentals-iam"
ISO 27001/27017/27018 (compliance operations),Information security,"notes,compliance-operations"
SOC 1/2/3 (compliance operations),Service organization controls,"notes,compliance-operations"
PCI DSS (compliance operations),Payment card data security,"notes,compliance-operations"
HIPAA (compliance operations),Healthcare data protection,"notes,compliance-operations"
GDPR (compliance operations),EU data protection,"notes,compliance-operations"
FedRAMP (compliance operations),US federal government,"notes,compliance-operations"
RTO (Recovery Time Objective) (compliance operations),Maximum acceptable downtime,"notes,compliance-operations"
RPO (Recovery Point Objective) (compliance operations),Maximum acceptable data loss,"notes,compliance-operations"
SCC (Security and Compliance Center) (compliance operations),Centralized compliance management,"notes,compliance-operations"
Activity Tracker (compliance operations),Audit logging service,"notes,compliance-operations"
Security Advisor (compliance operations),Security findings and threat detection,"notes,compliance-operations"
Vulnerability Advisor (compliance operations),Container image scanning,"notes,compliance-operations"
CIS (Cloud Internet Services) (compliance operations),"DDoS protection, Global LB","notes,compliance-operations"
Transit Gateway (compliance operations),Multi-cloud/multi-region connectivity,"notes,compliance-operations"
SIEM (compliance operations),Security Information and Event Management,"notes,compliance-operations"
SOAR (compliance operations),"Security Orchestration, Automation and Response","notes,compliance-operations"
