Question,Answer,Tags
How long is the GitHub Foundations exam?,120 minutes,exam-logistics
How many questions are on the GitHub Foundations exam?,75 multiple choice questions,exam-logistics
What is the passing score for GitHub Foundations?,70%,exam-logistics
What does the GitHub Foundations exam cost?,$99 USD,exam-logistics
How long is GitHub Foundations valid for?,3 years,exam-logistics
How is the GitHub Foundations exam delivered?,Online proctored,exam-logistics
Distributed (git basics),Every developer has a full copy of the repository,"notes,git-basics"
Fast (git basics),Most operations are local and nearly instantaneous,"notes,git-basics"
Data integrity (git basics),Every file and commit is checksummed (SHA-1),"notes,git-basics"
Branching model (git basics),"Lightweight, fast branching and merging","notes,git-basics"
Staging area (git basics),Intermediate area for preparing commits,"notes,git-basics"
Untracked (git basics),New files Git does not know about,"notes,git-basics"
Modified (git basics),Changed files not yet staged,"notes,git-basics"
Staged (git basics),Modified files marked for the next commit,"notes,git-basics"
Committed (git basics),Safely stored in the local repository,"notes,git-basics"
Repository hosting (git basics),Store and share code remotely,"notes,git-basics"
Collaboration (git basics),"Issues, pull requests, code review","notes,git-basics"
Automation (git basics),GitHub Actions for CI/CD,"notes,git-basics"
Security (git basics),"Dependabot, secret scanning, code scanning","notes,git-basics"
Project management (git basics),"Projects, milestones, labels","notes,git-basics"
Community (git basics),"Open source hosting, Sponsors, Discussions","notes,git-basics"
Personal account (git basics),"Individual user, owns repositories","notes,git-basics"
Organization account (git basics),"Shared account for teams, owns repositories, manages teams","notes,git-basics"
Enterprise account (git basics),Manages multiple organizations with centralized policies,"notes,git-basics"
GitHub.com (git basics),Web interface for all GitHub features,"notes,git-basics"
GitHub Desktop (git basics),"GUI for Git operations (Windows, macOS)","notes,git-basics"
GitHub Mobile (git basics),iOS/Android app for on-the-go management,"notes,git-basics"
GitHub CLI (gh) (git basics),Command-line tool for GitHub operations,"notes,git-basics"
GitHub Codespaces (git basics),Cloud-hosted development environments,"notes,git-basics"
Keyboard shortcuts (github repos and features),Press ? on any GitHub page,"notes,github-repos-and-features"
File finder (github repos and features),Press t to search files in a repository,"notes,github-repos-and-features"
Command palette (github repos and features),Press Ctrl+K / Cmd+K for quick navigation,"notes,github-repos-and-features"
Blame view (github repos and features),See who last modified each line,"notes,github-repos-and-features"
History view (github repos and features),See all commits for a specific file,"notes,github-repos-and-features"
Code navigation (github repos and features),Click symbols to jump to definitions,"notes,github-repos-and-features"
Title (collaboration),Brief description of the issue,"notes,collaboration"
Description (collaboration),Detailed information with Markdown formatting,"notes,collaboration"
Labels (collaboration),"Categorize issues (bug, enhancement, help wanted, etc.)","notes,collaboration"
Assignees (collaboration),Who is responsible for the issue,"notes,collaboration"
Milestones (collaboration),Group issues for tracking toward a goal,"notes,collaboration"
Projects (collaboration),Add to project boards for visual tracking,"notes,collaboration"
Linked pull requests (collaboration),PRs that address this issue,"notes,collaboration"
Inline comments (collaboration),Comment on specific lines of code,"notes,collaboration"
Suggested changes (collaboration),Propose exact code changes that can be committed directly,"notes,collaboration"
Batch comments (collaboration),"Start a review, add multiple comments, submit at once","notes,collaboration"
Re-request review (collaboration),Ask a reviewer to look again after changes,"notes,collaboration"
Dismiss review (collaboration),Organization owners can dismiss stale reviews,"notes,collaboration"
Require pull request reviews (collaboration),Set minimum number of approving reviews,"notes,collaboration"
Require status checks (collaboration),CI/CD must pass before merge,"notes,collaboration"
Require conversation resolution (collaboration),All discussions must be resolved,"notes,collaboration"
Require signed commits (collaboration),Verify commit authorship,"notes,collaboration"
Require linear history (collaboration),No merge commits allowed,"notes,collaboration"
Include administrators (collaboration),Rules apply to admins too,"notes,collaboration"
Restrict who can push (collaboration),Limit push access to specific people/teams,"notes,collaboration"
Require code owner reviews (collaboration),CODEOWNERS must approve their areas,"notes,collaboration"
Lock branch (collaboration),Make branch read-only,"notes,collaboration"
GitHub inbox (collaboration),Web-based notification center,"notes,collaboration"
Email (collaboration),Configurable per-repository,"notes,collaboration"
GitHub Mobile (collaboration),Push notifications on mobile,"notes,collaboration"
Watch (collaboration),All activity in the repository,"notes,collaboration"
Not watching (collaboration),Only participating or @mentioned,"notes,collaboration"
Ignore (collaboration),No notifications at all,"notes,collaboration"
Custom (collaboration),Choose specific events,"notes,collaboration"
GitHub-hosted runners (modern development),"Managed by GitHub (Ubuntu, Windows, macOS)","notes,modern-development"
Self-hosted runners (modern development),Your own machines registered with GitHub,"notes,modern-development"
Instant environments (modern development),Start coding in seconds,"notes,modern-development"
Browser-based (modern development),Full VS Code in your browser,"notes,modern-development"
VS Code integration (modern development),Connect from local VS Code,"notes,modern-development"
Pre-configured (modern development),Defined via devcontainer.json,"notes,modern-development"
Port forwarding (modern development),Access running applications,"notes,modern-development"
Dotfiles support (modern development),Personalize your environment,"notes,modern-development"
Prebuilds (modern development),Faster start times with pre-built images,"notes,modern-development"
Code completion (modern development),Suggests whole lines or functions as you type,"notes,modern-development"
Chat (modern development),Ask questions about code in the IDE or on GitHub.com,"notes,modern-development"
Code explanations (modern development),Understand unfamiliar code,"notes,modern-development"
Test generation (modern development),Help write unit tests,"notes,modern-development"
Documentation (modern development),Generate docstrings and comments,"notes,modern-development"
Continuous Delivery (modern development),"Automated testing, manual deployment","notes,modern-development"
Continuous Deployment (modern development),Fully automated from commit to production,"notes,modern-development"
Actions (modern development),Reusable workflow components,"notes,modern-development"
Apps (modern development),OAuth or GitHub Apps that integrate with GitHub,"notes,modern-development"
Dependabot alerts (security community projects),Notify about known vulnerabilities in dependencies,"notes,security-community-projects"
Dependabot security updates (security community projects),Automatically create PRs to fix vulnerabilities,"notes,security-community-projects"
Dependabot version updates (security community projects),Keep dependencies up to date,"notes,security-community-projects"
