Question,Answer,Tags
How long is the AWS Certified Machine Learning Engineer - Associate (MLA-C01) exam?,170 minutes (2 hours 50 minutes),exam-logistics
How many questions are on the AWS Certified Machine Learning Engineer - Associate (MLA-C01) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified Machine Learning Engineer - Associate (MLA-C01)?,"720/1000 (scaled scoring, approximately 72%)",exam-logistics
What does the AWS Certified Machine Learning Engineer - Associate (MLA-C01) exam cost?,$150 USD (50% discount for previous AWS certification holders),exam-logistics
How long is AWS Certified Machine Learning Engineer - Associate (MLA-C01) valid for?,3 years,exam-logistics
How is the AWS Certified Machine Learning Engineer - Associate (MLA-C01) exam delivered?,Pearson VUE (online proctored or testing center),exam-logistics
Apache Parquet (data preparation),"columnar, compressed, schema-embedded, best for SageMaker","notes,data-preparation"
Apache ORC (data preparation),"columnar, optimized for Hive/Spark","notes,data-preparation"
CSV (data preparation),"simple, widely supported, larger files","notes,data-preparation"
JSON/JSONL (data preparation),"nested data, text/NLP workloads","notes,data-preparation"
RecordIO (data preparation),"SageMaker native format, optimized for streaming","notes,data-preparation"
RecordIO Protobuf (data preparation),optimized for SageMaker built-in algorithms,"notes,data-preparation"
TFRecord (data preparation),TensorFlow native format,"notes,data-preparation"
Pipe mode (data preparation),stream data directly from S3 (faster than File mode),"notes,data-preparation"
Spark (data preparation),distributed processing for large datasets (PySpark/Scala),"notes,data-preparation"
Python Shell (data preparation),lightweight Python scripts for smaller datasets,"notes,data-preparation"
Ray (data preparation),distributed Python for ML preprocessing,"notes,data-preparation"
Streaming (data preparation),real-time ETL with micro-batches,"notes,data-preparation"
SageMaker Pipeline (data preparation),automated data preparation in pipeline,"notes,data-preparation"
Processing Job (data preparation),standalone data processing,"notes,data-preparation"
Feature Store (data preparation),ingest features for sharing and reuse,"notes,data-preparation"
Python Script (data preparation),export as code for customization,"notes,data-preparation"
Min-Max Scaling (data preparation),"scale to [0,1] range - good for neural networks","notes,data-preparation"
Log Transform (data preparation),reduce skewness in distributions,"notes,data-preparation"
Binning (data preparation),convert continuous to categorical,"notes,data-preparation"
One-Hot Encoding (data preparation),"binary column per category (sparse, no ordinality)","notes,data-preparation"
Label Encoding (data preparation),integer per category (implies ordinality),"notes,data-preparation"
Target Encoding (data preparation),replace with target mean (risk of leakage),"notes,data-preparation"
Embedding (data preparation),learned dense representations (deep learning),"notes,data-preparation"
TF-IDF (data preparation),term frequency-inverse document frequency,"notes,data-preparation"
Word2Vec (data preparation),dense word embeddings (use BlazingText),"notes,data-preparation"
Tokenization (data preparation),split text into tokens,"notes,data-preparation"
Bag of Words (data preparation),count-based representation,"notes,data-preparation"
Correlation analysis (data preparation),remove highly correlated features,"notes,data-preparation"
Variance threshold (data preparation),remove low-variance features,"notes,data-preparation"
Feature importance (data preparation),from tree-based models,"notes,data-preparation"
Recursive Feature Elimination (data preparation),iteratively remove least important,"notes,data-preparation"
PCA (data preparation),dimensionality reduction (SageMaker built-in algorithm),"notes,data-preparation"
PutRecord API (data preparation),single record ingestion (real-time),"notes,data-preparation"
Batch ingestion (data preparation),using SageMaker Processing or Spark,"notes,data-preparation"
Streaming ingestion (data preparation),from Kinesis Data Streams,"notes,data-preparation"
Instance type and count (data preparation),select based on data size,"notes,data-preparation"
Container (data preparation),"built-in (scikit-learn, Spark) or custom","notes,data-preparation"
Input (data preparation),S3 data mounted to processing container,"notes,data-preparation"
Output (data preparation),results written to S3,"notes,data-preparation"
Network (data preparation),VPC configuration for security,"notes,data-preparation"
scikit-learn (data preparation),general-purpose ML preprocessing,"notes,data-preparation"
Custom (data preparation),bring your own Docker container,"notes,data-preparation"
Algorithm/Container (model development),"built-in algorithm, framework container, or custom","notes,model-development"
Instance Type (model development),CPU or GPU based on algorithm requirements,"notes,model-development"
Instance Count (model development),single or distributed training,"notes,model-development"
Input Data (model development),S3 location and data channel configuration,"notes,model-development"
Output (model development),S3 location for model artifacts,"notes,model-development"
Hyperparameters (model development),algorithm-specific settings,"notes,model-development"
IAM Role (model development),execution role with S3 and other service access,"notes,model-development"
Accuracy (model development),correct predictions / total predictions,"notes,model-development"
Precision (model development),true positives / predicted positives (avoid false positives),"notes,model-development"
Recall (model development),true positives / actual positives (avoid false negatives),"notes,model-development"
F1 Score (model development),harmonic mean of precision and recall,"notes,model-development"
AUC-ROC (model development),area under receiver operating characteristic curve,"notes,model-development"
Confusion Matrix (model development),visualize true/false positives/negatives,"notes,model-development"
RMSE (model development),root mean squared error (penalizes large errors),"notes,model-development"
MAE (model development),mean absolute error (robust to outliers),"notes,model-development"
R-squared (model development),proportion of variance explained,"notes,model-development"
MAPE (model development),mean absolute percentage error,"notes,model-development"
Model Package Group (model development),collection of model versions,"notes,model-development"
Model Package (model development),specific model version with metadata,"notes,model-development"
Approval Status (model development),"Pending, Approved, Rejected","notes,model-development"
Model Metrics (model development),"accuracy, latency, and custom metrics","notes,model-development"
Model (deployment orchestration),trained model artifacts from S3,"notes,deployment-orchestration"
Endpoint Configuration (deployment orchestration),"instance type, count, variants","notes,deployment-orchestration"
Endpoint (deployment orchestration),hosted inference service,"notes,deployment-orchestration"
Model quantization (deployment orchestration),reduce precision (FP32 to INT8),"notes,deployment-orchestration"
Model pruning (deployment orchestration),remove unimportant weights,"notes,deployment-orchestration"
Knowledge distillation (deployment orchestration),train smaller model from larger one,"notes,deployment-orchestration"
Batching (deployment orchestration),process multiple requests together for GPU efficiency,"notes,deployment-orchestration"
Pipeline (deployment orchestration),DAG of ML workflow steps,"notes,deployment-orchestration"
Steps (deployment orchestration),individual tasks in the pipeline,"notes,deployment-orchestration"
Parameters (deployment orchestration),configurable inputs at execution time,"notes,deployment-orchestration"
Conditions (deployment orchestration),branch logic based on step outputs,"notes,deployment-orchestration"
Caching (deployment orchestration),skip unchanged steps for faster execution,"notes,deployment-orchestration"
ProcessingStep (deployment orchestration),data preparation with SageMaker Processing,"notes,deployment-orchestration"
TrainingStep (deployment orchestration),model training with SageMaker Training,"notes,deployment-orchestration"
TuningStep (deployment orchestration),hyperparameter tuning,"notes,deployment-orchestration"
TransformStep (deployment orchestration),batch inference with Batch Transform,"notes,deployment-orchestration"
ConditionStep (deployment orchestration),"branch based on conditions (e.g., accuracy > threshold)","notes,deployment-orchestration"
RegisterModelStep (deployment orchestration),register model in Model Registry,"notes,deployment-orchestration"
CreateModelStep (deployment orchestration),create SageMaker model from artifacts,"notes,deployment-orchestration"
LambdaStep (deployment orchestration),run Lambda function for custom logic,"notes,deployment-orchestration"
QualityCheckStep (deployment orchestration),data/model quality check,"notes,deployment-orchestration"
ClarifyCheckStep (deployment orchestration),bias and explainability check,"notes,deployment-orchestration"
FailStep (deployment orchestration),explicitly fail pipeline with message,"notes,deployment-orchestration"
CallbackStep (deployment orchestration),wait for external process (human approval),"notes,deployment-orchestration"
Anthropic Claude (bedrock genai),"text generation, analysis, coding","notes,bedrock-genai"
Amazon Titan (bedrock genai),"text generation, embeddings, image generation","notes,bedrock-genai"
Meta Llama (bedrock genai),open-source text generation,"notes,bedrock-genai"
Cohere (bedrock genai),"text generation, embeddings, reranking","notes,bedrock-genai"
Stability AI (bedrock genai),image generation (Stable Diffusion),"notes,bedrock-genai"
Mistral AI (bedrock genai),"text generation, coding","notes,bedrock-genai"
Amazon OpenSearch Serverless (bedrock genai),managed vector search,"notes,bedrock-genai"
Amazon Aurora PostgreSQL (bedrock genai),with pgvector extension,"notes,bedrock-genai"
Pinecone (bedrock genai),third-party vector database,"notes,bedrock-genai"
Redis Enterprise Cloud (bedrock genai),in-memory vector search,"notes,bedrock-genai"
MongoDB Atlas (bedrock genai),document database with vector search,"notes,bedrock-genai"
Fixed-size chunking (bedrock genai),split by character/token count,"notes,bedrock-genai"
Hierarchical chunking (bedrock genai),parent-child chunk relationships,"notes,bedrock-genai"
Semantic chunking (bedrock genai),split by meaning/topic boundaries,"notes,bedrock-genai"
No chunking (bedrock genai),each document is one chunk,"notes,bedrock-genai"
