Question,Answer,Tags
How long is the Google Cloud Professional Data Engineer Certification exam?,120 minutes (2 hours),exam-logistics
How many questions are on the Google Cloud Professional Data Engineer Certification exam?,50-60 questions,exam-logistics
What is the passing score for Google Cloud Professional Data Engineer Certification?,~70% (not officially published),exam-logistics
What does the Google Cloud Professional Data Engineer Certification exam cost?,$200 USD,exam-logistics
How long is Google Cloud Professional Data Engineer Certification valid for?,2 years,exam-logistics
Partitioning (data processing systems),"Required for time-based data lifecycle, enables partition expiration","notes,data-processing-systems"
Clustering (data processing systems),"Improves query performance on specific columns, automatic optimization","notes,data-processing-systems"
Both (data processing systems),"Use partitioning for time-based data, clustering for frequently filtered columns","notes,data-processing-systems"
Neither (data processing systems),Small tables (<1GB) don't benefit significantly,"notes,data-processing-systems"
One-time (data processing systems),"Full export/import, suitable for small databases","notes,data-processing-systems"
Continuous replication (data processing systems),"CDC (Change Data Capture), minimal downtime","notes,data-processing-systems"
Hybrid operation (data processing systems),"Gradual cutover, validate before switching","notes,data-processing-systems"
Data Fusion (data processing systems),"No-code requirement, business users, simple transformations, pre-built connectors","notes,data-processing-systems"
Dataflow (data processing systems),"Complex transformations, custom logic, advanced windowing, programmatic control","notes,data-processing-systems"
Dataplex Data Quality (data quality and security),Managed data quality service,"notes,data-quality-and-security"
Custom Dataflow Validation (data quality and security),Programmable validation logic,"notes,data-quality-and-security"
BigQuery Data Quality Checks (data quality and security),SQL-based validation,"notes,data-quality-and-security"
Great Expectations (data quality and security),Open-source data validation framework,"notes,data-quality-and-security"
dbt tests (data quality and security),SQL-based data testing,"notes,data-quality-and-security"
Apache Beam ValidateRunner (data quality and security),Pipeline validation,"notes,data-quality-and-security"
Automatic Discovery (data quality and security),"Auto-discovers BigQuery, Cloud Storage, Pub/Sub assets","notes,data-quality-and-security"
Metadata Management (data quality and security),Technical and business metadata,"notes,data-quality-and-security"
Search and Discovery (data quality and security),Full-text search across data assets,"notes,data-quality-and-security"
Tag Templates (data quality and security),Custom metadata with typed fields,"notes,data-quality-and-security"
Policy Tags (data quality and security),Column-level security integration,"notes,data-quality-and-security"
Data Lineage (data quality and security),"Track data flow (limited, primarily for BigQuery)","notes,data-quality-and-security"
Inspection (data quality and security),Detect and classify sensitive data,"notes,data-quality-and-security"
De-identification (data quality and security),"Mask, redact, tokenize, or encrypt sensitive data","notes,data-quality-and-security"
Re-identification (data quality and security),Reverse tokenization with proper authorization,"notes,data-quality-and-security"
Risk Analysis (data quality and security),Assess re-identification risk,"notes,data-quality-and-security"
Custom InfoTypes (data quality and security),Define organization-specific sensitive patterns,"notes,data-quality-and-security"
Admin Activity (data quality and security),"Configuration changes (always enabled, no charge)","notes,data-quality-and-security"
Data Access (data quality and security),"Read/write operations (opt-in for most services, charges apply)","notes,data-quality-and-security"
System Events (data quality and security),"Google-initiated changes (always enabled, no charge)","notes,data-quality-and-security"
Policy Denied (data quality and security),"Access denied events (always enabled, no charge)","notes,data-quality-and-security"
Service Perimeters (data quality and security),Logical security boundaries,"notes,data-quality-and-security"
Access Levels (data quality and security),Context-aware access policies,"notes,data-quality-and-security"
VPC Accessible Services (data quality and security),Restrict which APIs can be called,"notes,data-quality-and-security"
Ingress/Egress Rules (data quality and security),Control data flow across perimeter,"notes,data-quality-and-security"
Lakes (data quality and security),Top-level organizational construct,"notes,data-quality-and-security"
Zones (data quality and security),Subdivisions for raw/curated data,"notes,data-quality-and-security"
Assets (data quality and security),BigQuery datasets or Cloud Storage buckets,"notes,data-quality-and-security"
Entities (data quality and security),"Tables, filesets discovered within assets","notes,data-quality-and-security"
Validation at ingestion (data quality and security),"Pub/Sub schemas, Dataflow ParDo","notes,data-quality-and-security"
Continuous monitoring (data quality and security),"Dataplex Data Quality, custom metrics","notes,data-quality-and-security"
Anomaly detection (data quality and security),"Statistical methods, ML-based detection","notes,data-quality-and-security"
Data profiling (data quality and security),Dataplex automated profiling,"notes,data-quality-and-security"
GDPR (data quality and security),EU regions + data deletion + audit logs + DLP,"notes,data-quality-and-security"
HIPAA (data quality and security),CMEK + BAA + audit logs + VPC-SC + PHI tagging,"notes,data-quality-and-security"
PCI-DSS (data quality and security),Tokenization + CMEK + network segmentation + quarterly reviews,"notes,data-quality-and-security"
SOC 2 (data quality and security),Audit logs + access controls + encryption + monitoring,"notes,data-quality-and-security"
BigQuery ML (machine learning operations),"SQL-based, simple models, data already in BigQuery, quick prototyping","notes,machine-learning-operations"
Vertex AI (machine learning operations),"Complex models, custom algorithms, need for production deployment infrastructure, PyTorch/TensorFlow models","notes,machine-learning-operations"
Recommendation (machine learning operations),MATRIX_FACTORIZATION,"notes,machine-learning-operations"
Auto selection (machine learning operations),"AUTOML_CLASSIFIER, AUTOML_REGRESSOR","notes,machine-learning-operations"
Answer (machine learning operations),BigQuery ML with LOGISTIC_REG or BOOSTED_TREE_CLASSIFIER,"notes,machine-learning-operations"
Why (machine learning operations),"Data already in BigQuery, batch predictions sufficient, SQL-based","notes,machine-learning-operations"
