Question,Answer,Tags
How long is the Cilium Certified Associate (CCA) exam?,90 minutes,exam-logistics
How many questions are on the Cilium Certified Associate (CCA) exam?,60,exam-logistics
What is the passing score for Cilium Certified Associate (CCA)?,75%,exam-logistics
What does the Cilium Certified Associate (CCA) exam cost?,USD 250 (includes one free retake),exam-logistics
How long is Cilium Certified Associate (CCA) valid for?,2 years,exam-logistics
How is the Cilium Certified Associate (CCA) exam delivered?,Online proctored through PSI,exam-logistics
Kubernetes host scope (ebpf and architecture),uses the PodCIDR the Kubernetes controller manager assigns per node,"notes,ebpf-and-architecture"
CRD-backed (ebpf and architecture),allocation driven by custom resources for full control,"notes,ebpf-and-architecture"
eBPF (ebpf and architecture),"a technology for running verified, sandboxed programs inside the Linux kernel without kernel modules","notes,ebpf-and-architecture"
eBPF verifier (ebpf and architecture),the kernel component proving an eBPF program terminates and accesses only permitted memory before it may load,"notes,ebpf-and-architecture"
eBPF map (ebpf and architecture),a typed key-value structure shared between kernel-side eBPF programs and user space,"notes,ebpf-and-architecture"
XDP (ebpf and architecture),"the earliest eBPF network hook, in the driver, used for high-performance drop and load balancing","notes,ebpf-and-architecture"
TC hook (ebpf and architecture),the traffic control hook where most of Cilium's datapath logic runs,"notes,ebpf-and-architecture"
Cilium agent (ebpf and architecture),the per-node DaemonSet compiling and loading eBPF programs and enforcing policy,"notes,ebpf-and-architecture"
Cilium operator (ebpf and architecture),"the cluster-wide component handling IPAM, identity garbage collection, and CRD management","notes,ebpf-and-architecture"
Identity (ebpf and architecture),"a numeric value derived from an endpoint's labels, against which policy is enforced","notes,ebpf-and-architecture"
Reserved entity (ebpf and architecture),"a predefined identity such as world, host, remote-node, or cluster","notes,ebpf-and-architecture"
Endpoint (ebpf and architecture),"a network-addressable entity managed by Cilium, typically a pod","notes,ebpf-and-architecture"
CRD identity mode (ebpf and architecture),identity allocation using Kubernetes custom resources instead of an external etcd,"notes,ebpf-and-architecture"
Encapsulation mode (ebpf and architecture),a datapath mode tunnelling pod traffic between nodes with VXLAN or Geneve,"notes,ebpf-and-architecture"
Native routing mode (ebpf and architecture),a datapath mode relying on the underlying network to route pod CIDRs directly,"notes,ebpf-and-architecture"
Cluster pool IPAM (ebpf and architecture),the default mode where Cilium allocates per-node pod CIDRs from a cluster-wide pool,"notes,ebpf-and-architecture"
kube-proxy replacement (ebpf and architecture),"Cilium's eBPF implementation of Kubernetes Service handling, removing iptables service chains","notes,ebpf-and-architecture"
Socket-level load balancing (ebpf and architecture),translating the service address at connect time so no per-packet NAT is needed,"notes,ebpf-and-architecture"
Maglev (ebpf and architecture),a consistent hashing algorithm improving backend stability for external service traffic,"notes,ebpf-and-architecture"
CiliumNetworkPolicy (network policy),"the namespaced Cilium policy resource supporting L3, L4, and L7 rules","notes,network-policy"
CiliumClusterwideNetworkPolicy (network policy),"the cluster-scoped Cilium policy resource, used for baselines and host firewall","notes,network-policy"
Default deny (network policy),the behavior where a direction becomes deny-by-default once any policy selects the endpoint for it,"notes,network-policy"
endpointSelector (network policy),the label-based selector identifying which endpoints a policy applies to,"notes,network-policy"
toEntities (network policy),"a selector matching reserved identities such as world, host, or remote-node","notes,network-policy"
toFQDNs (network policy),"an egress rule matching DNS names, populated by observing DNS responses","notes,network-policy"
matchPattern (network policy),the wildcard form used in DNS and FQDN rules,"notes,network-policy"
Layer 7 policy (network policy),"policy matching application protocol details, enforced by redirecting traffic through Envoy","notes,network-policy"
Policy enforcement mode (network policy),"the cluster-wide setting choosing default, always, or never enforcement","notes,network-policy"
Host firewall (network policy),policy applied to the node itself through a cluster-wide policy with a node selector,"notes,network-policy"
Drop reason (network policy),"the datapath explanation Hubble reports for a dropped packet, such as Policy denied","notes,network-policy"
Sidecar-free service mesh (service mesh and observability),mesh capabilities provided by a per-node datapath and proxy rather than a per-pod sidecar,"notes,service-mesh-and-observability"
CiliumEnvoyConfig (service mesh and observability),the custom resource providing advanced Envoy configuration for a namespace,"notes,service-mesh-and-observability"
Gateway API (service mesh and observability),the successor Kubernetes ingress API supported by Cilium for L7 routing,"notes,service-mesh-and-observability"
Transparent encryption (service mesh and observability),datapath-level encryption of pod-to-pod traffic requiring no application change,"notes,service-mesh-and-observability"
WireGuard (service mesh and observability),"the simpler, generally faster transparent encryption option in Cilium","notes,service-mesh-and-observability"
IPsec (service mesh and observability),"the alternative transparent encryption option, chosen where compliance requires it","notes,service-mesh-and-observability"
Mutual authentication (service mesh and observability),"identity-based peer authentication in Cilium, backed by SPIFFE identities","notes,service-mesh-and-observability"
Hubble (service mesh and observability),Cilium's observability layer producing flow records from the eBPF datapath,"notes,service-mesh-and-observability"
Hubble Relay (service mesh and observability),the component aggregating flow data from all node agents into a single API,"notes,service-mesh-and-observability"
Flow record (service mesh and observability),"a Hubble event containing identities, addresses, protocol, verdict, and any drop reason","notes,service-mesh-and-observability"
Verdict (service mesh and observability),"the Hubble field stating whether a flow was forwarded, dropped, or audited","notes,service-mesh-and-observability"
L7 visibility (service mesh and observability),"Hubble's protocol-level detail, available where traffic traverses Envoy","notes,service-mesh-and-observability"
Service dependency map (service mesh and observability),the Hubble UI view showing which services communicate with which,"notes,service-mesh-and-observability"
Tetragon (service mesh and observability),the Cilium project component providing eBPF-based runtime security observability and enforcement,"notes,service-mesh-and-observability"
Cilium CLI (operations clustermesh bgp),"cilium install, which detects the environment and picks sensible defaults. Best for getting started and for labs.","notes,operations-clustermesh-bgp"
Helm (operations clustermesh bgp),"the production path, with the full values surface, and what you use when Cilium itself is managed by GitOps.","notes,operations-clustermesh-bgp"
Global services (operations clustermesh bgp),"annotate a Service as global and its endpoints across all meshed clusters are load balanced together, giving transparent failover.","notes,operations-clustermesh-bgp"
Service affinity (operations clustermesh bgp),"prefer local endpoints, remote endpoints, or none, so cross-cluster traffic only happens when local backends are unavailable.","notes,operations-clustermesh-bgp"
Cross-cluster network policy (operations clustermesh bgp),"because identities are mesh-wide, a policy in cluster A can reference workloads in cluster B by label.","notes,operations-clustermesh-bgp"
Shared external workloads (operations clustermesh bgp),VMs outside Kubernetes can join the mesh as endpoints with identities.,"notes,operations-clustermesh-bgp"
cilium connectivity test (operations clustermesh bgp),"the command deploying test workloads to validate pod, service, and external connectivity","notes,operations-clustermesh-bgp"
cilium sysdump (operations clustermesh bgp),the support bundle command collecting diagnostics for troubleshooting,"notes,operations-clustermesh-bgp"
Pre-flight check (operations clustermesh bgp),the upgrade step validating readiness and pulling images before the datapath rollout,"notes,operations-clustermesh-bgp"
Cluster Mesh (operations clustermesh bgp),the capability connecting multiple clusters into one service and policy domain,"notes,operations-clustermesh-bgp"
Cluster ID (operations clustermesh bgp),the unique numeric identifier each cluster must have before joining a mesh,"notes,operations-clustermesh-bgp"
Global service (operations clustermesh bgp),a Service annotated so its endpoints across all meshed clusters are load balanced together,"notes,operations-clustermesh-bgp"
BGP Control Plane (operations clustermesh bgp),Cilium's BGP implementation for peering with the physical network,"notes,operations-clustermesh-bgp"
LB IPAM (operations clustermesh bgp),LoadBalancer IP address management assigning service IPs from configured pools without a cloud provider,"notes,operations-clustermesh-bgp"
Egress gateway (operations clustermesh bgp),the feature routing selected egress traffic through designated nodes so external systems see a stable source IP,"notes,operations-clustermesh-bgp"
External workload (operations clustermesh bgp),a VM or bare-metal host enrolled into Cilium so it receives an identity and participates in policy,"notes,operations-clustermesh-bgp"
Dataplane V2 (operations clustermesh bgp),Google Kubernetes Engine's Cilium-based networking implementation,"notes,operations-clustermesh-bgp"
