Question,Answer,Tags
How long is the Claude Certified Architect - Professional (CCAR-P) exam?,120 minutes,exam-logistics
How many questions are on the Claude Certified Architect - Professional (CCAR-P) exam?,63 multiple-choice and multiple-response,exam-logistics
What is the passing score for Claude Certified Architect - Professional (CCAR-P)?,720 / 1000,exam-logistics
What does the Claude Certified Architect - Professional (CCAR-P) exam cost?,$175 USD,exam-logistics
How long is Claude Certified Architect - Professional (CCAR-P) valid for?,12 months,exam-logistics
How is the Claude Certified Architect - Professional (CCAR-P) exam delivered?,Pearson VUE - online proctored or test center,exam-logistics
Training use (governance safety and risk management),whether your data improves future models (off by default for API traffic),"notes,governance-safety-and-risk-management"
Retention (governance safety and risk management),whether your data is stored at all after the request is served,"notes,governance-safety-and-risk-management"
Violation rate (governance safety and risk management),harmful content that got through,"notes,governance-safety-and-risk-management"
False refusal rate (governance safety and risk management),legitimate requests that were blocked,"notes,governance-safety-and-risk-management"
Jailbreak (governance safety and risk management),the user tries to talk the model out of its constraints,"notes,governance-safety-and-risk-management"
Direct prompt injection (governance safety and risk management),the user embeds instructions that override the system prompt,"notes,governance-safety-and-risk-management"
Indirect prompt injection (governance safety and risk management),"untrusted content the agent retrieves (a web page, a document, a tool result) carries instructions aimed at the model","notes,governance-safety-and-risk-management"
First-party API (governance safety and risk management),your application must emit the audit trail; Anthropic provides request IDs to correlate,"notes,governance-safety-and-risk-management"
Bedrock (governance safety and risk management),CloudTrail records every InvokeModel call natively; enable model invocation logging for payloads if policy requires,"notes,governance-safety-and-risk-management"
Vertex (governance safety and risk management),Cloud Audit Logs record API activity; Cloud Logging for payloads if enabled,"notes,governance-safety-and-risk-management"
Autonomous (governance safety and risk management),"low-impact, reversible actions (draft a reply, summarize a document)","notes,governance-safety-and-risk-management"
Approve-before-execute (governance safety and risk management),"the agent proposes, a human confirms (send the email, issue the refund)","notes,governance-safety-and-risk-management"
Human-performs (governance safety and risk management),"the agent only recommends; a human executes (medical decisions, legal filings)","notes,governance-safety-and-risk-management"
Value (stakeholder communication and lifecycle management),"what outcome improves, by how much","notes,stakeholder-communication-and-lifecycle-management"
Cost (stakeholder communication and lifecycle management),"what it costs to run, per outcome","notes,stakeholder-communication-and-lifecycle-management"
Risk (stakeholder communication and lifecycle management),"what can go wrong, likelihood, blast radius, mitigation","notes,stakeholder-communication-and-lifecycle-management"
Time (stakeholder communication and lifecycle management),"when it ships, what phases, what gates","notes,stakeholder-communication-and-lifecycle-management"
Direct savings (stakeholder communication and lifecycle management),"handle-time reduction, deflection rate, throughput per head","notes,stakeholder-communication-and-lifecycle-management"
Revenue effects (stakeholder communication and lifecycle management),"faster response, longer coverage hours, higher conversion","notes,stakeholder-communication-and-lifecycle-management"
Cost of the system (stakeholder communication and lifecycle management),"inference, engineering, evaluation, ongoing operations (not just the API bill)","notes,stakeholder-communication-and-lifecycle-management"
Sensitivity (stakeholder communication and lifecycle management),which assumption breaks the case first; usually adoption rate or escalation rate,"notes,stakeholder-communication-and-lifecycle-management"
Quality (stakeholder communication and lifecycle management),eval score at or above baseline; task success rate at or above the phase target,"notes,stakeholder-communication-and-lifecycle-management"
Safety (stakeholder communication and lifecycle management),red-team suite pass; violation and false-refusal rates within bounds,"notes,stakeholder-communication-and-lifecycle-management"
Operations (stakeholder communication and lifecycle management),"alerting live, runbook written, on-call named, rollback tested","notes,stakeholder-communication-and-lifecycle-management"
Architecture decision records (ADRs) (stakeholder communication and lifecycle management),"what was chosen, what was rejected, why; the future team inherits your reasoning, not just your code","notes,stakeholder-communication-and-lifecycle-management"
Runbook (stakeholder communication and lifecycle management),"alert-by-alert response procedures: quality drift, cost spike, provider outage, guardrail trip, model deprecation notice","notes,stakeholder-communication-and-lifecycle-management"
System card / model use documentation (stakeholder communication and lifecycle management),"purpose, data flows, limitations, evaluation evidence; doubles as EU AI Act and procurement documentation","notes,stakeholder-communication-and-lifecycle-management"
Escalation matrix (stakeholder communication and lifecycle management),"who is paged for what, and who can authorize a rollback or kill switch","notes,stakeholder-communication-and-lifecycle-management"
Change log (stakeholder communication and lifecycle management),"every prompt, model, and tool change with its eval delta","notes,stakeholder-communication-and-lifecycle-management"
End users (stakeholder communication and lifecycle management),"what the assistant can and cannot do, how to phrase requests, how to escalate; short and example-driven","notes,stakeholder-communication-and-lifecycle-management"
Support and operations teams (stakeholder communication and lifecycle management),"how to read traces, common failure signatures, when to page engineering","notes,stakeholder-communication-and-lifecycle-management"
Reviewers (human-in-the-loop) (stakeholder communication and lifecycle management),"what they are approving, what to look for, how their decisions are logged","notes,stakeholder-communication-and-lifecycle-management"
Leadership (stakeholder communication and lifecycle management),"the dashboard: quality trend, cost per outcome, adoption, incident count","notes,stakeholder-communication-and-lifecycle-management"
Weekly (early life) (stakeholder communication and lifecycle management),"quality metrics, escalation rate, cost per outcome, top failure categories; feed real failures back into the eval set","notes,stakeholder-communication-and-lifecycle-management"
Monthly (stakeholder communication and lifecycle management),stakeholder review against the original ROI case; adoption and satisfaction trends,"notes,stakeholder-communication-and-lifecycle-management"
Quarterly (stakeholder communication and lifecycle management),"model version review (anything deprecating?), risk re-tiering, guardrail effectiveness (both violation and false-refusal rates), and a decision: invest, maintain, or retire","notes,stakeholder-communication-and-lifecycle-management"
Incident-driven (stakeholder communication and lifecycle management),every user-visible failure gets a lightweight postmortem; recurring patterns become eval cases and runbook entries,"notes,stakeholder-communication-and-lifecycle-management"
