Question,Answer,Tags
How long is the CISA - Certified Information Systems Auditor exam?,4 hours (240 minutes),exam-logistics
How many questions are on the CISA - Certified Information Systems Auditor exam?,150 multiple-choice,exam-logistics
What is the passing score for CISA - Certified Information Systems Auditor?,450 / 800 (scaled),exam-logistics
What does the CISA - Certified Information Systems Auditor exam cost?,$575 ISACA member / $760 non-member,exam-logistics
How long is CISA - Certified Information Systems Auditor valid for?,3-year CPE cycle,exam-logistics
How is the CISA - Certified Information Systems Auditor exam delivered?,PSI test centers OR online-proctored,exam-logistics
ITAF (Information Technology Assurance Framework) (information system auditing process),"ISACA's framework of standards, guidelines, and tools for IS audit and assurance. Standards are mandatory; guidelines are advisory.","notes,information-system-auditing-process"
Code of Professional Ethics (information system auditing process),binding on CISA holders. Breaching it can cost the certification.,"notes,information-system-auditing-process"
Due professional care (information system auditing process),applying the diligence a reasonably competent auditor would apply.,"notes,information-system-auditing-process"
Independence (information system auditing process),freedom from relationships that impair objectivity. *Independence in appearance* matters as much as independence in fact.,"notes,information-system-auditing-process"
Organisational independence (information system auditing process),"the audit function reports to the audit committee or board, not to the management it audits.","notes,information-system-auditing-process"
Compliance audit (information system auditing process),"tests adherence to laws, regulations, or policy.","notes,information-system-auditing-process"
Financial audit (information system auditing process),accuracy of financial reporting.,"notes,information-system-auditing-process"
Operational audit (information system auditing process),efficiency and effectiveness of operations.,"notes,information-system-auditing-process"
Integrated audit (information system auditing process),combines financial and IS controls testing.,"notes,information-system-auditing-process"
Forensic audit (information system auditing process),evidence gathering for suspected fraud or legal proceedings.,"notes,information-system-auditing-process"
Attestation and SOC engagements (information system auditing process),third-party assurance over a service organisation's controls.,"notes,information-system-auditing-process"
Audit universe (information system auditing process),the complete set of auditable entities.,"notes,information-system-auditing-process"
Risk assessment (information system auditing process),ranks entities by inherent risk to allocate audit resources.,"notes,information-system-auditing-process"
Inherent risk (information system auditing process),risk before any controls are applied.,"notes,information-system-auditing-process"
Control risk (information system auditing process),risk that controls fail to prevent or detect a problem.,"notes,information-system-auditing-process"
Detection risk (information system auditing process),risk that the auditor's procedures fail to find an existing problem.,"notes,information-system-auditing-process"
Residual risk (information system auditing process),risk remaining after controls operate.,"notes,information-system-auditing-process"
Materiality (information system auditing process),"the threshold above which a misstatement or weakness would influence decisions. In IS audit, materiality is often expressed in terms of criticality and outage impact rather than money.","notes,information-system-auditing-process"
Preventive control (information system auditing process),"stops an event before it occurs, for example input validation or segregation of duties.","notes,information-system-auditing-process"
Detective control (information system auditing process),"identifies an event after it occurs, for example log review or reconciliation.","notes,information-system-auditing-process"
Corrective control (information system auditing process),"restores after an event, for example restoring from backup.","notes,information-system-auditing-process"
Compensating control (information system auditing process),an alternative where the preferred control is not feasible. Must address the same risk to an acceptable degree.,"notes,information-system-auditing-process"
General controls (ITGC) (information system auditing process),"apply across the IT environment: access management, change management, operations.","notes,information-system-auditing-process"
Application controls (information system auditing process),"specific to one system: input, processing, and output controls.","notes,information-system-auditing-process"
Control objective (information system auditing process),what the control is meant to achieve. Testing without a stated objective produces findings nobody can act on.,"notes,information-system-auditing-process"
Sufficient (information system auditing process),enough of it to support the conclusion.,"notes,information-system-auditing-process"
Reliable (information system auditing process),"the more independent the source, the more reliable. Evidence obtained directly by the auditor beats evidence supplied by the auditee.","notes,information-system-auditing-process"
Relevant (information system auditing process),relates to the control objective being tested.,"notes,information-system-auditing-process"
Useful (information system auditing process),helps reach a conclusion.,"notes,information-system-auditing-process"
Inquiry (information system auditing process),"asking. Weakest form on its own, never sufficient alone.","notes,information-system-auditing-process"
Observation (information system auditing process),"watching a process. Shows what happens while you watch, which is a limitation.","notes,information-system-auditing-process"
Inspection (information system auditing process),examining documents or configuration.,"notes,information-system-auditing-process"
Reperformance (information system auditing process),the auditor independently executes the control. Strongest.,"notes,information-system-auditing-process"
CAAT (Computer-Assisted Audit Technique) (information system auditing process),software to analyse whole populations rather than samples. Enables 100% testing.,"notes,information-system-auditing-process"
Statistical sampling (information system auditing process),"each item has a known probability of selection, so results can be projected to the population with a measurable confidence level.","notes,information-system-auditing-process"
Non-statistical (judgemental) sampling (information system auditing process),auditor judgement selects items; results cannot be statistically projected.,"notes,information-system-auditing-process"
Attribute sampling (information system auditing process),"tests whether a control operated or not, giving a rate of deviation. The usual choice for compliance testing.","notes,information-system-auditing-process"
Variable sampling (information system auditing process),tests monetary or numeric amounts. Used in substantive testing.,"notes,information-system-auditing-process"
Stop-or-go sampling (information system auditing process),"stops early when results are clearly acceptable, minimising sample size.","notes,information-system-auditing-process"
Discovery sampling (information system auditing process),"designed to find at least one instance of a rare but critical condition, such as fraud.","notes,information-system-auditing-process"
"Confidence coefficient, tolerable error, and expected error (information system auditing process)",drive sample size. Higher confidence or lower tolerable error means a bigger sample.,"notes,information-system-auditing-process"
Compliance testing (information system auditing process),tests whether a control is operating as designed.,"notes,information-system-auditing-process"
Substantive testing (information system auditing process),tests the accuracy of the data or balance itself.,"notes,information-system-auditing-process"
Workpapers (information system auditing process),the record supporting the conclusion. Must let another competent auditor reach the same conclusion.,"notes,information-system-auditing-process"
Audit finding (information system auditing process),"condition, criteria, cause, effect, and recommendation. All five elements are expected.","notes,information-system-auditing-process"
Management response (information system auditing process),"the auditee's stated action, owner, and date. The auditor does not own remediation.","notes,information-system-auditing-process"
Audit charter (information system auditing process),"the document granting the audit function its authority, scope, and responsibility. Approved by the board or audit committee.","notes,information-system-auditing-process"
Engagement letter (information system auditing process),scope and terms for a specific audit.,"notes,information-system-auditing-process"
Qualified versus unqualified opinion (information system auditing process),unqualified means no material exceptions; qualified means exceptions exist.,"notes,information-system-auditing-process"
Exit meeting (information system auditing process),"findings are discussed with management before the report is finalised, to confirm factual accuracy.","notes,information-system-auditing-process"
CSA (Control Self-Assessment) (information system auditing process),"business process owners assess their own controls, facilitated by audit. Increases ownership and control awareness.","notes,information-system-auditing-process"
The auditor's role in CSA (information system auditing process),"facilitator, not owner. Audit still performs independent verification, because self-assessment is not independent assurance.","notes,information-system-auditing-process"
IT governance (governance management of it),"the board and executive responsibility for evaluating stakeholder needs, directing IT, and monitoring performance against objectives. Owned by the board.","notes,governance-management-of-it"
IT management (governance management of it),"planning, building, running, and monitoring activities aligned to the direction set by governance. Owned by executives.","notes,governance-management-of-it"
COBIT (governance management of it),"ISACA's framework for enterprise governance and management of IT. Its core distinction is exactly the one above, and it is the framework CISA assumes.","notes,governance-management-of-it"
Enterprise governance of IT (EGIT) (governance management of it),ensuring IT delivers value and risks are managed.,"notes,governance-management-of-it"
IT strategy (governance management of it),"how IT will support business objectives. Must derive from business strategy, not run parallel to it.","notes,governance-management-of-it"
IT steering committee (governance management of it),"cross-functional body prioritising IT investment and monitoring major projects. Membership includes business representation, which is the point.","notes,governance-management-of-it"
Strategic alignment (governance management of it),IT objectives demonstrably supporting business objectives.,"notes,governance-management-of-it"
Value delivery (governance management of it),IT investments producing the benefits that justified them.,"notes,governance-management-of-it"
Benefits realisation (governance management of it),"measuring whether promised benefits actually arrived, after the project closed.","notes,governance-management-of-it"
Balanced scorecard (governance management of it),"measures performance across financial, customer, internal process, and learning perspectives. An IT balanced scorecard adapts this to IT.","notes,governance-management-of-it"
Portfolio management (governance management of it),"selecting and balancing the set of investments, rather than judging each in isolation.","notes,governance-management-of-it"
Policy (governance management of it),high-level statement of management intent and direction. Approved by senior management or the board. Changes rarely.,"notes,governance-management-of-it"
Standard (governance management of it),"mandatory specification supporting policy, for example a minimum password length.","notes,governance-management-of-it"
Procedure (governance management of it),step-by-step instructions for performing a task.,"notes,governance-management-of-it"
Guideline (governance management of it),"recommended, non-mandatory advice.","notes,governance-management-of-it"
Segregation of duties (SoD) (governance management of it),no single individual controls all phases of a transaction. The classic IT example: developers must not have access to promote their own code into production.,"notes,governance-management-of-it"
Compensating controls for SoD (governance management of it),"in small organisations where separation is impossible: supervisory review, audit trails, reconciliation, and rotation of duties.","notes,governance-management-of-it"
Data owner (governance management of it),"accountable for classification and authorising access to a data set. A business role, not an IT role.","notes,governance-management-of-it"
Data custodian (governance management of it),implements and maintains the controls the owner specifies. Usually IT.,"notes,governance-management-of-it"
Data user (governance management of it),uses the data within the granted permissions.,"notes,governance-management-of-it"
Chief information security officer (CISO) (governance management of it),"responsible for the security programme. Reporting to the CIO can create a conflict of interest, which the exam sometimes probes.","notes,governance-management-of-it"
Job rotation and mandatory vacation (governance management of it),detective controls that surface concealed irregularities.,"notes,governance-management-of-it"
Risk appetite (governance management of it),the amount of risk the organisation is willing to accept in pursuit of objectives.,"notes,governance-management-of-it"
Risk tolerance (governance management of it),acceptable variation around the appetite.,"notes,governance-management-of-it"
Risk register (governance management of it),"the record of identified risks, owners, treatments, and status.","notes,governance-management-of-it"
Risk treatment options (governance management of it),"mitigate (reduce), transfer (share, for example insurance), avoid (stop the activity), accept (document and monitor).","notes,governance-management-of-it"
Enterprise architecture (EA) (governance management of it),"the blueprint describing business processes, information, applications, and technology, and how they relate. Prevents point solutions that do not fit.","notes,governance-management-of-it"
Capacity management (governance management of it),ensuring resources meet current and forecast demand.,"notes,governance-management-of-it"
Sourcing strategy (governance management of it),"insourcing, outsourcing, hybrid, and the location decision (onshore, nearshore, offshore).","notes,governance-management-of-it"
Third-party management (governance management of it),"due diligence before contracting, and monitoring throughout the relationship.","notes,governance-management-of-it"
Right to audit clause (governance management of it),contractual right to audit the vendor. Its absence is a common finding.,"notes,governance-management-of-it"
Service level agreement (SLA) (governance management of it),the measurable commitment. Without metrics and penalties it is not enforceable.,"notes,governance-management-of-it"
Vendor concentration risk (governance management of it),over-dependence on one supplier.,"notes,governance-management-of-it"
Key performance indicator (KPI) (governance management of it),measures whether an objective is being achieved.,"notes,governance-management-of-it"
Key risk indicator (KRI) (governance management of it),forward-looking measure signalling increasing risk exposure.,"notes,governance-management-of-it"
Maturity model (governance management of it),"assesses process capability on a scale, showing the gap between current and target state.","notes,governance-management-of-it"
Benchmarking (governance management of it),comparing performance against peers or standards.,"notes,governance-management-of-it"
Regulatory compliance monitoring (governance management of it),tracking obligations and evidencing adherence.,"notes,governance-management-of-it"
