Question,Answer,Tags
How long is the CompTIA Security+ (SY0-701) exam?,90 minutes,exam-logistics
How many questions are on the CompTIA Security+ (SY0-701) exam?,Up to 90 (MCQ + performance-based),exam-logistics
What is the passing score for CompTIA Security+ (SY0-701)?,750/900,exam-logistics
What does the CompTIA Security+ (SY0-701) exam cost?,$404 USD,exam-logistics
How long is CompTIA Security+ (SY0-701) valid for?,3 years,exam-logistics
How is the CompTIA Security+ (SY0-701) exam delivered?,Pearson VUE (testing center or online proctored),exam-logistics
Kerberos (security concepts),"Ticket-based, used in Active Directory, port 88","notes,security-concepts"
NTLM (security concepts),Legacy Windows authentication (avoid if possible),"notes,security-concepts"
RADIUS (security concepts),"Remote Authentication Dial-In User Service, port 1812/1813","notes,security-concepts"
TACACS+ (security concepts),"Terminal Access Controller, port 49, separates AAA functions","notes,security-concepts"
LDAP/LDAPS (security concepts),"Directory-based authentication, port 389/636","notes,security-concepts"
SAML (security concepts),XML-based federation for SSO,"notes,security-concepts"
OAuth 2.0 (security concepts),Authorization framework (not authentication),"notes,security-concepts"
OpenID Connect (OIDC) (security concepts),Authentication layer on top of OAuth 2.0,"notes,security-concepts"
Rule-Based (security concepts),Predefined rules regardless of identity (time-based access),"notes,security-concepts"
Identity provider (IdP) (security concepts),Central authentication authority,"notes,security-concepts"
Policy engine (security concepts),Makes access decisions based on context,"notes,security-concepts"
Policy enforcement point (security concepts),Enforces access decisions,"notes,security-concepts"
Continuous diagnostics (security concepts),Real-time monitoring of security posture,"notes,security-concepts"
Data access policies (security concepts),"Define who can access what, when, and how","notes,security-concepts"
Identity-centric (security concepts),Focus on strong identity verification,"notes,security-concepts"
Network-centric (security concepts),Focus on micro-segmentation,"notes,security-concepts"
Data-centric (security concepts),Focus on protecting data regardless of location,"notes,security-concepts"
Combined approach (security concepts),"Best practice, all three together","notes,security-concepts"
Authority (security concepts),Impersonating someone in power,"notes,security-concepts"
Urgency (security concepts),Creating time pressure to bypass rational thinking,"notes,security-concepts"
Social proof (security concepts),"""Everyone else is doing it""","notes,security-concepts"
Familiarity/Liking (security concepts),Building rapport and trust,"notes,security-concepts"
Scarcity (security concepts),Limited availability creates desire to act,"notes,security-concepts"
Intimidation (security concepts),Using threats or fear,"notes,security-concepts"
Consensus (security concepts),Leveraging group behavior,"notes,security-concepts"
Phishing (security concepts),Mass fraudulent emails,"notes,security-concepts"
Spear phishing (security concepts),Targeted at specific individuals,"notes,security-concepts"
Whaling (security concepts),Targeting executives/senior leaders,"notes,security-concepts"
Vishing (security concepts),Voice/phone-based social engineering,"notes,security-concepts"
Smishing (security concepts),SMS-based social engineering,"notes,security-concepts"
Pretexting (security concepts),Creating a fabricated scenario,"notes,security-concepts"
Baiting (security concepts),Offering something enticing (infected USB drives),"notes,security-concepts"
Tailgating/Piggybacking (security concepts),Following authorized person through secured door,"notes,security-concepts"
Watering hole (security concepts),Compromising websites frequently visited by targets,"notes,security-concepts"
Typosquatting (security concepts),Registering misspelled domain names,"notes,security-concepts"
Application updates (security concepts),May introduce new vulnerabilities,"notes,security-concepts"
Configuration changes (security concepts),May weaken security controls,"notes,security-concepts"
Network changes (security concepts),May expose previously isolated resources,"notes,security-concepts"
Access changes (security concepts),May grant excessive permissions,"notes,security-concepts"
Infrastructure changes (security concepts),May create new attack surfaces,"notes,security-concepts"
3DES (security concepts),"Triple DES, legacy, being phased out","notes,security-concepts"
Blowfish/Twofish (security concepts),Alternative symmetric algorithms,"notes,security-concepts"
RSA (security concepts),"2048/4096-bit, widely used","notes,security-concepts"
ECC (security concepts),Smaller key sizes for equivalent security,"notes,security-concepts"
Diffie-Hellman (DH/ECDH) (security concepts),Key exchange protocol,"notes,security-concepts"
SHA-256/SHA-3 (security concepts),Current standard for integrity verification,"notes,security-concepts"
MD5 (security concepts),Deprecated due to collisions (still seen in legacy systems),"notes,security-concepts"
bcrypt/Argon2 (security concepts),Password hashing with salt and work factor,"notes,security-concepts"
Key length (security concepts),Longer keys = stronger encryption,"notes,security-concepts"
Key exchange (security concepts),"Diffie-Hellman, RSA key transport","notes,security-concepts"
Key escrow (security concepts),Third party holds copy of encryption keys,"notes,security-concepts"
Key stretching (security concepts),"Make weak passwords stronger (PBKDF2, bcrypt)","notes,security-concepts"
Salt (security concepts),Random data added before hashing to prevent rainbow table attacks,"notes,security-concepts"
Nonce (security concepts),Number used once to prevent replay attacks,"notes,security-concepts"
IV (security concepts),Initialization vector for encryption randomness,"notes,security-concepts"
Defense (threats vulnerabilities),"Offline backups, email filtering, endpoint protection, user training","notes,threats-vulnerabilities"
DNS poisoning/spoofing (threats vulnerabilities),Corrupt DNS cache with false entries,"notes,threats-vulnerabilities"
DNS tunneling (threats vulnerabilities),Encode data in DNS queries to exfiltrate data,"notes,threats-vulnerabilities"
Domain hijacking (threats vulnerabilities),Take over legitimate domain registration,"notes,threats-vulnerabilities"
Evil twin (threats vulnerabilities),Fake access point mimicking legitimate network,"notes,threats-vulnerabilities"
Deauthentication (threats vulnerabilities),Force clients to disconnect and reconnect,"notes,threats-vulnerabilities"
WPS attacks (threats vulnerabilities),Exploit Wi-Fi Protected Setup weaknesses,"notes,threats-vulnerabilities"
Bluetooth attacks (threats vulnerabilities),"Bluejacking, bluesnarfing, bluebugging","notes,threats-vulnerabilities"
Stored XSS (threats vulnerabilities),"Script stored in database, served to all visitors","notes,threats-vulnerabilities"
Reflected XSS (threats vulnerabilities),"Script in URL, reflected back from server","notes,threats-vulnerabilities"
DOM-based XSS (threats vulnerabilities),Script manipulates page DOM in browser,"notes,threats-vulnerabilities"
Zero-day (threats vulnerabilities),"Unknown to vendor, no patch available","notes,threats-vulnerabilities"
Unpatched (threats vulnerabilities),"Known vulnerability, patch not applied","notes,threats-vulnerabilities"
Memory-related (threats vulnerabilities),"Buffer overflow, memory leak, use-after-free","notes,threats-vulnerabilities"
Race condition (threats vulnerabilities),Timing-dependent vulnerability,"notes,threats-vulnerabilities"
Improper error handling (threats vulnerabilities),Error messages reveal system info,"notes,threats-vulnerabilities"
