Question,Answer,Tags
How long is the NVIDIA Certified Professional - OpenUSD (NCP-USD) exam?,120 minutes,exam-logistics
How many questions are on the NVIDIA Certified Professional - OpenUSD (NCP-USD) exam?,60-70 questions,exam-logistics
What is the passing score for NVIDIA Certified Professional - OpenUSD (NCP-USD)?,Not officially published,exam-logistics
What does the NVIDIA Certified Professional - OpenUSD (NCP-USD) exam cost?,$200 USD,exam-logistics
How long is NVIDIA Certified Professional - OpenUSD (NCP-USD) valid for?,2 years,exam-logistics
Xform (usd fundamentals),"Transform node (translation, rotation, scale)","notes,usd-fundamentals"
Mesh (usd fundamentals),Polygon geometry,"notes,usd-fundamentals"
Scope (usd fundamentals),Grouping node (no transform),"notes,usd-fundamentals"
Material (usd fundamentals),Shading material definition,"notes,usd-fundamentals"
Light types (usd fundamentals),"DistantLight, SphereLight, RectLight, DomeLight","notes,usd-fundamentals"
kind (usd fundamentals),"Classification (component, assembly, group, subcomponent)","notes,usd-fundamentals"
purpose (usd fundamentals),"Rendering purpose (default, render, proxy, guide)","notes,usd-fundamentals"
active (usd fundamentals),Whether prim is active (true/false),"notes,usd-fundamentals"
hidden (usd fundamentals),UI visibility hint,"notes,usd-fundamentals"
documentation (usd fundamentals),Human-readable description,"notes,usd-fundamentals"
Applied (usd fundamentals),"Explicitly applied, stored in scene (MaterialBindingAPI)","notes,usd-fundamentals"
Non-Applied (usd fundamentals),"Utility interfaces, not stored (UsdGeomModelAPI)","notes,usd-fundamentals"
model (usd fundamentals),Base kind for all models,"notes,usd-fundamentals"
assembly (usd fundamentals),Group of components (a car),"notes,usd-fundamentals"
component (usd fundamentals),Leaf model (a wheel),"notes,usd-fundamentals"
group (usd fundamentals),Organizational grouping,"notes,usd-fundamentals"
subcomponent (usd fundamentals),Part of a component,"notes,usd-fundamentals"
render (usd fundamentals),High-quality geometry for final rendering,"notes,usd-fundamentals"
proxy (usd fundamentals),Simplified geometry for viewport display,"notes,usd-fundamentals"
guide (usd fundamentals),Helper geometry (not rendered),"notes,usd-fundamentals"
LOD variants (scene composition),Level of detail switching,"notes,scene-composition"
Material variants (scene composition),Different material options,"notes,scene-composition"
Configuration variants (scene composition),Product configurations,"notes,scene-composition"
Platform variants (scene composition),OS-specific assets,"notes,scene-composition"
Database (omniverse),Stores file metadata and versions,"notes,omniverse"
Storage (omniverse),Stores file content (local or cloud),"notes,omniverse"
Auth (omniverse),Authentication and authorization,"notes,omniverse"
Discovery (omniverse),Service discovery for clients,"notes,omniverse"
Pub/Sub (omniverse),Real-time change notifications,"notes,omniverse"
Nucleus Cloud (omniverse),"SaaS offering, managed by NVIDIA","notes,omniverse"
Enterprise Nucleus (omniverse),Self-hosted on-premises or in cloud,"notes,omniverse"
Local Nucleus (omniverse),Single-user development server,"notes,omniverse"
Live Sync (omniverse),Real-time bidirectional updates,"notes,omniverse"
Material Translation (omniverse),Convert DCC materials to USD/MDL,"notes,omniverse"
Geometry Export (omniverse),Convert native geometry to USD meshes,"notes,omniverse"
Animation Export (omniverse),Time-sampled transform and blend shapes,"notes,omniverse"
Camera/Light Export (omniverse),Convert to USD light and camera types,"notes,omniverse"
omni.kit.viewport (omniverse),3D viewport rendering,"notes,omniverse"
omni.ui (omniverse),UI framework for windows and widgets,"notes,omniverse"
omni.usd (omniverse),USD stage management,"notes,omniverse"
omni.physx (omniverse),Physics simulation,"notes,omniverse"
omni.rtx (omniverse),RTX rendering pipeline,"notes,omniverse"
📖 MDL SDK (rendering),Material language reference,"notes,rendering"
intensity (rendering),Light brightness,"notes,rendering"
color (rendering),Light color (RGB),"notes,rendering"
exposure (rendering),Photographic exposure adjustment,"notes,rendering"
normalize (rendering),Normalize intensity by area,"notes,rendering"
enableColorTemperature (rendering),Use Kelvin color temperature,"notes,rendering"
focalLength (rendering),Lens focal length (mm),"notes,rendering"
horizontalAperture (rendering),Sensor width (mm),"notes,rendering"
verticalAperture (rendering),Sensor height (mm),"notes,rendering"
clippingRange (rendering),Near/far clip planes,"notes,rendering"
fStop (rendering),Aperture for depth of field,"notes,rendering"
focusDistance (rendering),Focus distance for DoF,"notes,rendering"
