Question,Answer,Tags
How long is the NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL) exam?,60 minutes,exam-logistics
How many questions are on the NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL) exam?,50-60 multiple choice questions,exam-logistics
What is the passing score for NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL)?,70% (scaled scoring),exam-logistics
What does the NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL) exam cost?,$125 USD,exam-logistics
How long is NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL) valid for?,2 years,exam-logistics
How is the NVIDIA Certified Associate - Generative AI and LLMs (NCA-GENL) exam delivered?,Online proctored,exam-logistics
Residual connection (transformer architecture),input is added to sub-layer output (skip connections),"notes,transformer-architecture"
Layer normalization (transformer architecture),normalizes activations for training stability,"notes,transformer-architecture"
Vocabulary size trade-offs (transformer architecture),Larger vocab = more direct token mappings but larger embedding table,"notes,transformer-architecture"
Token efficiency (transformer architecture),English text typically tokenizes at ~1.3 tokens per word,"notes,transformer-architecture"
Multilingual (transformer architecture),Non-English languages often need more tokens per concept,"notes,transformer-architecture"
Context window (transformer architecture),Token count determines effective input length,"notes,transformer-architecture"
Special tokens (transformer architecture),"BOS (beginning), EOS (end), PAD (padding), UNK (unknown)","notes,transformer-architecture"
Chinchilla scaling (transformer architecture),Optimal training uses ~20 tokens per parameter,"notes,transformer-architecture"
Nemotron (transformer architecture),NVIDIA's family of LLMs,"notes,transformer-architecture"
Text generation/chat (transformer architecture),"Decoder-only (GPT, LLaMA)","notes,transformer-architecture"
Classification/understanding (transformer architecture),Encoder-only (BERT) or decoder-only with fine-tuning,"notes,transformer-architecture"
Translation/summarization (transformer architecture),Encoder-decoder (T5) or decoder-only,"notes,transformer-architecture"
Embeddings (transformer architecture),Encoder-only or specialized embedding models,"notes,transformer-architecture"
Task accuracy (prompt engineering),correctness of outputs,"notes,prompt-engineering"
Format compliance (prompt engineering),adherence to specified output format,"notes,prompt-engineering"
Consistency (prompt engineering),same input produces similar outputs,"notes,prompt-engineering"
Safety (prompt engineering),absence of harmful content,"notes,prompt-engineering"
Relevance (prompt engineering),output addresses the input question/task,"notes,prompt-engineering"
Factual extraction (prompt engineering),Zero-shot + low temperature + structured output,"notes,prompt-engineering"
Classification (prompt engineering),Few-shot with representative examples,"notes,prompt-engineering"
Complex reasoning (prompt engineering),Chain-of-thought with step-by-step,"notes,prompt-engineering"
Creative generation (prompt engineering),Higher temperature + top-p sampling,"notes,prompt-engineering"
Code generation (prompt engineering),Low temperature + few-shot with code examples,"notes,prompt-engineering"
Reduces hallucination (rag vector databases),grounds responses in retrieved evidence,"notes,rag-vector-databases"
Dynamic knowledge (rag vector databases),external data can be updated without retraining,"notes,rag-vector-databases"
Source attribution (rag vector databases),can cite specific documents for transparency,"notes,rag-vector-databases"
Domain adaptation (rag vector databases),adds domain-specific knowledge without fine-tuning,"notes,rag-vector-databases"
Cost-effective (rag vector databases),cheaper than retraining for knowledge updates,"notes,rag-vector-databases"
Privacy (rag vector databases),keeps sensitive data in a controlled retrieval system,"notes,rag-vector-databases"
Small chunks (128-256 tokens) (rag vector databases),"More precise retrieval, less context per chunk","notes,rag-vector-databases"
Medium chunks (256-512 tokens) (rag vector databases),Good balance for most use cases,"notes,rag-vector-databases"
Large chunks (512-1024 tokens) (rag vector databases),"More context, but may include irrelevant info","notes,rag-vector-databases"
Overlap (rag vector databases),Prevents information loss at chunk boundaries,"notes,rag-vector-databases"
NVIDIA NV-Embed (rag vector databases),"NVIDIA's embedding models, available via NIM","notes,rag-vector-databases"
E5-large-v2 (rag vector databases),Strong open-source embedding model,"notes,rag-vector-databases"
BGE (BAAI General Embeddings) (rag vector databases),High-quality multilingual embeddings,"notes,rag-vector-databases"
GTE (General Text Embeddings) (rag vector databases),Alibaba's embedding models,"notes,rag-vector-databases"
Cosine similarity (rag vector databases),measures angle between vectors (most common),"notes,rag-vector-databases"
Dot product (rag vector databases),measures magnitude-weighted similarity,"notes,rag-vector-databases"
Euclidean distance (L2) (rag vector databases),measures geometric distance,"notes,rag-vector-databases"
Inner product (rag vector databases),"similar to dot product, used in some implementations","notes,rag-vector-databases"
Pinecone (rag vector databases),"fully managed, serverless vector database","notes,rag-vector-databases"
Weaviate (rag vector databases),open-source with hybrid search (vector + keyword),"notes,rag-vector-databases"
Chroma (rag vector databases),"lightweight, developer-friendly, good for prototyping","notes,rag-vector-databases"
Qdrant (rag vector databases),high-performance with advanced filtering,"notes,rag-vector-databases"
pgvector (rag vector databases),PostgreSQL extension for vector search,"notes,rag-vector-databases"
Query expansion (rag vector databases),rephrase or expand the user query,"notes,rag-vector-databases"
HyDE (Hypothetical Document Embeddings) (rag vector databases),"generate a hypothetical answer, use it for retrieval","notes,rag-vector-databases"
Multi-query (rag vector databases),"generate multiple query variations, combine results","notes,rag-vector-databases"
Step-back prompting (rag vector databases),generate a broader query for complex questions,"notes,rag-vector-databases"
Parent-child chunking (rag vector databases),"retrieve small chunks, return parent (larger) chunks for context","notes,rag-vector-databases"
Sentence window retrieval (rag vector databases),"retrieve at sentence level, expand to surrounding sentences","notes,rag-vector-databases"
Knowledge graph integration (rag vector databases),combine vector search with graph traversal,"notes,rag-vector-databases"
Multi-hop retrieval (rag vector databases),iterative retrieval for complex multi-step questions,"notes,rag-vector-databases"
Recall@k (rag vector databases),fraction of relevant documents in top-k results,"notes,rag-vector-databases"
Precision@k (rag vector databases),fraction of top-k results that are relevant,"notes,rag-vector-databases"
MRR (Mean Reciprocal Rank) (rag vector databases),average of 1/rank of first relevant result,"notes,rag-vector-databases"
NDCG (rag vector databases),normalized discounted cumulative gain,"notes,rag-vector-databases"
Faithfulness (rag vector databases),is the answer supported by retrieved context?,"notes,rag-vector-databases"
Answer relevancy (rag vector databases),does the answer address the question?,"notes,rag-vector-databases"
Context relevancy (rag vector databases),are retrieved documents relevant to the question?,"notes,rag-vector-databases"
Model weights (fine tuning customization),2 bytes per parameter (FP16),"notes,fine-tuning-customization"
Gradients (fine tuning customization),2 bytes per parameter,"notes,fine-tuning-customization"
Optimizer states (fine tuning customization),"8 bytes per parameter (Adam: momentum + variance, FP32)","notes,fine-tuning-customization"
Activations (fine tuning customization),varies with batch size and sequence length,"notes,fine-tuning-customization"
Catastrophic forgetting (fine tuning customization),model loses pre-trained knowledge,"notes,fine-tuning-customization"
Overfitting (fine tuning customization),too few examples relative to parameters,"notes,fine-tuning-customization"
Expensive (fine tuning customization),requires significant GPU compute,"notes,fine-tuning-customization"
Not composable (fine tuning customization),cannot easily switch between tasks,"notes,fine-tuning-customization"
Rank (r) (fine tuning customization),Dimensionality of low-rank matrices,"notes,fine-tuning-customization"
Alpha (fine tuning customization),Scaling factor (typically alpha = 2 * rank),"notes,fine-tuning-customization"
Target modules (fine tuning customization),Which layers to apply LoRA to,"notes,fine-tuning-customization"
Dropout (fine tuning customization),Regularization for LoRA layers (0.05-0.1 typical),"notes,fine-tuning-customization"
NF4 (Normal Float 4-bit) (fine tuning customization),Information-theoretically optimal 4-bit data type,"notes,fine-tuning-customization"
Double quantization (fine tuning customization),Quantize the quantization constants for additional savings,"notes,fine-tuning-customization"
Paged optimizers (fine tuning customization),Use CPU memory for optimizer state overflow,"notes,fine-tuning-customization"
Diversity (fine tuning customization),cover the range of expected use cases,"notes,fine-tuning-customization"
Accuracy (fine tuning customization),ensure labels and responses are correct,"notes,fine-tuning-customization"
Consistency (fine tuning customization),maintain uniform formatting and style,"notes,fine-tuning-customization"
Balance (fine tuning customization),represent all categories/tasks proportionally,"notes,fine-tuning-customization"
Relevance (fine tuning customization),match the target deployment scenario,"notes,fine-tuning-customization"
LoRA fine-tuning (fine tuning customization),"1,000-10,000 examples (quality over quantity)","notes,fine-tuning-customization"
Full fine-tuning (fine tuning customization),"10,000-100,000+ examples","notes,fine-tuning-customization"
RLHF/DPO (fine tuning customization),"5,000-50,000 preference pairs","notes,fine-tuning-customization"
SFT alignment (fine tuning customization),"10,000-50,000 instruction-response pairs","notes,fine-tuning-customization"
Perplexity (fine tuning customization),how well the model predicts held-out text (lower is better),"notes,fine-tuning-customization"
BLEU (fine tuning customization),"n-gram overlap with reference (translation, summarization)","notes,fine-tuning-customization"
ROUGE (fine tuning customization),recall-based overlap with reference (summarization),"notes,fine-tuning-customization"
F1 Score (fine tuning customization),balanced precision/recall for classification tasks,"notes,fine-tuning-customization"
Exact Match (fine tuning customization),percentage of exactly correct answers,"notes,fine-tuning-customization"
Helpfulness (fine tuning customization),does the response address the question?,"notes,fine-tuning-customization"
Harmlessness (fine tuning customization),is the response safe and appropriate?,"notes,fine-tuning-customization"
Coherence (fine tuning customization),is the response well-organized and clear?,"notes,fine-tuning-customization"
Preference ranking (fine tuning customization),side-by-side comparison of model outputs,"notes,fine-tuning-customization"
Pre-optimized containers (deployment inference),ready-to-deploy Docker images,"notes,deployment-inference"
OpenAI-compatible API (deployment inference),familiar chat completion and completion endpoints,"notes,deployment-inference"
Automatic optimization (deployment inference),selects best configuration for the available GPU,"notes,deployment-inference"
Multiple model support (deployment inference),"LLMs, embedding models, reranking models","notes,deployment-inference"
Health monitoring (deployment inference),built-in health check endpoints,"notes,deployment-inference"
Enterprise support (deployment inference),part of NVIDIA AI Enterprise platform,"notes,deployment-inference"
Multi-framework support (deployment inference),"TensorRT, PyTorch, TensorFlow, ONNX, Python","notes,deployment-inference"
Dynamic batching (deployment inference),groups incoming requests for efficiency,"notes,deployment-inference"
Model ensembles (deployment inference),chain multiple models in a pipeline,"notes,deployment-inference"
Concurrent model execution (deployment inference),run multiple models on same GPU,"notes,deployment-inference"
Model versioning (deployment inference),A/B testing and rolling updates,"notes,deployment-inference"
Metrics (deployment inference),Prometheus-compatible monitoring,"notes,deployment-inference"
gRPC and HTTP (deployment inference),dual protocol support,"notes,deployment-inference"
Easy deployment (deployment inference),"NIM (Docker container, OpenAI API)","notes,deployment-inference"
Custom optimization (deployment inference),TensorRT-LLM (compile and optimize),"notes,deployment-inference"
Multi-model serving (deployment inference),Triton Inference Server,"notes,deployment-inference"
Maximum throughput (deployment inference),Continuous batching + quantization,"notes,deployment-inference"
Stereotyping (ethics responsible ai),associating groups with fixed characteristics,"notes,ethics-responsible-ai"
Representation bias (ethics responsible ai),over/under-representing certain groups,"notes,ethics-responsible-ai"
Toxicity (ethics responsible ai),"generating harmful, offensive, or inappropriate content","notes,ethics-responsible-ai"
Sentiment bias (ethics responsible ai),different sentiment when discussing different groups,"notes,ethics-responsible-ai"
Allocation bias (ethics responsible ai),different quality of service for different users,"notes,ethics-responsible-ai"
Harmful content (ethics responsible ai),"violence, self-harm, illegal activities","notes,ethics-responsible-ai"
Bias and discrimination (ethics responsible ai),"stereotypes, unfair treatment","notes,ethics-responsible-ai"
Privacy violations (ethics responsible ai),"PII extraction, personal information disclosure","notes,ethics-responsible-ai"
Misinformation (ethics responsible ai),"factually incorrect claims, conspiracy theories","notes,ethics-responsible-ai"
Jailbreaking (ethics responsible ai),bypassing system prompts and safety measures,"notes,ethics-responsible-ai"
Prompt injection (ethics responsible ai),overriding model instructions,"notes,ethics-responsible-ai"
Copyright (ethics responsible ai),reproducing copyrighted material,"notes,ethics-responsible-ai"
