Question,Answer,Tags
Binary Classification (ml algorithms evaluation),"Linear Learner, XGBoost, Neural Networks","notes,ml-algorithms-evaluation"
Multi-class Classification (ml algorithms evaluation),"XGBoost, Image Classification, BlazingText","notes,ml-algorithms-evaluation"
Regression (ml algorithms evaluation),"Linear Learner, XGBoost, Neural Networks","notes,ml-algorithms-evaluation"
Anomaly Detection (ml algorithms evaluation),"Random Cut Forest, IP Insights","notes,ml-algorithms-evaluation"
Time Series (ml algorithms evaluation),"DeepAR, Amazon Forecast","notes,ml-algorithms-evaluation"
NLP (ml algorithms evaluation),"BlazingText, Sequence2Sequence, Comprehend","notes,ml-algorithms-evaluation"
Computer Vision (ml algorithms evaluation),"Image Classification, Object Detection, Rekognition","notes,ml-algorithms-evaluation"
Structured/Tabular (ml algorithms evaluation),"XGBoost, Linear Learner","notes,ml-algorithms-evaluation"
Images (ml algorithms evaluation),"Image Classification, Object Detection","notes,ml-algorithms-evaluation"
Text (ml algorithms evaluation),"BlazingText, Comprehend","notes,ml-algorithms-evaluation"
High-dimensional (ml algorithms evaluation),"PCA first, then other algorithms","notes,ml-algorithms-evaluation"
Sparse data (ml algorithms evaluation),"Linear Learner, Factorization Machines","notes,ml-algorithms-evaluation"
Fast training (ml algorithms evaluation),"Linear Learner, K-Means","notes,ml-algorithms-evaluation"
High accuracy (ml algorithms evaluation),"XGBoost, Deep Learning","notes,ml-algorithms-evaluation"
Interpretability (ml algorithms evaluation),"Linear Learner, Decision Trees","notes,ml-algorithms-evaluation"
Scalability (ml algorithms evaluation),"Built-in algorithms, distributed training","notes,ml-algorithms-evaluation"
Imbalanced data (ml algorithms evaluation),"Precision, Recall, F1, AUC","notes,ml-algorithms-evaluation"
Business cost of errors (ml algorithms evaluation),Weighted precision/recall,"notes,ml-algorithms-evaluation"
Ranking (ml algorithms evaluation),"AUC, Average Precision","notes,ml-algorithms-evaluation"
XGBoost (ml comprehensive notes),General-purpose classification/regression,"notes,ml-comprehensive-notes"
Linear Learner (ml comprehensive notes),"Linear relationships, sparse data","notes,ml-comprehensive-notes"
DeepAR (ml comprehensive notes),Time series forecasting,"notes,ml-comprehensive-notes"
Image Classification (ml comprehensive notes),Computer vision tasks,"notes,ml-comprehensive-notes"
BlazingText (ml comprehensive notes),"Text classification, word embeddings","notes,ml-comprehensive-notes"
K-Means (ml comprehensive notes),"Clustering, data segmentation","notes,ml-comprehensive-notes"
PCA (ml comprehensive notes),Dimensionality reduction,"notes,ml-comprehensive-notes"
Random Cut Forest (ml comprehensive notes),Anomaly detection,"notes,ml-comprehensive-notes"
Training (ml comprehensive notes),"ml.p3 (GPU) for deep learning, ml.m5 for general ML","notes,ml-comprehensive-notes"
Inference (ml comprehensive notes),"ml.m5 for CPU, ml.g4dn for GPU, ml.inf1 for cost-effective inference","notes,ml-comprehensive-notes"
Processing (ml comprehensive notes),ml.m5 or ml.c5 for data processing,"notes,ml-comprehensive-notes"
