Question,Answer,Tags
How long is the Salesforce Certified Platform Developer II (PDII) exam?,120 minutes,exam-logistics
What does the Salesforce Certified Platform Developer II (PDII) exam cost?,$200 USD ($100 retake),exam-logistics
Multi-tenancy (fundamentals),"many customers (orgs) share the same infrastructure. Your code runs alongside everyone else's, which is why governor limits exist: they stop one tenant monopolising shared resources.","notes,fundamentals"
Governor limits (fundamentals),per-transaction ceilings enforced by the runtime. Exceeding one throws an uncatchable LimitException that rolls back the transaction. Designing within limits is the central discipline of the exam.,"notes,fundamentals"
Metadata-driven (fundamentals),the platform is configuration and metadata over a shared engine; your customisations are metadata.,"notes,fundamentals"
SOQL queries (fundamentals),"100 synchronous, 200 asynchronous per transaction.","notes,fundamentals"
DML statements (fundamentals),150 per transaction.,"notes,fundamentals"
Records retrieved by SOQL (fundamentals),"50,000 per transaction.","notes,fundamentals"
Records processed by DML (fundamentals),"10,000 per transaction.","notes,fundamentals"
CPU time (fundamentals),"10,000 ms synchronous, 60,000 ms asynchronous.","notes,fundamentals"
Heap size (fundamentals),"6 MB synchronous, 12 MB asynchronous.","notes,fundamentals"
Callouts (fundamentals),"100 per transaction, with a total timeout budget.","notes,fundamentals"
Bulkification (fundamentals),"writing code that processes collections rather than single records, so it works whether a trigger fires on one row or two hundred.","notes,fundamentals"
The cardinal rules (fundamentals),"never place SOQL or DML inside a loop. Query once into a collection, process in memory, and perform DML once on a collection.","notes,fundamentals"
Maps for lookups (fundamentals),build a Map to relate records without querying inside a loop.,"notes,fundamentals"
Collections (fundamentals),"List, Set, and Map. Sets deduplicate; maps key by a field, commonly Id.","notes,fundamentals"
SObject (fundamentals),the generic type for any record; specific types like Account extend it.,"notes,fundamentals"
sObject dynamic access (fundamentals),record.get('Field__c') and record.put(...) for generic code.,"notes,fundamentals"
Collections and iteration (fundamentals),efficient iteration matters for CPU limits.,"notes,fundamentals"
Exception handling (fundamentals),try/catch/finally; custom exceptions extending Exception. LimitException cannot be caught.,"notes,fundamentals"
