Question,Answer,Tags
Key difference from on-premises AD (microsoft identity access solutions),Cloud-native (not based on LDAP),"notes,microsoft-identity-access-solutions"
Features (microsoft identity access solutions),User and group management,"notes,microsoft-identity-access-solutions"
Additional features (microsoft identity access solutions),Company branding on sign-in pages,"notes,microsoft-identity-access-solutions"
Additional features (beyond P1) (microsoft identity access solutions),Azure AD Identity Protection (risk-based policies),"notes,microsoft-identity-access-solutions"
How it works (microsoft identity access solutions),Invite external users as guests,"notes,microsoft-identity-access-solutions"
Use cases (microsoft identity access solutions),Partner collaboration,"notes,microsoft-identity-access-solutions"
Benefits (microsoft identity access solutions),Reduced helpdesk costs,"notes,microsoft-identity-access-solutions"
Conditions (microsoft identity access solutions),Sign-in risk (from Identity Protection),"notes,microsoft-identity-access-solutions"
Session controls (microsoft identity access solutions),Use app enforced restrictions,"notes,microsoft-identity-access-solutions"
Examples (microsoft identity access solutions),Global Administrator: Full access to all Azure AD features,"notes,microsoft-identity-access-solutions"
Azure AD Premium P1/P2 required (microsoft identity access solutions),Purpose: Fine-grained permissions,"notes,microsoft-identity-access-solutions"
Capabilities (microsoft identity access solutions),Automated risk detection,"notes,microsoft-identity-access-solutions"
Detections (microsoft identity access solutions),Leaked credentials (found on dark web),"notes,microsoft-identity-access-solutions"
Actions (microsoft identity access solutions),Confirm user compromised,"notes,microsoft-identity-access-solutions"
Rules contain (microsoft security compliance solutions),"Priority (100-4096, lower = higher priority)","notes,microsoft-security-compliance-solutions"
Features (microsoft security compliance solutions),Stateful firewall,"notes,microsoft-security-compliance-solutions"
Benefits (microsoft security compliance solutions),Centralized secrets management,"notes,microsoft-security-compliance-solutions"
Real-time detection and alerting (microsoft security compliance solutions),User and entity behavior analytics (UEBA),"notes,microsoft-security-compliance-solutions"
Investigation tools (microsoft security compliance solutions),Integration with Defender for Cloud Apps,"notes,microsoft-security-compliance-solutions"
Capabilities (microsoft security compliance solutions),Compliance Manager,"notes,microsoft-security-compliance-solutions"
Physical datacenter security (security compliance identity concepts),Physical network security,"notes,security-compliance-identity-concepts"
Physical host security (security compliance identity concepts),Hypervisor (in most cases),"notes,security-compliance-identity-concepts"
Data governance and rights management (security compliance identity concepts),Endpoint protection,"notes,security-compliance-identity-concepts"
Account and access management (security compliance identity concepts),Identity and directory infrastructure,"notes,security-compliance-identity-concepts"
Application controls (security compliance identity concepts),Network controls,"notes,security-compliance-identity-concepts"
Operating system (security compliance identity concepts),Physical devices,"notes,security-compliance-identity-concepts"
Multiple layers of protection (security compliance identity concepts),Slows down attacks,"notes,security-compliance-identity-concepts"
No single point of failure (security compliance identity concepts),Each layer provides additional security,"notes,security-compliance-identity-concepts"
Types (security compliance identity concepts),Symmetric: Same key for encryption/decryption (AES),"notes,security-compliance-identity-concepts"
Methods (security compliance identity concepts),Something you know (password),"notes,security-compliance-identity-concepts"
Functions (security compliance identity concepts),Authentication services,"notes,security-compliance-identity-concepts"
Key Requirements (security compliance identity concepts),Lawful basis for processing,"notes,security-compliance-identity-concepts"
Implications (security compliance identity concepts),Government access to data,"notes,security-compliance-identity-concepts"
