Question,Answer,Tags
Discriminative AI (generative ai fundamentals),"Classifies, predicts (Y given X)","notes,generative-ai-fundamentals"
Generative AI (generative ai fundamentals),Creates new data (generates X),"notes,generative-ai-fundamentals"
Gecko (generative ai fundamentals),"Lightweight, mobile/IoT deployment","notes,generative-ai-fundamentals"
Otter (generative ai fundamentals),"Standard tasks, balanced performance","notes,generative-ai-fundamentals"
Bison (generative ai fundamentals),"Enhanced capabilities, most common","notes,generative-ai-fundamentals"
Unicorn (generative ai fundamentals),"Most capable, complex reasoning","notes,generative-ai-fundamentals"
Gemini Ultra (generative ai fundamentals),"Most capable, complex tasks","notes,generative-ai-fundamentals"
Gemini Pro (generative ai fundamentals),Best performance/cost balance,"notes,generative-ai-fundamentals"
Gemini Nano (generative ai fundamentals),"On-device, efficient","notes,generative-ai-fundamentals"
code-bison (generative ai fundamentals),Code generation from natural language,"notes,generative-ai-fundamentals"
code-gecko (generative ai fundamentals),Code completion and suggestions,"notes,generative-ai-fundamentals"
codechat-bison (generative ai fundamentals),Conversational code assistance,"notes,generative-ai-fundamentals"
Top-k (generative ai fundamentals),Consider top k tokens,"notes,generative-ai-fundamentals"
Stop sequences (generative ai fundamentals),Custom stopping conditions,"notes,generative-ai-fundamentals"
BLOCK_ONLY_HIGH (generative ai fundamentals),Block high-probability harmful content,"notes,generative-ai-fundamentals"
BLOCK_MEDIUM_AND_ABOVE (generative ai fundamentals),Block medium+ harmful content (default),"notes,generative-ai-fundamentals"
BLOCK_LOW_AND_ABOVE (generative ai fundamentals),Block low+ harmful content (most restrictive),"notes,generative-ai-fundamentals"
Unified platform (vertex ai),One place for all ML workflows,"notes,vertex-ai"
MLOps integration (vertex ai),Built-in experiment tracking and model management,"notes,vertex-ai"
Scalable infrastructure (vertex ai),Automatic scaling and optimization,"notes,vertex-ai"
Pre-built solutions (vertex ai),AutoML and pre-trained models,"notes,vertex-ai"
Custom development (vertex ai),Full flexibility for custom models,"notes,vertex-ai"
Managed notebooks (vertex ai),Fully managed Jupyter instances,"notes,vertex-ai"
User-managed notebooks (vertex ai),More control over environment,"notes,vertex-ai"
Built-in libraries (vertex ai),Pre-installed ML frameworks,"notes,vertex-ai"
Data science tools (vertex ai),Integrated development experience,"notes,vertex-ai"
Version control (vertex ai),Git integration,"notes,vertex-ai"
Custom training (vertex ai),Your own training code,"notes,vertex-ai"
AutoML training (vertex ai),Automated model development,"notes,vertex-ai"
Hyperparameter tuning (vertex ai),Automated hyperparameter optimization,"notes,vertex-ai"
Distributed training (vertex ai),Multi-GPU and multi-node training,"notes,vertex-ai"
Online prediction (vertex ai),Real-time inference,"notes,vertex-ai"
Batch prediction (vertex ai),Offline batch processing,"notes,vertex-ai"
Private endpoints (vertex ai),VPC-native serving,"notes,vertex-ai"
Multi-model endpoints (vertex ai),Host multiple models,"notes,vertex-ai"
Components (vertex ai),Reusable pipeline steps,"notes,vertex-ai"
Experiments (vertex ai),Track and compare pipeline runs,"notes,vertex-ai"
Artifacts (vertex ai),"Track inputs, outputs, and metadata","notes,vertex-ai"
Lineage (vertex ai),Data and model lineage tracking,"notes,vertex-ai"
Model versioning (vertex ai),Track model versions,"notes,vertex-ai"
Model lineage (vertex ai),Understand model ancestry,"notes,vertex-ai"
Model evaluation (vertex ai),Compare model performance,"notes,vertex-ai"
Model aliases (vertex ai),Stable references to models,"notes,vertex-ai"
Text generation (vertex ai),Create and edit text content,"notes,vertex-ai"
Chat (vertex ai),Conversational AI applications,"notes,vertex-ai"
Code generation (vertex ai),Programming assistance,"notes,vertex-ai"
Multimodal (vertex ai),Text and image understanding,"notes,vertex-ai"
Prompt design (vertex ai),Test and iterate on prompts,"notes,vertex-ai"
Model tuning (vertex ai),Fine-tune foundation models,"notes,vertex-ai"
PaLM 2 (vertex ai),"text-bison, chat-bison, code-bison","notes,vertex-ai"
Gemini (vertex ai),"gemini-pro, gemini-pro-vision, gemini-ultra","notes,vertex-ai"
Imagen (vertex ai),"imagen-v1, imagen-v2","notes,vertex-ai"
Chirp (vertex ai),Speech recognition,"notes,vertex-ai"
BERT (vertex ai),Text embeddings,"notes,vertex-ai"
T5 (vertex ai),Text-to-text generation,"notes,vertex-ai"
Meta (vertex ai),"Llama 2, Llama 3 (7B, 13B, 70B parameters)","notes,vertex-ai"
Anthropic (vertex ai),"Claude 2, Claude 3","notes,vertex-ai"
Cohere (vertex ai),"Command, Embed, Rerank","notes,vertex-ai"
AI21 (vertex ai),Jurassic-2 models,"notes,vertex-ai"
Stability AI (vertex ai),Stable Diffusion XL,"notes,vertex-ai"
CodeLlama (vertex ai),Code generation,"notes,vertex-ai"
Classification (vertex ai),Predict categories,"notes,vertex-ai"
Regression (vertex ai),Predict numerical values,"notes,vertex-ai"
Feature engineering (vertex ai),Automatic feature selection,"notes,vertex-ai"
Model selection (vertex ai),Algorithm selection and tuning,"notes,vertex-ai"
Image classification (vertex ai),Categorize images,"notes,vertex-ai"
Object detection (vertex ai),Detect and locate objects,"notes,vertex-ai"
Image segmentation (vertex ai),Pixel-level image understanding,"notes,vertex-ai"
Text classification (vertex ai),Categorize text documents,"notes,vertex-ai"
Entity extraction (vertex ai),Identify and extract entities,"notes,vertex-ai"
Sentiment analysis (vertex ai),Analyze text sentiment,"notes,vertex-ai"
Question (vertex ai),"""You need to analyze images and generate descriptions. Which model?""","notes,vertex-ai"
Answer (vertex ai),Gemini Pro Vision - multimodal capabilities,"notes,vertex-ai"
