Question,Answer,Tags
How long is the AWS Certified Security - Specialty (SCS-C02) exam?,170 minutes,exam-logistics
How many questions are on the AWS Certified Security - Specialty (SCS-C02) exam?,65 questions,exam-logistics
What is the passing score for AWS Certified Security - Specialty (SCS-C02)?,750/1000,exam-logistics
What does the AWS Certified Security - Specialty (SCS-C02) exam cost?,$300 USD,exam-logistics
How long is AWS Certified Security - Specialty (SCS-C02) valid for?,3 years,exam-logistics
How is the AWS Certified Security - Specialty (SCS-C02) exam delivered?,Pearson VUE,exam-logistics
Version (iam deep dive),"Policy language version (always ""2012-10-17"")","notes,iam-deep-dive"
Statement (iam deep dive),Array of permission statements,"notes,iam-deep-dive"
Sid (iam deep dive),"Statement ID (optional, for documentation)","notes,iam-deep-dive"
Principal (iam deep dive),Who the policy applies to (resource-based only),"notes,iam-deep-dive"
Action (iam deep dive),API operations allowed/denied,"notes,iam-deep-dive"
Resource (iam deep dive),AWS resources affected,"notes,iam-deep-dive"
Condition (iam deep dive),Optional constraints,"notes,iam-deep-dive"
Protect web app (infrastructure application security),CloudFront + WAF + Shield + ALB,"notes,infrastructure-application-security"
Secure database (infrastructure application security),Private subnet + security group + encryption + Secrets Manager,"notes,infrastructure-application-security"
Compliance (infrastructure application security),Config rules + automated remediation + CloudTrail,"notes,infrastructure-application-security"
Secrets rotation (infrastructure application security),Secrets Manager with Lambda rotation,"notes,infrastructure-application-security"
Network isolation (infrastructure application security),VPC + private subnets + VPC endpoints,"notes,infrastructure-application-security"
Threat Intelligence (security domains comprehensive),"Built-in threat intelligence from AWS, CrowdStrike, Proofpoint","notes,security-domains-comprehensive"
Finding Types (security domains comprehensive),"Recon, Instance compromise, Account compromise, Bucket compromise, Crypto mining","notes,security-domains-comprehensive"
Severity Levels (security domains comprehensive),"Low (0.1-3.9), Medium (4.0-6.9), High (7.0-8.9)","notes,security-domains-comprehensive"
Multi-Account Setup (security domains comprehensive),Master account aggregates findings from member accounts,"notes,security-domains-comprehensive"
Suppression Rules (security domains comprehensive),Filter out expected behaviors and false positives,"notes,security-domains-comprehensive"
Automated Response (security domains comprehensive),EventBridge + Lambda for automated remediation,"notes,security-domains-comprehensive"
Security Standards (security domains comprehensive),"CIS AWS Foundations, PCI DSS, AWS Foundational Security Best Practices","notes,security-domains-comprehensive"
Finding Aggregation (security domains comprehensive),"Centralizes findings from GuardDuty, Inspector, Macie, IAM Access Analyzer","notes,security-domains-comprehensive"
Compliance Scores (security domains comprehensive),Track compliance posture across standards,"notes,security-domains-comprehensive"
Custom Actions (security domains comprehensive),Automated workflows with EventBridge,"notes,security-domains-comprehensive"
Insights (security domains comprehensive),Custom grouping and filtering of findings,"notes,security-domains-comprehensive"
Preparation (security domains comprehensive),"Pre-deploy forensics tools, create playbooks, establish communication channels","notes,security-domains-comprehensive"
Detection (security domains comprehensive),"GuardDuty, CloudWatch, Security Hub, third-party SIEM","notes,security-domains-comprehensive"
Analysis (security domains comprehensive),"CloudWatch Logs Insights, Athena for log analysis, X-Ray for distributed tracing","notes,security-domains-comprehensive"
Containment (security domains comprehensive),"Isolate affected resources, revoke credentials, apply restrictive security groups","notes,security-domains-comprehensive"
Eradication (security domains comprehensive),"Remove malware, patch vulnerabilities, update compromised credentials","notes,security-domains-comprehensive"
Recovery (security domains comprehensive),"Restore from backups, verify system integrity, monitor for re-infection","notes,security-domains-comprehensive"
